"V2","V3","V4","V5","V6","V7","V8","V9"
38,39,37,37,38,36,33,27
51,53,51,50,51,47,46,37
31,31,31,30,30,29,29,25
113,111,111,110,111,109,107,58
153,151,151,151,151,150,146,76
89,87,87,88,87,86,86,63
127,126,126,125,127,125,125,93
165,164,164,163,163,163,162,123
13,6,1,3,8,11,34,18
15,6,3,3,8,11,44,23
12,5,3,2,7,9,28,16
16,5,0,1,8,11,96,34
14,4,0,0,5,12,122,40
15,5,1,2,7,10,68,35
17,5,1,0,7,13,78,42
15,5,0,2,5,13,83,40
14,5,1,3,11,12,33,18
15,8,0,1,11,13,41,23
13,5,1,3,7,11,27,17
16,4,2,1,7,12,95,35
17,3,2,0,8,13,124,40
16,5,0,0,7,11,67,32
20,4,0,1,7,12,79,41
16,3,1,1,9,9,84,45
14,7,3,3,8,12,32,21
16,6,1,2,8,12,44,23
11,5,3,5,8,10,28,18
16,5,0,0,5,14,94,32
18,4,0,0,6,12,122,42
16,4,0,2,8,10,66,36
14,5,2,1,4,12,78,41
16,3,2,0,5,12,81,44
12,6,3,3,7,11,33,19
14,5,0,1,10,11,44,23
12,7,3,2,7,11,26,17
16,5,1,0,6,13,94,35
17,3,0,0,7,11,123,40
16,4,0,0,6,12,67,33
17,4,1,0,7,12,78,38
17,4,0,0,6,11,82,46
14,5,3,3,7,12,32,18
16,9,2,4,9,11,43,23
12,5,1,3,7,9,30,18
15,3,1,2,6,12,95,33
17,7,0,3,7,13,121,41
16,4,0,1,9,10,66,37
14,4,0,1,7,11,80,41
14,3,2,4,5,14,84,43
14,7,3,3,7,12,31,18
16,7,1,2,10,12,41,23
11,5,1,2,8,9,30,18
16,3,0,1,5,11,95,34
18,6,0,0,7,13,123,37
16,4,0,0,7,9,67,35
15,0,0,0,6,8,79,41
14,3,0,0,5,10,83,42
14,6,2,2,8,10,33,21
14,5,1,2,11,13,43,21
12,6,2,5,8,10,27,18
16,4,0,1,6,11,94,33
17,2,0,0,6,13,122,41
14,4,1,3,4,12,67,34
16,4,0,1,5,12,77,42
16,3,2,3,3,8,81,45
14,6,2,3,7,11,34,19
17,5,1,2,9,11,41,23
10,5,4,2,5,9,28,17
16,6,0,0,6,9,95,32
17,5,1,0,7,12,121,41
15,3,0,0,6,10,68,35
15,3,2,1,7,12,80,41
16,3,0,1,7,10,83,43
14,10,2,4,8,11,32,18
15,6,0,2,13,10,43,23
11,4,4,3,7,10,27,19
14,6,0,1,7,11,94,33
17,5,0,1,7,14,120,41
16,3,0,0,5,11,68,35
13,3,0,0,3,13,78,41
14,5,0,0,6,14,81,42
13,6,3,2,7,12,33,19
14,8,3,1,9,10,41,23
14,6,2,4,6,9,28,20
15,4,0,0,6,8,96,36
17,3,0,0,8,11,121,40
15,7,1,0,8,10,67,35
15,5,2,1,6,10,78,44
17,3,0,2,6,10,83,45
13,6,1,4,7,12,34,19
15,6,2,2,11,14,41,22
12,5,3,3,8,10,27,16
15,3,0,3,4,11,96,35
16,3,0,1,4,13,121,39
17,4,1,0,6,12,67,34
16,2,0,2,6,12,79,40
14,4,0,3,4,11,82,46
14,8,5,3,8,12,33,21
15,5,0,4,10,12,44,25
13,7,4,1,8,9,29,17
16,4,1,0,5,11,95,33
15,2,0,0,9,11,119,40
16,5,1,0,6,11,67,36
14,5,2,0,7,12,79,41
14,4,0,0,8,10,80,45
14,6,3,4,6,12,34,20
14,5,1,3,12,11,42,21
14,6,4,2,7,11,28,19
15,2,0,2,6,12,98,33
14,4,0,2,5,15,123,40
16,3,0,0,7,10,66,33
17,2,0,2,5,9,78,41
15,4,0,4,4,9,84,43
13,5,2,4,7,12,34,18
14,5,2,3,11,11,42,22
12,5,3,3,7,8,27,19
16,3,0,0,5,10,96,34
14,2,1,0,6,15,122,41
17,4,0,0,7,11,66,35
18,3,1,1,6,10,78,41
14,4,2,3,6,14,83,44
14,6,1,1,8,12,34,20
12,8,3,4,9,12,44,22
12,6,2,3,7,12,27,17
17,3,0,1,6,10,94,36
16,6,0,3,4,12,123,40
15,4,0,0,7,14,69,35
16,3,1,0,5,10,77,42
17,5,0,2,5,8,83,46
14,7,3,2,10,11,32,20
12,6,3,3,9,12,43,22
13,6,3,1,6,11,28,17
13,5,0,1,9,12,93,34
15,5,0,0,5,12,121,40
16,4,2,0,5,12,68,34
17,3,0,0,7,14,77,38
12,5,0,1,4,9,79,42
15,7,3,3,7,13,34,19
15,5,0,3,10,13,41,21
13,7,2,4,5,9,26,18
15,4,2,1,6,13,92,31
19,5,0,2,7,16,123,37
16,5,1,2,8,13,65,33
16,4,2,1,5,13,76,36
15,4,0,0,4,12,81,41
14,7,3,2,6,14,35,19
12,7,3,2,8,15,43,20
13,5,3,1,7,11,27,16
16,3,0,0,5,14,91,32
15,4,0,1,4,12,120,37
16,2,1,0,4,13,67,34
16,7,0,1,7,16,76,40
14,3,0,0,5,12,83,41
13,8,1,3,6,14,34,21
15,7,2,4,6,14,43,23
12,6,2,3,7,12,27,18
16,6,0,1,5,14,96,32
16,5,0,2,2,12,122,41
18,3,0,1,4,15,67,35
16,6,0,0,6,14,78,39
17,4,0,0,3,12,88,43
14,7,2,1,9,15,32,18
14,5,3,3,7,11,43,19
12,4,5,1,5,11,27,17
16,4,2,0,5,14,92,32
16,4,0,1,7,12,121,36
15,2,0,0,4,14,68,31
14,2,4,2,6,13,79,36
17,3,0,2,6,14,84,38
12,6,1,2,6,15,33,19
14,7,4,5,5,14,42,20
12,6,3,4,5,11,28,18
15,7,0,1,5,15,92,32
15,5,1,1,6,15,119,37
16,2,0,0,4,12,66,31
14,5,0,0,4,13,74,37
16,1,0,0,4,13,81,41
15,4,4,1,4,15,32,18
15,6,2,2,9,13,42,21
13,5,3,5,7,11,29,16
16,3,1,0,4,13,93,31
17,4,0,0,7,14,121,36
15,3,0,1,7,13,69,30
17,2,1,2,6,12,77,33
15,3,0,0,1,13,83,41
12,6,3,3,7,13,32,17
12,7,1,3,8,13,40,22
12,7,4,2,7,11,28,17
15,7,0,0,6,12,94,28
18,5,0,1,5,14,123,37
14,3,0,1,4,13,68,33
15,5,2,0,5,13,79,34
15,7,0,0,4,10,81,37
14,4,3,3,7,13,32,18
14,7,3,1,6,13,40,19
14,7,4,1,7,11,29,18
16,2,0,0,6,11,92,27
19,1,2,0,3,14,120,33
15,2,0,1,4,14,66,32
16,3,0,0,6,11,75,32
16,2,0,1,5,12,78,35
13,7,2,3,8,14,32,17
15,5,1,3,8,13,40,19
12,6,3,1,5,12,28,17
13,3,0,0,7,16,92,30
16,6,0,2,4,14,119,34
14,4,0,1,6,15,65,30
13,4,0,0,4,14,72,35
15,6,0,1,6,14,76,37
14,7,3,2,8,15,33,18
15,4,2,4,6,15,39,18
14,5,5,3,5,11,29,17
15,4,0,0,3,14,93,30
19,3,0,0,5,16,121,33
15,4,2,1,4,16,66,31
16,6,1,0,3,12,73,35
19,6,0,0,6,14,81,39
14,6,2,1,6,19,31,19
15,6,0,0,8,18,40,20
13,5,4,4,7,13,28,15
13,4,2,0,6,17,94,29
15,5,0,0,4,20,118,34
16,7,0,0,4,16,66,33
16,4,1,2,4,11,79,33
15,5,0,0,4,15,79,33
13,6,5,3,6,16,35,20
13,7,4,0,7,16,42,19
13,8,2,3,7,13,26,16
16,4,0,1,1,17,94,32
16,3,0,1,4,16,123,36
16,4,1,0,6,15,67,30
14,4,0,2,5,16,73,32
17,6,1,0,1,16,79,40
15,6,3,4,6,21,31,18
15,4,1,2,6,17,41,22
13,6,2,3,7,11,28,17
16,4,0,0,5,17,96,30
16,5,0,2,4,18,121,33
17,6,1,2,3,17,64,30
14,0,0,1,8,13,76,36
13,3,2,0,6,13,82,38
15,6,3,2,7,16,32,19
14,5,3,0,9,16,43,21
11,6,3,2,8,13,28,16
15,7,0,2,2,17,94,32
17,4,0,0,6,15,123,38
15,3,1,0,6,14,67,29
14,6,0,0,2,18,78,33
17,4,0,0,0,15,76,39
12,5,3,1,8,18,32,17
15,7,4,2,6,18,38,19
12,5,1,5,5,12,28,19
18,4,0,2,6,14,96,32
18,3,3,0,6,20,124,33
15,4,0,1,3,18,67,30
16,5,0,1,4,15,73,38
16,5,1,0,7,14,80,41
13,7,1,4,6,21,32,18
17,5,0,2,7,15,42,22
12,7,3,0,7,13,28,16
15,5,1,0,2,16,95,30
18,7,0,2,2,18,122,37
15,4,1,1,5,15,67,31
16,6,3,0,5,13,78,36
14,4,0,0,2,16,84,39
16,7,4,0,8,18,34,19
13,6,3,2,5,17,42,19
11,6,0,4,5,14,27,16
14,5,0,0,5,17,95,32
19,3,1,0,6,16,123,38
18,5,2,0,4,15,70,33
14,5,1,2,2,17,77,34
15,7,0,0,8,15,79,38
13,6,2,3,5,19,32,18
14,5,1,1,9,16,41,19
14,4,4,2,6,12,30,16
16,6,2,0,4,16,96,31
15,2,0,2,4,21,124,36
15,4,0,0,5,16,67,31
15,4,2,0,7,13,79,35
16,3,0,0,1,14,83,35
15,4,4,0,7,19,32,18
15,6,3,1,7,16,44,21
9,6,3,5,5,14,28,16
14,6,0,2,5,19,96,29
22,4,2,0,6,18,124,39
16,4,2,0,5,14,68,31
14,3,0,0,3,16,80,34
19,5,0,0,5,17,81,40
12,5,4,5,6,20,34,20
14,7,1,4,5,16,42,21
14,6,3,2,8,12,28,17
15,1,3,3,5,15,97,31
17,4,0,2,0,17,125,35
17,6,0,0,6,18,67,30
15,4,2,0,6,15,80,36
15,1,1,2,3,11,84,40
14,6,3,1,7,16,32,19
16,4,1,4,6,15,42,22
13,7,2,4,6,12,30,17
15,5,0,0,6,18,96,30
17,4,0,0,4,21,125,36
17,1,1,2,4,13,69,34
14,6,0,4,2,13,80,35
15,3,0,0,3,16,81,38
14,6,5,1,7,19,33,17
13,6,0,3,6,17,40,21
12,7,2,2,6,12,26,16
16,3,5,1,4,14,96,31
17,4,0,3,4,18,127,35
14,6,0,0,5,16,66,31
17,3,2,1,6,16,78,35
18,4,1,0,5,13,82,39
15,4,5,2,6,19,33,19
17,7,3,5,6,15,43,22
12,6,1,4,5,13,29,15
15,5,1,0,4,18,98,32
20,3,0,0,4,16,125,39
15,3,0,2,5,15,68,32
16,5,0,1,3,16,79,34
15,4,3,0,3,14,81,40
14,8,1,2,4,18,33,18
13,6,2,0,5,17,40,20
16,5,5,2,8,13,28,16
15,4,0,1,6,15,97,32
16,7,0,2,5,16,128,34
15,5,2,2,6,16,69,33
18,4,1,0,4,15,78,37
16,4,0,0,8,13,83,39
14,6,5,2,7,18,32,19
15,5,2,2,11,16,42,21
13,6,1,3,7,12,30,17
15,4,0,4,4,16,97,30
17,4,0,0,4,20,126,37
17,3,0,1,7,15,69,33
15,5,0,2,7,12,79,35
14,5,3,0,3,18,84,39
14,5,1,4,8,19,35,19
13,6,0,5,7,16,42,20
13,5,6,2,7,13,27,18
17,1,2,0,8,15,98,34
19,4,0,1,6,14,126,37
14,5,1,2,4,16,69,31
16,2,0,0,4,17,79,38
18,2,2,0,6,14,82,41
14,7,6,2,7,19,33,20
16,4,4,0,9,18,41,22
14,5,2,2,7,11,28,16
17,5,0,1,7,15,96,31
16,5,0,0,6,20,126,37
17,2,2,0,4,14,68,33
17,7,1,0,6,16,78,34
13,5,0,1,6,14,84,39
14,8,3,4,10,16,33,18
12,7,1,3,7,17,43,20
12,5,4,3,6,13,28,17
17,3,0,0,6,15,96,34
17,8,0,0,10,18,126,35
16,5,0,3,6,12,71,35
16,2,1,2,5,15,81,36
17,4,3,0,7,17,83,40
16,8,2,1,9,17,33,19
14,7,0,4,10,16,42,20
12,5,5,4,5,13,28,17
18,3,1,0,5,17,95,32
18,7,0,0,7,18,127,38
16,5,0,0,7,13,70,33
16,2,1,3,9,16,81,35
17,4,3,1,6,17,81,41
13,8,3,1,8,18,33,17
15,6,1,2,9,16,42,21
12,4,5,3,8,13,27,18
18,5,2,0,8,17,98,32
17,7,0,0,10,17,129,35
15,5,0,1,5,15,70,32
17,0,0,1,2,16,81,36
18,3,3,1,7,15,84,40
13,4,4,6,8,18,32,19
16,5,0,1,10,17,41,21
12,8,2,1,8,12,29,15
14,7,0,0,6,16,99,31
18,4,0,0,5,18,126,38
17,4,2,0,5,15,68,33
14,3,1,1,6,13,84,35
15,5,0,0,7,14,83,38
14,8,2,1,10,18,34,17
14,5,1,2,9,15,44,20
13,3,1,3,7,11,27,17
17,4,1,0,5,17,96,36
16,4,0,0,7,17,128,36
15,6,1,0,9,15,70,31
18,3,0,2,5,14,78,39
16,0,1,2,6,14,82,40
14,5,2,4,6,19,32,17
19,5,4,3,11,16,41,22
12,6,3,2,6,12,30,17
15,8,0,0,6,15,98,31
18,4,0,3,5,15,127,36
17,2,1,0,6,16,69,31
15,5,3,0,4,15,79,38
14,4,0,0,7,12,83,41
16,5,2,1,8,16,31,19
16,7,6,2,9,17,43,23
11,7,3,3,8,10,30,18
16,4,0,0,7,16,97,29
18,4,0,0,6,19,126,39
15,2,0,1,9,17,69,34
15,5,1,0,6,13,82,37
16,5,0,0,7,16,84,39
13,7,3,2,9,20,34,19
15,8,4,1,10,15,44,21
13,6,1,2,7,13,28,17
18,2,0,1,5,19,96,31
16,3,2,1,6,17,128,39
14,4,0,0,8,15,69,31
17,5,0,0,5,15,78,33
16,3,2,0,6,17,84,40
15,7,1,4,8,18,33,19
18,5,0,1,10,19,42,24
12,6,4,2,7,12,29,18
13,5,2,0,8,15,99,33
18,8,0,0,6,16,127,36
16,3,1,0,5,17,68,33
14,2,1,1,5,14,80,37
16,6,0,0,8,13,86,41
14,6,4,3,8,17,33,19
