"V2","V3","V4","V5","V6","V7","V8","V9"
21,18,17,17,15,16,19,9
14,11,11,10,10,11,10,8
19,14,15,14,14,15,16,10
32,25,23,24,21,22,22,13
37,25,24,25,21,24,23,20
31,20,22,21,20,20,18,15
27,19,18,17,16,17,17,12
29,18,16,18,17,14,15,12
10,4,3,8,3,5,12,8
7,6,3,6,1,4,5,4
12,6,3,7,2,6,10,11
21,4,1,10,1,7,12,12
22,5,4,10,1,5,11,11
19,4,3,10,0,5,9,11
19,3,4,6,2,6,8,8
21,4,2,8,3,3,10,8
12,3,4,4,3,5,13,5
11,2,1,5,3,1,10,1
16,4,2,7,4,3,12,0
20,3,0,8,0,2,15,2
23,3,0,10,2,3,12,2
21,4,0,9,3,2,11,1
17,4,2,7,3,5,8,1
21,5,1,7,2,3,9,2
13,4,2,6,4,4,13,3
7,4,2,4,1,3,8,3
12,5,2,5,2,2,13,4
21,6,2,8,2,0,21,1
20,4,1,9,2,2,21,0
21,4,1,9,1,4,13,2
17,7,3,7,4,1,14,4
19,4,0,7,1,4,13,1
12,2,0,5,5,4,14,2
10,4,3,7,2,4,8,4
12,5,5,6,4,3,14,3
22,7,1,5,1,2,13,0
21,4,0,8,2,4,12,0
17,4,2,8,1,5,9,1
16,5,3,7,3,3,10,3
17,4,0,5,1,7,11,1
9,7,3,4,3,6,15,4
10,4,1,6,2,3,6,1
13,4,3,9,2,5,12,3
17,1,3,5,2,5,13,4
22,7,2,8,3,3,13,4
20,3,0,8,2,5,11,3
15,3,2,7,2,2,8,2
19,3,2,5,3,5,9,3
14,6,5,6,4,3,15,3
8,4,1,5,4,2,8,2
12,5,2,9,1,3,10,2
18,4,1,9,0,1,14,1
21,8,0,8,4,0,14,2
20,4,0,8,1,4,13,3
13,3,2,8,2,3,8,2
15,5,3,7,2,2,9,0
14,5,3,8,2,9,12,4
8,1,5,5,2,8,8,5
13,6,1,6,4,8,11,5
19,6,0,9,1,11,12,2
24,2,1,7,2,9,9,2
19,3,3,7,6,8,8,1
15,4,0,8,7,8,10,5
21,3,0,7,6,8,8,3
12,7,5,5,8,8,12,4
9,6,1,4,6,9,8,2
11,4,1,8,7,9,8,2
18,4,4,9,7,13,11,1
21,4,1,7,8,16,11,2
21,3,1,8,6,13,8,1
16,4,2,4,7,10,8,0
20,4,3,2,6,8,7,3
12,5,2,2,8,10,13,4
11,5,1,5,5,8,8,3
12,2,1,3,8,7,7,2
19,3,4,1,10,8,10,4
21,4,0,2,12,14,13,4
21,3,2,4,11,10,9,3
17,4,4,4,9,7,8,2
19,7,3,0,8,9,8,4
10,4,3,2,6,6,11,4
8,4,4,4,6,7,7,4
12,7,3,5,5,10,12,4
20,2,2,3,8,9,11,1
21,3,3,1,7,7,11,0
21,6,5,3,6,7,9,4
19,7,1,4,6,8,9,5
20,1,2,2,5,7,8,1
10,3,4,3,4,7,11,4
9,4,5,5,5,3,5,2
12,6,4,7,3,7,11,5
20,4,2,11,3,10,13,5
22,4,4,8,6,8,11,2
18,4,3,9,4,7,9,3
17,5,1,8,3,4,8,4
21,2,6,9,5,8,10,4
9,6,5,7,3,3,13,4
9,6,1,7,3,4,8,5
13,4,5,6,6,2,10,2
18,4,4,10,3,0,10,1
20,8,2,12,4,0,10,3
20,5,4,10,4,2,12,2
15,3,5,9,3,2,7,0
20,5,2,8,5,1,7,3
10,3,6,6,9,2,11,4
6,4,4,4,4,1,5,3
13,7,4,6,8,3,11,5
16,3,1,9,10,2,11,2
17,1,4,10,8,1,8,3
15,4,4,10,8,2,9,5
14,5,2,7,7,2,9,3
18,4,4,8,7,3,7,2
9,3,3,7,9,2,8,5
5,5,2,6,6,2,6,3
12,7,3,8,8,2,9,3
15,5,2,9,14,2,11,0
15,5,3,8,15,0,9,3
16,6,3,10,12,2,7,3
14,6,2,7,13,2,10,2
16,3,2,8,14,3,8,1
11,6,3,0,8,2,12,4
8,3,2,2,9,2,7,1
10,5,5,7,11,1,7,4
15,5,1,9,15,0,9,3
19,7,1,7,15,0,12,1
18,4,4,8,18,4,10,2
13,5,5,7,12,0,6,5
17,6,0,4,11,0,6,1
9,4,3,3,5,2,10,5
8,5,3,2,8,4,8,0
12,7,3,3,7,4,9,4
14,4,1,4,9,2,9,3
17,2,3,0,8,1,9,1
17,3,0,2,9,3,9,1
12,5,2,4,8,2,8,5
19,3,1,0,6,1,8,0
10,2,3,4,8,4,11,1
8,4,0,2,6,2,5,4
14,5,2,2,8,2,10,3
17,2,2,4,11,3,13,3
16,2,0,0,12,0,9,4
17,5,3,2,7,0,10,2
16,3,3,3,7,3,9,2
19,2,0,1,6,4,10,4
9,5,2,4,6,4,13,1
6,2,5,3,9,5,6,1
10,5,3,2,9,4,9,3
14,5,4,5,9,2,11,3
17,2,2,0,12,4,12,0
17,5,3,1,12,5,10,3
12,4,3,3,9,4,6,1
16,4,3,3,7,3,10,1
12,4,4,2,8,3,11,3
9,3,5,3,6,5,6,3
12,6,3,4,10,2,9,2
19,7,4,7,13,2,12,3
22,3,1,3,13,4,11,1
19,4,3,3,11,5,9,4
15,5,3,4,10,3,8,1
19,5,2,5,9,2,8,3
10,5,3,2,6,4,11,2
6,4,4,2,4,4,8,1
13,4,2,4,7,9,9,4
17,5,2,6,11,12,10,1
20,3,3,4,10,7,12,0
19,2,3,2,9,9,9,1
14,4,4,4,9,9,8,1
16,5,2,3,7,7,10,0
10,7,7,4,2,8,12,4
8,3,5,2,1,5,7,2
13,6,2,0,1,8,9,4
18,5,3,3,0,11,8,2
23,5,4,2,2,11,12,2
19,6,2,0,2,8,9,4
15,7,4,2,1,10,6,2
19,3,4,3,2,6,8,3
12,2,3,2,2,4,12,4
8,3,1,4,3,7,5,1
11,3,3,7,5,4,10,2
20,2,2,7,1,6,10,1
21,3,1,6,0,5,9,1
20,5,0,6,3,6,9,0
16,4,3,7,4,5,8,3
21,4,2,7,2,5,6,1
9,5,1,6,4,1,10,4
10,5,3,7,0,2,5,3
13,6,4,6,1,1,7,5
17,6,0,6,2,2,10,2
20,4,1,8,1,0,9,2
21,5,1,8,0,1,7,4
14,6,1,6,3,4,7,2
18,3,0,4,3,0,8,4
10,2,2,5,4,2,12,3
10,4,2,5,3,3,8,1
11,4,3,5,2,3,9,4
17,3,2,5,4,1,13,2
20,4,1,9,2,0,10,3
19,4,3,7,0,2,11,4
15,4,3,7,2,1,11,1
20,3,0,7,2,2,9,5
9,5,4,5,4,3,12,3
8,3,1,8,6,3,8,4
11,4,3,7,1,2,7,3
16,5,3,7,0,2,11,0
19,5,0,7,1,0,9,1
