"V2","V3","V4","V5","V6","V7","V8","V9"
9,8,0,24,41,30,35,16
13,4,3,30,54,36,44,15
10,6,4,22,33,25,27,11
12,3,0,52,240,81,78,15
10,3,3,65,481,112,85,13
11,0,1,55,337,84,66,15
12,2,1,55,331,85,72,11
10,0,7,54,331,86,65,17
8,5,4,24,40,29,34,16
8,2,0,29,52,32,45,18
10,5,4,23,34,28,27,16
8,4,0,51,241,84,80,22
10,5,0,63,477,107,89,18
8,8,1,55,336,81,71,14
8,3,0,55,330,86,68,20
8,10,0,57,331,85,70,13
11,2,2,23,39,27,37,14
9,5,4,28,53,36,47,15
10,3,4,18,34,28,26,13
7,0,0,45,240,82,82,16
8,2,0,62,475,103,87,17
8,1,2,54,329,88,68,16
6,8,0,51,326,81,67,13
7,3,0,53,326,85,68,15
11,3,6,19,42,28,36,14
10,2,3,24,54,37,48,14
11,5,6,19,34,26,28,11
12,0,6,39,241,82,83,17
13,1,0,48,471,106,96,10
16,0,2,45,320,85,75,11
10,0,1,47,314,82,73,19
12,0,1,44,319,81,75,12
9,4,3,19,40,30,36,16
8,7,3,21,54,39,45,16
9,7,2,18,35,27,29,15
10,4,0,38,240,80,82,16
8,4,4,46,470,109,93,16
7,1,1,37,315,90,74,19
10,1,0,38,315,82,70,14
6,2,0,41,312,84,72,10
11,7,2,21,43,29,35,14
9,3,0,27,54,34,47,17
10,7,3,18,34,27,26,14
8,6,0,40,241,84,85,20
11,3,1,57,470,106,93,18
8,7,4,47,312,85,68,13
8,10,0,44,306,84,69,18
15,2,0,48,308,82,70,15
13,1,3,22,42,27,38,16
12,3,2,22,55,37,46,14
10,5,4,17,34,25,31,14
16,1,0,39,243,81,83,18
13,4,5,50,467,104,94,16
11,2,0,40,314,90,72,18
14,7,0,40,310,81,67,16
8,6,2,48,313,83,73,14
13,5,7,22,40,30,37,15
11,4,3,21,57,35,48,18
13,3,2,19,32,24,29,11
13,0,0,42,239,83,84,19
14,0,5,49,467,107,91,20
17,4,2,47,314,80,75,16
13,0,0,43,309,84,70,17
15,3,1,47,310,79,68,12
11,3,0,22,41,31,36,13
9,4,1,25,55,34,43,17
8,7,3,18,31,24,27,14
11,0,0,38,237,87,80,15
12,0,1,48,468,108,91,16
8,4,3,45,314,87,75,18
15,2,0,40,313,86,72,18
11,3,0,45,311,86,70,18
11,7,4,21,41,32,37,17
10,4,3,21,55,38,47,17
10,3,2,19,33,26,28,11
9,4,1,38,233,83,80,17
7,3,5,48,465,109,93,19
12,7,0,38,305,89,72,15
9,3,0,42,303,89,67,16
7,1,5,43,307,82,68,12
10,5,5,21,41,29,36,14
10,5,4,24,56,33,44,16
12,4,6,17,34,25,30,14
10,5,0,37,232,86,81,18
9,4,0,47,460,109,91,15
12,3,1,35,302,83,70,14
10,9,0,36,294,85,67,17
5,0,1,43,297,85,69,14
10,4,3,21,40,30,37,14
8,3,1,24,55,34,48,15
9,5,3,19,31,26,27,12
10,0,2,40,228,82,81,16
12,6,2,44,460,102,92,15
13,5,0,44,300,89,76,16
14,0,2,42,295,84,66,17
9,0,5,42,296,83,65,11
10,6,3,21,41,29,36,13
9,4,0,24,53,39,45,16
7,3,5,19,34,25,27,11
8,4,3,44,224,83,82,15
9,7,0,48,459,111,91,20
10,1,0,44,304,88,72,10
9,1,0,43,302,87,67,12
13,3,5,39,301,87,66,16
8,3,6,22,41,30,35,15
11,4,5,23,54,35,45,16
