"V2","V3","V4","V5","V6","V7","V8","V9"
21,19,19,21,22,21,21,10
35,30,30,29,28,23,24,13
24,22,22,23,22,20,20,12
79,71,67,65,69,36,38,13
89,77,72,73,79,41,44,13
47,38,36,37,38,27,27,10
27,24,23,22,25,20,20,10
28,23,21,21,23,20,16,9
10,4,3,5,13,10,19,1
11,5,1,6,20,11,26,3
10,3,2,6,15,9,16,2
14,3,5,6,43,16,40,0
15,4,0,2,50,16,47,0
18,2,0,5,29,13,31,2
12,6,3,6,22,11,23,1
14,5,4,4,17,9,16,1
10,8,2,7,14,10,21,4
10,5,1,9,20,10,24,4
9,5,4,9,12,8,14,2
13,3,3,7,35,15,37,2
14,1,0,6,45,13,45,2
17,5,2,8,26,14,27,1
15,4,4,8,17,12,20,1
13,4,3,4,18,8,18,2
10,9,2,5,14,12,21,4
12,8,4,7,17,15,25,3
8,7,2,7,14,10,16,3
13,6,2,6,36,17,38,3
12,1,1,4,41,18,45,0
14,3,1,6,24,14,27,0
13,5,1,6,18,12,21,2
14,5,2,2,17,12,20,3
11,6,4,8,13,9,18,3
13,7,3,5,17,11,25,5
8,4,5,6,13,9,16,3
12,5,1,7,39,15,30,1
14,5,0,9,43,13,42,1
14,6,1,6,22,12,25,2
11,6,3,9,18,11,18,4
10,5,4,6,17,9,16,2
12,7,4,3,13,7,21,6
14,6,3,4,15,8,24,7
9,4,2,5,13,5,14,2
13,4,4,1,29,7,29,0
15,4,2,2,33,4,37,1
15,2,1,5,20,7,24,1
12,5,3,3,17,8,17,1
11,4,3,2,14,5,15,4
12,5,5,1,13,5,15,4
14,7,1,4,18,4,24,5
14,4,2,2,15,4,18,5
16,4,1,4,30,7,34,4
17,3,2,1,35,2,35,3
19,4,3,1,19,5,23,3
13,5,0,3,15,7,18,7
14,3,5,2,15,3,17,3
9,7,4,4,11,6,17,4
14,7,0,4,15,7,25,7
11,5,2,5,13,5,17,2
15,4,1,1,27,6,28,0
18,4,0,2,30,3,30,2
19,4,0,2,21,7,23,2
14,3,5,4,14,7,17,1
15,6,0,1,14,2,13,4
9,7,2,3,10,9,17,5
13,3,4,5,14,7,25,4
11,4,3,4,13,5,15,2
14,3,3,0,24,5,25,0
19,6,0,2,27,5,29,5
16,4,2,2,22,7,22,2
14,5,3,4,14,5,15,2
16,7,2,3,14,5,14,4
10,4,1,3,11,4,14,1
14,5,3,4,15,5,23,5
12,6,2,6,16,4,17,5
15,4,1,2,27,5,20,0
18,5,0,2,28,3,23,3
18,5,0,3,21,5,18,3
12,2,0,4,12,4,12,2
13,3,1,3,12,3,10,3
10,5,3,5,10,5,17,4
13,4,1,1,15,3,21,1
12,5,3,1,13,3,15,3
17,4,0,0,22,1,18,1
19,5,0,0,26,4,20,4
16,2,1,2,21,5,19,1
12,4,2,4,12,3,11,4
16,4,1,1,12,3,10,4
9,6,4,2,8,4,13,2
13,10,1,2,10,2,20,3
13,5,3,3,11,5,15,4
15,5,3,1,18,6,19,0
17,6,0,1,21,3,19,1
19,5,0,1,15,5,15,2
13,5,4,3,11,5,14,3
15,7,2,2,13,5,13,2
10,7,2,4,4,4,12,2
16,9,2,0,4,4,18,6
13,6,4,4,7,6,14,2
18,4,1,2,6,4,15,1
19,5,1,2,6,3,13,1
16,7,2,1,3,4,10,2
13,3,3,4,6,5,9,1
17,5,5,2,6,5,10,3
12,7,1,1,1,2,12,4
14,2,2,2,4,5,17,2
9,5,3,2,4,3,10,2
18,4,1,3,0,1,12,2
21,3,0,3,1,0,14,1
18,3,0,1,3,3,11,0
11,5,0,3,3,2,9,1
18,5,2,4,1,1,9,2
10,6,3,2,4,1,10,5
16,7,2,5,2,2,16,2
10,5,6,2,5,3,11,3
18,3,1,0,1,2,10,3
18,6,2,1,2,0,11,1
18,5,3,0,1,2,9,1
13,5,4,3,3,3,6,4
17,4,1,3,3,5,6,1
10,5,1,0,2,1,12,0
13,4,2,5,5,4,13,3
10,6,3,3,4,4,8,3
17,8,1,2,2,1,12,1
20,2,4,3,0,0,11,0
18,5,1,1,5,1,9,3
10,4,3,5,2,0,7,1
19,5,2,0,1,0,7,0
9,4,2,5,2,1,7,2
9,4,2,3,3,1,9,2
10,4,0,0,1,2,10,1
14,4,0,4,0,1,10,0
18,5,1,1,0,0,9,0
16,2,1,0,0,3,11,0
10,4,1,4,3,4,7,0
17,5,1,1,5,0,7,0
7,4,4,1,1,0,7,3
11,5,1,3,4,4,8,3
10,6,2,2,2,3,8,4
17,5,2,3,0,1,9,0
18,6,0,1,0,0,10,3
18,6,1,3,2,4,9,4
12,6,3,6,4,3,6,4
18,5,1,2,1,0,7,4
5,3,3,2,1,2,8,2
10,6,3,2,2,4,8,2
10,3,2,3,2,2,7,1
17,3,3,1,0,0,13,2
19,4,0,1,1,1,9,0
16,5,2,2,2,0,8,1
11,4,3,2,1,0,7,1
18,3,1,4,2,2,6,2
9,4,2,3,3,2,9,2
9,7,1,3,1,2,8,2
9,5,2,2,3,3,9,0
17,5,1,1,1,0,13,1
20,5,2,3,1,0,10,0
18,4,4,2,2,2,8,0
12,3,0,2,3,4,10,0
20,4,1,2,4,1,8,0
7,6,2,1,1,1,6,3
