"V2","V3","V4","V5","V6","V7","V8","V9"
41,41,40,39,37,34,30,24
37,35,35,35,32,29,25,21
21,21,20,21,19,17,14,12
240,240,236,237,176,155,118,87
307,308,309,293,170,143,98,72
60,60,59,57,44,37,31,28
65,64,64,64,48,42,34,27
21,21,23,22,16,16,12,11
2,16,38,38,35,32,28,29
4,14,29,34,27,26,23,22
1,9,17,21,15,15,13,11
0,22,155,224,118,114,71,77
1,19,161,264,96,91,51,57
1,13,27,48,22,19,15,15
1,15,36,59,27,28,19,18
2,7,16,17,10,11,6,7
2,15,34,39,34,32,29,28
4,14,29,33,26,25,21,21
3,7,18,21,16,16,12,11
1,18,152,219,119,117,71,79
1,18,154,259,98,90,53,59
0,15,27,47,21,19,15,14
1,11,35,53,28,27,17,19
4,8,12,18,11,9,6,6
1,16,35,39,34,32,28,27
4,12,30,32,27,28,21,21
5,8,17,19,16,15,12,12
0,19,155,225,124,120,72,81
0,18,158,261,98,94,53,59
3,11,30,46,22,22,13,17
4,13,34,52,30,27,17,18
2,8,11,17,9,9,6,5
4,14,36,36,36,33,28,28
3,12,30,33,29,26,22,22
2,8,17,20,14,14,11,10
0,18,152,221,121,120,73,83
1,15,154,257,99,95,52,60
3,12,27,47,24,19,14,16
0,12,34,54,28,26,18,17
3,5,14,18,9,10,7,7
2,16,35,38,35,32,29,27
1,12,29,35,27,28,23,23
2,6,16,17,13,15,11,11
0,18,149,220,120,121,72,82
0,17,147,257,97,95,52,61
0,11,29,49,23,22,15,17
2,9,33,50,25,26,16,18
2,7,11,16,9,10,7,5
3,15,37,40,33,32,29,28
2,10,30,34,27,29,23,22
3,6,14,16,13,13,9,10
0,17,150,217,118,123,73,81
0,13,149,256,95,95,53,61
3,12,31,49,24,22,16,18
3,13,33,51,28,27,16,18
2,6,10,15,7,9,7,4
3,12,37,38,35,32,29,29
3,11,28,33,30,28,21,22
0,8,14,17,13,13,11,9
0,13,147,215,117,119,72,83
2,13,148,252,96,95,50,63
2,12,29,47,23,23,15,17
0,10,30,47,24,24,17,15
4,4,12,17,9,9,5,7
2,15,35,39,35,34,30,27
1,11,31,35,28,26,23,22
2,5,15,17,13,14,11,10
1,12,146,208,117,119,71,79
0,15,145,249,96,96,53,58
0,11,26,47,22,20,14,14
2,9,28,46,22,24,13,16
2,4,12,16,8,10,5,6
2,12,36,40,33,32,30,27
4,10,31,35,28,27,22,22
2,7,14,16,14,13,9,9
0,15,144,202,115,117,73,77
1,14,147,247,97,95,51,58
3,10,28,46,22,22,14,16
2,10,31,45,24,24,15,15
2,6,10,15,9,8,4,5
4,13,36,39,35,33,28,29
2,12,31,33,27,27,23,22
1,5,14,17,13,12,11,10
1,14,143,202,115,115,71,79
0,11,148,250,95,96,51,62
0,10,28,46,22,22,15,16
1,14,30,46,24,24,16,14
6,6,12,16,9,11,4,6
1,11,36,38,33,32,29,28
3,12,29,33,28,25,22,21
3,7,14,17,12,12,10,9
2,13,141,200,111,116,71,79
0,15,149,247,95,95,53,61
0,11,28,47,22,22,15,16
2,10,30,47,23,25,15,16
2,5,12,17,8,10,5,7
2,13,39,36,34,32,29,27
4,11,30,33,28,25,24,22
1,5,13,17,14,13,9,9
0,12,141,197,113,120,72,79
0,11,145,239,95,97,52,61
3,12,29,49,24,23,14,16
2,10,31,49,25,27,16,15
3,5,12,19,9,11,5,7
1,13,34,37,34,32,30,27
5,9,29,34,26,27,21,21
2,5,15,16,12,12,9,10
0,12,139,192,111,117,70,80
0,14,144,233,93,96,53,59
2,10,30,47,21,25,16,16
3,9,31,49,26,26,14,15
3,5,13,15,7,9,5,5
4,11,36,39,33,34,30,29
1,9,32,34,28,29,24,24
2,6,13,15,13,11,11,10
0,13,135,186,110,121,72,77
2,12,141,223,91,100,50,58
2,9,30,47,23,25,15,18
0,9,31,48,25,26,18,16
1,5,11,14,7,10,6,5
1,11,36,39,33,32,29,30
2,11,30,33,30,29,24,24
1,5,13,16,12,13,9,8
2,12,132,184,105,117,69,77
0,11,138,224,88,98,51,59
1,12,30,49,24,25,16,17
2,10,30,48,22,27,16,15
4,4,10,14,7,9,4,4
2,11,37,38,35,33,32,30
3,12,31,35,29,29,24,23
4,5,13,17,12,13,9,9
0,10,134,184,104,117,68,77
0,12,139,220,86,97,51,59
1,10,28,47,21,25,16,16
3,8,29,47,23,25,15,15
2,5,12,15,9,10,7,6
3,13,36,38,34,34,31,29
5,10,30,35,27,30,23,22
1,3,15,15,13,12,11,10
0,11,134,181,108,119,72,79
0,12,133,214,87,98,51,57
4,8,28,45,19,24,15,16
1,8,29,45,22,25,14,16
2,7,11,13,7,9,6,5
2,9,36,40,34,34,30,28
2,8,31,34,28,27,23,23
1,7,13,16,12,12,10,10
0,10,135,184,111,119,71,79
1,9,134,213,90,97,51,58
1,9,27,43,23,23,14,15
0,7,28,43,21,24,16,16
3,4,8,15,7,10,6,5
1,11,35,38,36,31,30,30
3,8,29,34,27,29,24,23
3,5,13,16,13,15,10,9
1,8,134,183,112,120,70,79
0,10,135,211,91,96,51,59
1,11,28,44,21,23,15,14
2,7,27,44,22,24,16,15
3,4,11,15,9,11,4,6
2,11,34,37,33,34,30,28
3,9,30,35,29,30,24,23
3,5,14,17,14,15,9,10
0,8,136,185,114,123,71,79
0,11,133,212,89,100,51,57
2,8,26,43,22,24,14,15
1,6,28,42,23,24,15,15
1,5,12,15,8,9,6,7
3,11,36,40,34,35,31,29
3,7,31,34,29,30,23,24
3,4,14,16,14,13,10,10
0,10,136,188,112,124,73,81
2,7,134,214,89,99,51,60
3,9,26,43,21,24,16,16
1,7,29,41,23,25,15,18
2,5,11,16,7,10,7,5
2,10,37,38,35,33,30,30
1,9,31,34,29,28,24,24
2,5,15,17,12,14,11,10
0,9,135,186,114,123,72,81
0,7,135,214,91,101,51,63
2,9,28,46,23,23,14,17
1,9,27,45,22,25,16,15
2,5,11,15,8,12,6,8
2,10,36,40,34,33,30,30
5,7,31,35,29,30,24,23
1,3,15,16,13,13,10,11
0,8,136,186,114,122,71,83
0,9,135,216,91,100,51,62
0,8,27,44,22,24,15,17
1,8,28,41,23,26,14,16
4,5,11,14,9,9,7,6
3,10,37,38,35,34,30,30
2,7,32,34,28,30,24,25
3,5,14,17,14,13,10,11
1,9,136,186,112,122,73,82
0,7,135,214,91,101,52,62
2,9,29,44,22,24,15,19
2,7,24,41,21,24,15,16
2,5,10,15,8,10,8,5
2,8,38,38,34,33,30,31
2,9,31,35,29,30,25,23
3,4,13,16,12,13,10,10
0,9,135,182,113,123,71,83
0,8,136,211,91,102,52,63
0,8,27,44,22,25,15,19
0,7,26,40,19,22,16,16
3,4,11,14,9,12,6,6
2,9,36,37,36,34,30,30
2,9,30,35,28,28,24,26
1,4,15,16,12,13,11,9
1,6,135,186,113,122,73,82
0,8,135,213,90,101,51,64
1,7,28,44,23,24,15,18
3,5,25,39,20,24,15,15
3,4,12,14,8,10,5,7
2,11,36,38,36,34,30,30
2,8,31,35,30,28,24,24
3,4,14,16,12,13,10,9
1,8,135,186,114,123,73,82
0,10,135,211,90,102,50,63
2,8,27,44,23,24,16,19
1,7,26,40,20,22,15,15
2,6,10,15,9,9,7,6
2,10,35,39,37,34,30,30
2,10,30,35,29,29,24,23
3,4,15,16,12,13,10,10
