"V2","V3","V4","V5","V6","V7","V8","V9"
23,22,22,21,22,20,17,3
13,14,14,13,14,11,11,5
4,6,5,4,4,2,4,1
40,39,35,35,30,26,24,0
33,33,31,29,24,23,18,2
4,5,5,4,4,3,1,4
3,5,3,4,2,3,2,0
9,9,8,8,5,7,6,2
2,4,18,18,17,15,15,4
2,5,11,12,9,8,10,3
1,0,2,5,3,2,3,0
4,0,19,29,19,14,17,3
0,0,17,23,15,13,15,2
0,0,2,3,0,1,2,0
0,1,2,4,1,3,4,0
2,2,6,7,8,6,6,3
2,2,15,18,14,16,17,3
3,2,7,10,9,10,10,4
0,0,2,2,5,2,2,0
0,0,11,15,15,13,14,2
1,1,10,16,12,15,16,1
3,2,1,3,2,3,3,1
2,1,3,2,4,3,1,0
1,2,5,6,7,6,5,3
3,0,12,14,9,11,11,4
4,0,7,7,6,5,5,3
1,1,3,3,3,2,3,1
0,2,13,15,10,10,11,2
1,2,11,14,8,10,10,0
1,1,3,0,1,1,0,0
0,0,3,3,3,1,2,5
0,2,5,8,3,4,5,1
2,1,7,6,8,8,7,4
1,4,4,5,3,4,4,3
2,0,2,2,3,3,3,2
2,0,5,4,6,9,6,1
1,0,7,5,6,7,6,2
0,1,2,1,0,0,0,1
2,0,2,2,2,3,2,0
2,0,4,4,5,6,2,1
1,4,6,6,3,4,7,0
3,0,2,3,2,3,1,2
2,1,3,1,2,2,0,1
1,2,5,5,3,6,5,1
1,2,3,5,3,3,6,2
1,0,1,0,0,0,0,0
1,2,2,2,5,3,5,1
0,0,4,2,4,3,3,3
3,1,2,2,2,3,3,3
0,0,2,0,0,0,1,1
0,2,1,1,0,1,1,2
1,3,1,3,0,0,4,1
4,2,3,1,1,0,2,2
1,0,0,1,1,1,1,1
1,0,0,0,1,1,2,2
0,0,0,3,1,0,3,1
3,2,3,1,3,2,4,3
0,1,0,1,0,0,3,1
1,1,0,1,0,1,3,1
4,1,1,1,0,2,1,1
1,0,3,2,4,4,4,3
1,0,1,0,2,0,1,2
1,2,0,3,1,1,2,0
