"V2","V3","V4","V5","V6","V7","V8","V9"
30,28,25,26,22,22,20,17
10,10,8,10,9,9,8,5
2,3,1,2,2,1,2,0
64,62,62,60,56,53,46,34
99,96,92,87,78,67,57,38
33,32,32,31,28,23,19,12
39,39,39,37,37,28,23,15
20,17,17,16,16,14,11,9
3,11,23,24,23,21,21,19
2,5,8,8,8,7,9,7
0,1,1,1,1,2,2,0
4,11,59,60,56,50,47,39
4,11,83,80,73,56,52,41
5,9,28,27,25,19,19,14
5,8,31,32,31,24,21,16
4,7,13,14,13,10,9,8
4,12,24,23,24,21,23,19
3,4,9,8,9,7,7,6
0,1,2,2,3,0,1,2
5,12,59,56,55,49,47,39
3,10,90,76,73,60,54,40
7,9,28,25,26,20,18,14
3,9,33,31,32,24,21,17
3,7,16,13,15,12,11,7
6,14,25,23,24,21,22,20
2,6,8,11,8,8,8,7
0,3,1,2,1,3,2,1
3,13,60,57,57,50,47,41
5,14,90,80,78,62,53,42
5,10,28,26,26,18,18,14
5,10,34,30,31,24,22,17
6,9,15,14,16,12,10,8
8,13,24,23,24,21,21,19
2,4,9,9,10,7,8,6
0,1,3,1,1,2,1,1
4,14,63,60,59,54,49,41
2,14,97,85,81,65,55,44
5,10,31,26,26,20,20,15
3,11,36,31,33,25,23,18
3,7,15,14,15,11,10,9
4,13,25,24,24,22,22,18
2,5,9,9,8,10,9,7
1,2,2,2,1,0,2,1
4,14,64,62,60,52,48,42
2,12,99,87,82,65,58,44
7,12,31,26,26,21,17,14
3,11,35,32,34,24,21,17
4,7,18,15,15,11,12,7
3,15,24,25,24,21,22,20
2,6,11,10,8,9,9,8
1,4,3,4,2,3,2,2
4,15,64,66,61,54,51,45
3,13,103,92,83,67,58,46
5,11,31,27,26,20,19,14
1,11,34,32,33,25,21,17
3,7,17,16,15,11,10,8
5,12,25,24,23,21,22,19
3,4,10,10,10,9,8,8
1,4,2,2,2,2,2,1
3,14,67,66,62,56,53,43
4,12,104,93,86,68,59,48
5,11,31,27,27,20,17,15
3,11,37,35,32,23,22,15
4,7,17,16,15,10,12,8
5,13,25,24,22,22,21,20
2,6,12,11,9,9,8,6
0,2,0,1,4,1,2,1
5,15,64,65,61,53,52,44
4,11,104,91,83,67,57,47
4,11,31,26,26,21,18,13
3,11,36,32,33,23,24,15
4,8,16,16,15,11,10,9
2,14,25,24,24,22,21,17
2,5,10,10,8,8,8,7
0,2,1,2,0,2,1,2
4,14,66,64,63,54,50,45
1,13,104,90,85,69,59,47
6,11,31,27,26,20,18,13
4,8,35,33,33,24,21,17
4,6,17,15,15,12,10,9
2,13,24,23,23,20,21,19
2,4,11,10,8,8,8,7
0,2,2,1,1,3,1,1
2,12,64,63,61,55,51,43
2,13,102,90,85,66,59,45
5,9,31,28,28,21,17,15
2,8,36,34,32,26,23,18
3,8,17,15,16,11,12,7
4,13,24,24,24,22,21,20
2,5,10,10,9,9,7,7
0,2,3,1,1,2,3,1
1,16,65,66,62,53,52,44
1,12,102,93,86,69,59,48
5,9,31,29,25,22,18,14
3,11,37,33,32,26,23,16
3,8,18,14,15,10,11,8
4,13,24,24,21,22,22,20
1,7,12,9,10,10,10,7
0,2,1,2,3,1,2,1
3,13,66,65,61,55,49,45
1,11,103,94,84,70,58,47
4,11,32,27,28,20,19,14
2,10,35,34,32,23,21,16
4,6,17,17,16,13,11,10
3,12,24,22,22,21,19,17
3,8,10,10,9,8,8,6
1,2,1,2,1,2,1,2
2,13,66,67,62,56,49,45
0,12,104,92,85,67,57,48
5,11,32,28,27,21,16,15
2,8,35,33,32,24,21,18
2,6,16,15,14,11,10,8
5,13,23,25,22,19,20,18
2,4,9,10,9,9,8,8
0,1,1,2,1,1,1,1
1,13,68,65,63,54,51,43
3,13,103,93,86,67,55,46
6,11,31,29,28,21,16,15
2,9,37,33,32,24,23,18
3,9,17,16,16,10,10,7
2,11,23,25,23,22,20,20
2,5,10,10,9,8,8,6
0,3,1,2,3,1,1,0
2,14,67,66,63,57,50,44
4,12,106,96,87,69,55,49
3,10,32,29,28,21,18,16
2,9,36,35,34,24,23,17
4,10,16,15,15,12,8,7
3,12,23,23,22,19,19,19
2,5,11,9,11,8,9,6
0,2,2,1,2,3,2,1
4,15,67,68,62,56,49,44
2,14,105,96,86,69,56,49
5,9,32,29,30,20,20,15
2,10,36,33,33,25,21,16
4,7,16,16,14,11,10,8
3,12,23,23,24,19,20,17
2,5,10,7,9,8,7,5
0,3,1,2,0,2,1,1
4,14,66,65,62,54,49,46
2,12,102,92,88,67,56,48
4,10,33,28,28,22,19,15
3,10,35,37,34,27,20,18
4,6,17,15,15,9,10,9
3,13,22,23,22,22,19,16
3,6,9,10,10,9,7,7
1,1,2,1,2,0,1,2
2,12,66,65,62,55,49,45
1,12,102,92,85,69,56,47
5,11,32,29,28,22,17,14
4,10,35,34,35,25,22,20
3,8,17,14,15,11,12,8
5,12,22,23,23,20,19,19
1,4,10,8,10,7,8,7
0,2,2,1,1,1,2,0
2,14,65,65,61,56,49,46
3,13,101,94,85,69,54,47
7,9,32,28,29,21,18,15
2,10,36,34,33,24,22,18
2,8,16,15,15,12,10,6
4,12,23,23,24,20,19,17
1,5,10,9,9,8,9,6
0,2,1,1,0,1,1,1
3,14,65,66,62,56,48,45
2,12,102,93,86,68,55,49
5,11,33,30,28,20,18,16
1,9,36,35,34,26,22,18
3,7,15,16,15,11,10,8
3,12,24,23,22,20,20,18
2,6,10,10,9,8,8,7
0,2,2,2,2,2,2,3
3,12,68,67,63,55,49,45
3,13,104,93,87,67,55,48
4,10,33,30,27,22,18,15
2,9,36,34,34,25,21,20
5,8,18,15,16,9,9,8
3,13,22,23,23,20,20,17
3,7,8,10,9,8,8,6
0,3,1,1,3,3,2,2
2,13,68,66,63,55,49,46
1,13,104,97,86,67,55,48
5,11,33,29,29,21,19,15
2,9,38,35,33,26,21,17
3,7,18,17,16,12,9,8
3,13,23,24,21,21,20,17
4,5,9,9,9,8,7,6
0,1,2,0,2,0,1,1
3,14,67,66,62,55,51,46
1,13,103,96,86,70,57,49
5,11,32,28,28,22,16,14
3,8,37,34,35,26,22,19
4,8,16,16,15,11,10,8
5,13,24,22,23,21,18,18
3,4,10,10,10,8,7,8
0,3,2,2,0,1,2,0
3,14,67,66,63,58,51,46
2,11,106,95,87,70,55,49
4,9,33,30,28,20,18,15
3,10,37,36,34,24,22,17
5,8,16,15,14,13,8,8
4,11,24,23,24,19,19,18
0,5,10,10,9,7,9,8
1,3,1,1,1,2,1,1
4,13,69,66,65,58,50,46
2,11,108,97,88,70,57,51
3,11,32,31,29,20,17,15
1,9,37,35,34,26,21,17
4,6,18,15,16,10,9,9
3,13,24,24,23,20,20,17
2,5,10,10,7,7,7,6
0,3,1,1,3,1,2,1
3,12,69,68,64,56,50,46
2,12,106,99,88,68,57,49
3,12,33,30,29,22,18,15
4,9,39,35,34,27,22,19
4,7,17,17,17,10,9,7
5,13,23,25,22,18,19,17
1,6,8,11,8,7,7,5
0,2,2,1,2,2,1,1
5,13,69,66,64,57,49,46
1,11,106,98,90,70,57,49
6,11,32,30,28,22,18,16
2,10,39,37,34,27,21,18
4,8,17,16,17,13,10,9
4,12,22,24,22,20,19,18
5,6,11,10,10,9,7,7
1,2,2,1,2,1,1,2
3,13,68,67,64,56,51,46
2,13,104,99,88,70,57,49
5,11,33,29,27,22,18,15
4,8,38,36,35,25,21,19
5,8,17,16,17,9,10,7
4,12,25,23,23,21,20,19
3,5,9,10,11,8,7,7
0,3,1,1,2,1,2,1
3,14,69,69,65,57,51,46
1,12,107,98,88,72,57,49
6,10,32,30,30,22,18,17
2,11,37,36,36,24,23,18
2,7,18,17,15,11,10,8
5,14,23,23,23,20,20,18
2,6,10,10,10,7,8,8
0,3,1,2,1,2,3,0
3,13,69,68,63,56,51,46
4,11,107,98,89,70,56,50
5,12,31,31,30,21,18,15
2,10,38,37,34,25,24,19
4,7,20,15,15,12,10,10
4,12,24,23,24,20,18,18
2,6,10,11,10,10,8,6
0,0,0,0,0,1,1,2
4,13,68,70,64,58,50,47
2,13,107,101,91,71,57,50
4,11,32,30,29,19,19,15
3,9,39,38,34,25,20,18
5,9,17,16,16,11,9,8
3,13,24,24,23,20,20,17
2,5,9,10,9,8,8,7
0,0,1,0,1,2,0,3
3,16,69,68,65,57,50,46
1,12,107,100,91,69,58,50
3,10,34,32,28,22,19,14
3,9,39,38,37,25,21,20
3,9,16,15,16,11,9,8
2,12,23,24,23,21,19,18
3,4,10,9,9,7,8,7
0,3,2,1,2,1,1,0
1,14,69,69,66,57,52,46
2,13,108,102,89,70,58,50
6,10,34,32,29,22,17,15
3,12,37,35,36,25,21,19
2,9,17,18,16,10,11,7
5,13,23,23,22,20,18,17
1,6,8,9,11,7,8,5
0,0,2,3,1,1,1,2
5,14,72,70,65,59,51,47
4,13,109,100,91,71,57,50
5,11,32,30,31,23,19,16
3,9,37,38,35,25,22,17
5,7,17,16,15,12,8,8
4,14,21,22,23,20,19,19
2,5,10,10,9,7,10,6
1,0,3,3,2,1,1,2
3,14,70,68,65,59,51,45
1,15,109,100,91,70,58,49
4,11,31,31,31,22,19,15
1,9,37,38,35,26,21,18
3,6,18,16,15,11,9,8
4,14,23,24,22,20,19,17
2,4,10,10,9,9,8,7
0,1,2,2,1,2,2,1
4,14,70,70,65,56,52,45
1,11,107,101,89,71,57,50
6,10,32,30,27,21,16,16
4,10,40,37,36,26,22,16
5,8,17,17,16,11,10,8
5,12,24,24,22,21,18,18
1,6,10,9,9,9,9,7
0,3,1,3,2,0,0,0
5,13,69,69,65,57,50,46
3,11,109,101,90,71,56,51
5,12,34,31,30,20,18,15
2,9,36,36,36,24,23,17
6,7,16,18,14,12,9,8
4,14,23,23,22,20,20,16
2,5,10,9,9,8,8,6
0,2,2,3,1,2,0,2
3,13,70,69,65,58,51,48
1,13,110,101,90,71,58,50
5,9,32,32,29,20,19,15
5,8,36,35,35,26,21,18
3,9,18,16,14,11,10,7
5,12,23,24,23,20,19,16
3,4,10,10,10,9,7,7
0,2,2,2,1,2,2,2
2,15,72,69,67,57,52,47
2,12,110,104,92,71,57,49
6,9,33,31,30,22,17,17
4,10,39,38,35,26,20,19
2,8,18,17,16,11,12,8
4,11,24,24,22,20,18,17
2,5,11,10,9,8,9,6
0,3,1,0,3,1,2,1
4,14,70,71,67,58,52,47
3,12,110,103,92,73,57,51
5,10,33,31,29,21,17,15
1,9,37,36,35,25,22,19
4,8,16,16,17,12,10,7
3,11,23,23,21,20,18,18
0,5,9,8,8,7,8,7
0,2,1,2,2,2,1,1
3,12,70,71,66,60,51,48
2,13,110,105,91,72,58,50
4,12,33,30,30,20,19,16
1,10,37,37,36,25,22,17
5,8,18,16,14,11,9,7
2,12,23,22,23,20,20,18
4,6,7,8,9,7,7,5
0,1,2,1,0,3,1,0
2,13,70,70,66,58,51,49
2,12,110,102,94,72,58,51
4,10,32,32,29,21,19,16
3,9,38,38,36,26,21,17
4,7,17,16,16,11,10,7
3,13,22,23,23,20,19,17
3,4,8,8,9,7,7,6
0,1,2,2,1,0,2,1
1,13,72,70,66,59,51,48
0,12,110,103,93,72,59,51
6,10,32,32,29,21,18,15
2,8,38,37,35,25,22,16
4,8,16,16,17,12,10,8
3,14,23,22,23,20,19,17
3,4,7,10,7,10,7,5
2,1,1,2,2,1,1,1
4,14,73,71,68,59,52,49
1,13,111,105,93,72,59,51
7,11,34,31,29,21,18,15
3,9,38,39,38,27,22,19
2,8,17,16,18,12,9,9
5,14,22,24,22,21,18,16
3,5,9,9,8,7,6,6
0,1,2,1,2,0,1,3
3,14,72,71,67,59,53,48
3,12,112,106,93,73,60,51
6,9,33,32,31,21,17,15
3,9,39,37,36,24,20,18
3,9,17,16,15,10,11,9
4,13,23,24,23,21,18,17
2,6,11,8,10,8,7,7
0,3,2,2,1,2,3,1
4,14,71,75,66,59,53,48
2,10,111,107,95,74,58,52
5,10,32,31,28,20,17,14
1,11,37,37,35,24,22,17
4,6,16,17,15,13,10,8
3,12,24,23,23,18,17,17
0,7,8,9,9,8,8,5
1,2,2,3,0,4,3,2
4,12,70,72,67,58,52,49
0,11,113,105,94,72,58,52
3,10,32,32,28,21,18,15
3,10,37,39,35,25,21,17
3,8,16,15,16,12,10,9
2,11,22,24,23,21,19,18
1,5,9,9,7,8,7,5
0,2,2,1,2,1,1,1
1,12,71,72,68,60,53,50
2,13,111,107,93,73,60,52
5,10,33,32,29,22,18,15
3,7,39,37,38,27,22,19
3,7,17,17,16,10,10,8
4,11,22,25,22,21,19,18
2,5,10,10,10,8,6,6
0,2,2,2,2,1,1,2
3,14,70,71,65,58,52,48
2,11,112,106,94,74,59,51
5,9,34,31,31,22,17,16
3,10,39,38,35,24,22,17
4,9,15,17,16,12,9,7
3,12,23,21,23,20,18,18
2,4,8,9,8,6,7,5
1,2,0,2,1,0,3,1
3,14,72,70,66,60,53,48
2,11,111,104,95,74,58,53
4,10,33,32,30,22,19,15
2,9,38,39,36,25,23,19
4,7,17,15,15,12,10,7
2,13,24,24,23,20,18,17
3,4,7,10,9,7,7,5
1,2,2,1,1,1,2,1
1,13,73,73,68,60,52,48
2,11,113,107,95,74,58,52
5,11,33,32,28,20,19,16
2,10,40,38,36,26,22,19
4,6,17,16,15,11,10,9
4,13,22,25,23,20,21,20
3,5,9,7,9,8,6,6
0,1,3,1,2,3,1,2
1,13,72,72,68,60,53,50
2,12,112,108,95,72,59,52
5,12,34,33,29,21,18,15
3,9,39,39,36,26,22,20
5,9,16,16,16,11,9,10
4,14,23,24,24,21,19,17
2,3,9,7,9,7,8,8
0,2,1,3,3,1,1,2
1,16,72,71,68,59,54,48
1,12,113,107,93,73,60,51
5,9,33,32,29,22,16,17
2,10,38,38,37,26,21,18
2,7,17,17,17,9,11,8
3,12,23,23,23,20,19,19
1,3,7,9,8,6,6,6
0,2,3,2,0,2,2,0
4,13,74,71,68,60,52,49
2,9,112,107,94,74,58,54
6,11,32,33,30,21,17,15
2,10,40,39,36,26,22,18
4,5,18,16,15,11,10,9
5,14,22,24,23,20,20,18
1,4,9,9,9,7,8,6
1,1,1,0,1,2,0,2
2,12,72,72,68,60,53,49
0,13,112,108,95,73,59,51
6,9,34,31,28,21,18,14
4,9,40,38,35,26,20,19
4,8,16,15,15,11,9,9
3,14,24,24,23,20,21,17
1,5,8,7,7,7,7,7
0,2,2,1,1,2,1,2
3,15,72,75,69,60,54,47
0,12,113,109,95,73,60,52
6,9,35,32,29,22,17,16
2,9,37,37,36,25,22,17
2,8,16,16,15,9,10,7
5,11,23,23,23,21,19,18
1,5,8,7,8,7,8,6
0,3,1,2,2,0,1,0
4,12,72,74,68,59,54,48
1,11,114,109,94,76,61,52
4,12,33,33,30,22,18,15
3,9,37,39,37,27,22,18
4,7,18,16,15,11,12,9
3,13,23,23,23,21,19,19
2,5,7,9,10,7,7,5
0,1,1,2,2,1,2,2
4,12,73,74,67,60,53,50
3,12,115,108,95,76,59,52
