"V2","V3","V4","V5","V6","V7","V8","V9"
17,15,7,5,7,5,5,3
6,7,3,3,4,3,3,1
0,1,0,0,0,0,0,0
13,13,9,8,5,7,4,2
13,12,6,5,5,5,2,1
7,7,4,3,5,4,3,1
6,8,4,4,3,3,5,1
8,6,6,5,3,5,4,2
4,13,1,3,3,0,4,1
1,7,1,3,1,2,3,2
0,1,0,0,0,0,0,0
3,10,3,3,2,2,3,1
1,11,1,2,2,1,3,1
1,5,0,1,2,0,4,1
2,5,2,3,2,1,1,1
2,5,3,1,1,2,2,2
1,13,2,2,2,2,4,2
3,5,1,2,1,2,2,2
0,2,1,0,1,0,0,0
0,10,0,1,0,2,5,0
1,9,2,4,1,2,4,2
4,4,3,4,3,3,2,5
0,6,2,0,1,2,2,1
1,6,1,3,2,1,4,0
4,12,4,3,3,2,2,4
1,7,2,1,2,2,2,2
0,2,0,0,0,0,2,0
3,8,2,3,1,1,3,4
3,8,3,2,0,2,3,1
1,8,2,2,3,2,5,2
1,5,0,2,3,1,4,2
3,4,1,2,1,1,0,0
0,15,1,1,2,2,5,0
1,6,1,3,4,0,3,2
0,0,0,0,0,0,0,0
0,10,3,0,2,3,4,1
0,12,0,3,1,1,3,0
2,4,0,3,2,1,2,1
3,5,2,2,0,2,2,3
0,7,3,2,0,2,3,2
2,10,0,3,0,1,3,2
4,6,2,1,2,2,1,2
0,4,1,0,0,0,0,1
1,9,2,3,1,0,4,0
4,8,2,2,0,1,2,0
1,5,2,3,2,4,2,2
1,5,1,3,1,1,3,2
0,6,0,2,2,0,4,1
3,12,1,3,1,2,3,2
3,6,3,3,2,2,3,3
0,3,1,0,0,0,0,0
1,9,1,2,2,1,5,0
4,8,1,5,2,2,3,1
1,3,3,1,2,4,2,4
1,5,2,0,0,1,3,1
1,8,3,2,2,0,6,1
3,12,3,1,2,2,4,3
2,8,3,0,1,2,2,2
0,1,0,0,0,0,0,0
3,5,2,3,1,2,3,2
1,8,1,2,0,3,2,2
0,6,4,3,1,1,5,2
1,5,1,2,1,1,3,1
4,6,0,3,2,2,1,0
0,13,3,3,1,2,4,2
3,6,0,2,4,1,5,0
1,1,0,0,0,2,0,0
3,9,1,5,2,0,3,2
0,10,2,0,2,3,6,3
2,6,2,3,3,1,4,1
3,5,1,4,0,3,2,1
0,6,2,2,2,2,1,1
2,13,2,2,2,3,4,1
4,6,0,2,0,2,1,1
0,2,1,0,0,0,0,1
0,9,1,1,2,0,5,1
2,12,1,1,2,2,3,1
2,5,4,4,0,4,3,1
0,5,2,2,2,0,2,1
2,6,2,1,2,1,2,2
4,12,4,3,0,3,3,1
0,4,4,3,1,1,4,4
0,3,0,0,1,0,0,0
3,10,0,2,1,3,5,1
2,7,2,3,1,1,3,1
1,4,2,3,2,2,3,3
0,6,0,2,2,1,4,2
2,7,0,1,0,2,4,1
2,12,2,3,2,1,4,4
1,6,1,0,4,1,3,2
0,3,0,0,0,1,0,0
2,8,4,5,1,2,6,0
1,8,1,3,2,0,5,3
1,7,4,2,4,1,4,5
3,7,1,3,0,3,5,1
3,4,0,1,1,1,3,1
1,15,13,9,14,12,13,6
2,8,7,4,7,10,5,1
1,2,1,1,2,3,1,0
1,17,31,16,55,64,46,6
0,17,26,16,49,62,33,4
2,8,6,7,10,13,7,4
3,7,6,6,10,12,7,4
1,6,6,6,10,10,6,3
5,23,22,19,22,21,22,9
5,9,11,11,12,10,9,4
0,1,1,1,0,0,0,0
2,51,71,55,83,73,62,13
2,36,57,45,70,65,44,10
6,7,13,13,18,18,12,5
3,12,15,13,18,16,11,5
1,7,8,7,10,9,6,3
1,22,24,20,21,20,19,9
3,9,9,8,9,9,9,3
0,0,0,0,1,0,0,0
4,58,72,56,71,55,49,13
0,45,70,49,62,46,38,10
6,13,18,16,18,15,12,5
5,14,18,15,18,15,12,4
2,6,10,7,10,7,6,3
3,19,19,16,14,17,16,9
3,8,7,7,7,5,5,3
0,0,1,0,2,0,1,0
2,36,45,35,34,32,34,11
3,32,44,31,29,28,29,8
5,13,17,12,13,13,13,7
1,12,15,10,12,11,9,6
3,7,9,7,6,6,6,3
4,16,16,14,14,14,14,8
3,6,7,4,7,8,5,3
0,1,0,0,0,1,1,0
4,31,33,32,30,30,30,10
3,29,33,23,26,27,24,7
4,11,13,9,12,11,10,6
3,11,12,10,9,9,10,5
3,7,6,5,6,5,6,4
2,18,18,12,15,12,16,7
3,9,8,8,6,5,8,4
0,1,0,1,0,2,0,0
3,28,31,25,32,28,32,9
3,26,28,23,27,20,26,7
2,12,13,10,9,9,10,3
3,8,11,9,9,8,8,3
6,7,8,5,6,5,4,2
3,20,20,16,17,16,18,5
2,9,10,6,7,8,8,3
0,0,1,0,1,1,0,0
1,34,43,31,39,30,37,10
1,27,39,27,31,23,30,8
4,9,12,8,11,9,8,5
4,7,11,6,9,9,7,4
0,6,7,6,7,6,7,4
3,19,21,13,19,16,17,7
2,10,11,8,8,8,8,6
0,2,0,2,0,0,1,0
2,33,39,27,33,28,30,8
4,25,36,21,28,25,23,9
3,9,11,10,10,9,9,5
1,8,9,7,9,9,8,4
2,6,8,5,5,5,6,1
4,17,18,7,13,12,15,7
1,8,8,5,6,6,7,3
0,0,1,0,0,0,2,0
5,25,26,8,17,18,19,8
2,21,23,5,16,15,16,8
4,9,9,4,8,8,10,4
3,9,11,5,7,7,9,4
3,5,8,2,4,7,6,3
3,17,15,6,8,9,12,6
2,5,5,2,1,2,3,2
0,0,2,0,0,1,0,1
4,18,16,6,9,11,12,7
0,17,13,4,7,8,11,6
3,9,10,3,4,7,8,3
4,9,10,3,5,6,7,5
3,7,5,3,4,4,5,5
4,16,12,5,4,6,9,4
1,4,3,0,1,4,2,1
0,1,0,0,0,0,0,0
3,14,10,5,4,6,9,4
2,12,9,2,2,5,9,1
4,7,5,1,2,2,5,4
3,8,4,3,4,2,4,2
0,8,3,4,3,3,6,1
2,13,5,2,1,2,4,3
2,4,2,4,2,1,3,3
0,2,0,0,0,0,0,0
1,9,6,3,1,3,6,5
4,7,4,2,2,1,3,3
2,7,2,4,1,0,4,2
1,6,3,3,0,3,3,2
2,3,2,3,2,1,2,4
4,12,0,2,3,2,2,4
1,5,1,3,1,1,2,2
0,1,0,0,1,1,0,0
2,8,2,2,2,3,5,2
1,8,2,1,3,1,2,1
2,4,3,4,1,1,4,1
3,5,2,2,2,1,4,2
1,4,3,0,3,3,2,3
1,14,4,1,1,3,2,3
2,5,1,2,2,3,2,2
0,2,0,0,0,0,0,0
0,10,1,6,0,1,6,2
3,9,1,2,0,2,2,2
2,7,2,4,3,3,3,2
0,6,0,2,2,0,3,2
3,5,1,2,0,3,3,1
1,11,2,2,1,1,3,1
3,5,4,1,1,2,5,3
0,2,0,0,1,0,0,1
2,7,3,4,2,1,2,0
2,8,4,3,1,0,4,0
2,5,1,2,3,3,4,3
0,5,1,3,1,3,2,2
1,3,3,2,1,1,2,1
1,11,2,3,2,1,4,4
4,5,2,1,1,3,2,2
0,3,0,0,0,0,0,0
0,9,0,1,2,2,5,1
2,8,3,3,0,1,3,4
3,5,4,6,2,4,2,4
0,7,1,1,2,2,3,0
1,6,1,1,2,1,3,1
4,13,4,2,2,3,2,4
1,6,0,1,3,1,3,1
0,2,0,0,0,0,0,0
3,8,2,2,1,1,4,3
0,9,1,2,0,4,4,0
0,8,2,2,2,1,4,0
2,5,0,2,2,0,4,2
3,6,1,4,1,2,0,2
0,14,0,1,3,3,4,0
2,6,3,3,2,1,3,3
0,1,1,0,0,0,0,0
0,11,2,1,3,4,5,0
1,9,0,3,1,1,6,0
2,5,0,4,2,0,3,3
1,6,2,2,2,3,3,3
0,5,3,2,0,2,4,1
3,11,3,3,1,1,2,3
3,5,3,2,1,2,0,2
0,3,1,0,0,0,0,0
1,9,2,2,3,0,5,0
5,9,0,3,2,3,2,1
1,6,3,3,1,3,4,4
1,5,2,2,3,2,4,2
0,7,1,2,3,0,5,2
4,12,2,3,2,3,3,5
2,6,4,1,1,1,5,1
0,3,0,0,0,0,0,0
1,7,0,5,2,0,4,3
2,7,0,4,0,3,3,2
1,7,4,2,1,1,5,0
0,6,1,0,4,0,3,1
3,7,0,2,1,3,1,3
0,13,3,1,3,3,5,0
3,7,2,2,3,2,4,1
0,2,0,0,0,2,0,2
2,8,2,5,1,3,4,1
0,10,1,2,2,0,6,0
3,7,1,2,2,2,2,1
2,5,1,3,1,4,2,2
0,4,1,1,0,1,4,3
2,12,2,2,2,1,2,1
3,5,1,4,0,3,1,1
0,0,0,0,0,0,0,1
0,9,3,1,2,1,5,3
2,12,1,3,2,2,3,0
1,5,2,2,1,3,4,3
2,5,2,3,2,0,2,2
0,5,1,1,1,2,4,0
3,13,3,6,0,4,3,2
0,5,2,2,3,0,4,2
0,3,0,0,1,0,0,0
4,10,3,5,2,3,3,1
1,8,0,1,0,1,3,2
3,6,2,3,2,0,4,2
0,6,2,2,2,2,4,0
1,5,1,2,1,3,2,0
1,13,2,2,2,0,4,1
2,8,2,2,3,1,3,0
0,2,0,0,0,2,0,0
5,9,2,4,2,2,3,3
1,9,4,2,3,1,5,2
2,6,2,3,3,2,4,2
3,9,1,2,2,3,1,0
1,5,1,2,1,0,1,1
1,13,4,3,2,2,6,0
2,7,0,3,1,3,1,2
0,1,0,0,0,0,0,1
0,9,4,5,2,0,6,2
0,8,3,1,2,2,4,1
2,5,0,3,1,2,3,1
3,7,2,3,2,0,2,2
1,4,4,2,3,1,4,2
4,14,2,4,1,5,2,1
2,5,1,3,1,2,6,1
0,0,0,0,0,0,0,1
1,9,3,1,1,4,2,3
1,10,0,3,0,2,5,2
4,4,2,4,2,2,4,0
2,6,1,3,2,3,2,2
0,5,4,1,1,2,2,3
1,13,2,4,2,2,4,0
2,6,1,4,2,2,3,2
0,1,0,0,0,0,0,2
1,7,2,3,4,0,5,1
0,10,1,2,0,2,5,0
1,7,1,3,1,2,3,2
2,5,2,3,2,0,1,1
2,5,0,1,2,2,4,1
4,13,3,5,2,2,4,2
0,5,2,2,4,1,3,3
0,3,1,0,0,0,0,0
1,8,1,4,1,3,3,0
2,9,2,4,1,0,2,1
2,6,4,2,3,0,3,1
0,5,3,5,1,1,4,0
2,9,0,4,0,4,3,2
3,12,3,2,1,0,4,3
0,7,1,1,1,3,6,0
0,1,0,0,0,0,0,0
3,7,1,2,3,2,3,3
0,7,3,0,4,2,3,0
2,8,1,2,2,3,5,2
2,8,2,3,3,2,3,2
2,5,2,1,1,1,2,1
2,15,2,3,1,2,4,4
2,6,0,3,2,1,4,3
0,0,0,0,0,0,0,0
3,9,1,3,1,3,2,1
0,10,2,3,5,0,5,1
1,7,1,3,2,1,5,1
3,6,1,1,3,2,2,2
1,3,2,3,0,3,1,1
0,12,2,2,3,3,5,1
2,7,1,3,1,4,2,1
1,3,0,0,2,0,0,1
2,8,3,2,3,0,4,3
1,11,3,3,2,1,5,1
2,7,1,4,3,2,3,1
1,7,2,2,3,3,3,0
2,5,3,2,1,2,3,2
2,15,2,3,3,3,9,3
2,5,4,1,3,2,4,3
0,1,0,0,0,0,1,0
1,10,4,6,1,3,8,3
0,9,2,4,1,2,7,0
2,6,5,2,3,3,5,5
1,5,4,3,2,0,4,1
1,5,2,2,1,1,4,1
2,18,16,8,17,21,20,1
0,6,4,4,8,10,8,3
0,2,1,0,0,0,0,0
1,23,25,12,43,64,46,0
0,18,22,14,39,62,35,0
3,9,8,5,10,17,8,4
2,8,6,6,10,11,8,3
0,6,6,4,7,8,6,1
4,23,23,18,26,27,25,3
5,11,11,7,9,9,7,2
0,0,0,1,0,1,0,0
0,52,61,43,64,68,58,0
4,40,56,34,59,60,47,1
5,13,14,11,15,15,12,2
2,10,11,12,13,15,11,1
3,7,7,6,7,8,5,0
6,25,28,22,25,20,22,5
2,9,9,9,7,7,7,1
0,1,0,0,0,1,1,0
4,55,61,53,56,42,44,3
5,47,63,50,55,38,39,1
4,12,13,13,13,10,11,2
3,13,17,13,13,12,12,2
4,7,11,7,9,8,5,2
1,22,20,16,18,15,16,4
3,8,8,4,7,5,6,2
1,2,4,4,2,2,4,0
3,35,37,24,32,25,30,1
3,36,37,22,33,22,30,1
3,10,12,9,11,7,9,3
4,9,10,9,9,8,9,2
3,6,8,8,7,7,7,1
7,18,18,13,15,11,17,3
2,9,7,7,5,3,6,1
0,4,4,2,2,3,2,0
4,27,31,19,24,17,26,3
3,29,29,19,25,13,23,1
1,11,10,7,9,8,9,1
3,9,10,5,6,7,9,1
3,6,6,4,8,3,4,2
5,18,18,12,15,11,16,3
3,7,7,4,7,5,6,3
1,1,1,2,3,0,1,0
4,25,28,18,24,15,26,3
3,26,29,15,24,13,23,1
3,9,10,5,8,6,8,2
4,9,8,7,9,6,7,1
2,9,5,6,6,5,5,0
4,18,19,10,17,13,17,3
4,11,8,5,8,6,9,3
0,3,2,1,2,3,3,0
2,25,25,12,25,20,26,2
2,23,26,9,23,15,22,2
3,9,9,5,10,5,9,2
1,9,8,7,10,6,9,1
2,6,7,6,5,5,7,2
3,19,17,9,17,11,17,1
4,10,8,5,7,6,7,1
0,1,3,0,2,1,2,2
4,22,24,8,21,12,17,2
3,23,20,5,21,8,16,1
3,10,6,6,10,6,8,4
2,10,11,7,9,7,8,3
5,7,7,3,7,4,5,2
3,16,13,6,10,8,12,3
3,5,5,2,3,3,3,2
1,2,3,0,0,0,0,0
3,16,11,2,12,6,12,0
2,15,9,3,8,5,13,1
6,8,6,3,6,2,4,4
4,9,6,2,7,6,6,0
2,8,5,1,5,3,6,1
3,14,13,4,5,5,10,3
2,5,3,0,3,3,3,0
0,2,0,1,0,0,1,0
2,11,11,5,2,3,9,3
4,11,9,4,4,7,7,4
1,8,5,2,5,3,5,1
1,8,6,3,2,1,7,2
4,5,5,3,2,2,5,1
3,14,1,3,4,1,5,2
1,5,1,3,2,2,3,2
0,1,0,0,0,1,0,1
3,9,5,3,1,2,4,1
0,11,1,3,5,1,4,1
2,5,2,4,2,2,3,2
3,6,3,2,2,2,3,1
0,4,2,1,2,2,5,3
4,14,2,2,2,1,4,2
3,4,3,2,0,2,1,3
0,3,0,0,0,0,0,0
1,9,1,3,1,1,5,0
2,9,1,3,2,0,2,0
3,5,2,2,3,3,1,3
0,7,2,1,2,1,4,1
1,5,2,3,2,0,5,0
4,13,3,4,1,0,2,3
2,8,3,2,2,3,4,3
0,2,0,0,0,0,2,0
5,9,1,5,2,0,2,0
1,7,1,4,1,1,2,3
2,5,3,2,3,1,3,3
0,8,1,1,2,0,3,0
2,5,0,1,3,0,4,1
1,11,1,2,1,1,6,1
2,6,1,3,2,2,2,0
0,3,0,0,0,1,0,0
2,7,4,3,2,2,4,4
0,10,2,3,1,1,5,0
3,4,1,3,1,1,3,1
3,6,0,2,0,3,1,1
1,5,4,2,0,0,4,3
3,13,2,3,2,2,3,1
2,5,2,5,0,3,1,3
0,2,0,0,0,0,0,0
1,10,1,2,3,0,5,3
2,8,1,3,1,2,1,0
4,6,3,3,1,1,3,2
2,6,3,0,1,1,3,2
1,8,0,3,2,1,2,0
2,12,3,3,1,4,2,2
0,6,3,3,1,0,5,2
0,4,0,0,2,0,0,0
4,9,2,6,2,3,2,2
2,7,3,3,0,2,3,2
1,6,1,0,3,0,3,2
2,8,1,3,2,2,3,0
3,5,0,3,0,3,4,1
1,13,2,2,3,0,4,3
2,7,2,0,1,2,3,0
2,2,0,0,0,1,0,0
0,9,3,2,1,2,4,2
0,11,3,1,2,0,5,3
2,7,2,2,4,3,5,3
3,5,1,3,2,1,2,0
3,5,2,1,1,0,1,1
2,15,1,3,2,3,3,3
3,6,2,3,2,4,5,1
0,0,0,0,0,0,0,0
1,8,1,2,3,1,3,2
1,11,2,3,2,2,3,1
2,6,2,3,3,2,2,0
2,4,1,2,2,2,3,0
1,5,3,2,2,2,3,2
1,15,2,2,2,0,6,1
4,7,0,3,0,4,1,0
0,0,0,0,0,0,0,1
0,8,3,1,2,0,4,3
0,10,2,2,1,2,5,1
2,5,0,3,1,2,2,0
3,5,3,2,1,1,1,1
1,6,3,4,2,2,3,2
4,12,0,3,2,4,3,1
2,4,2,3,2,0,1,1
0,3,2,0,0,0,0,2
0,9,0,3,1,1,4,2
3,8,2,3,0,1,3,0
2,4,3,3,3,3,2,3
0,6,1,1,2,0,3,1
2,7,1,3,1,0,2,1
2,12,4,2,4,0,5,2
1,6,4,5,2,2,4,3
0,3,0,0,0,2,1,0
3,9,2,3,1,1,2,0
1,8,2,3,4,2,2,1
1,6,1,2,1,0,4,5
3,6,2,3,0,1,3,0
1,6,1,3,1,4,3,1
2,13,2,2,2,1,5,2
3,8,2,4,1,2,3,1
0,3,1,0,1,0,1,0
0,8,2,3,2,3,3,2
0,11,2,3,0,0,2,2
2,4,2,4,3,3,5,3
3,4,1,4,0,2,3,1
2,7,1,1,2,0,1,0
1,13,1,4,1,1,3,0
4,6,1,2,2,4,4,1
0,2,2,0,0,0,0,1
2,8,2,4,2,1,3,2
0,11,3,4,0,2,6,2
2,7,2,3,1,1,3,2
1,5,2,2,3,0,2,2
0,6,2,2,0,1,4,2
2,13,3,3,2,1,2,2
2,6,0,1,2,0,3,2
0,3,0,0,0,0,0,0
0,8,0,3,0,4,5,0
4,10,0,1,3,2,2,2
2,4,1,3,4,1,3,3
1,7,2,3,1,2,3,2
2,6,0,3,0,1,3,0
1,13,4,1,5,2,3,4
2,5,1,3,0,1,4,2
1,3,0,0,0,0,0,0
1,9,3,1,2,3,5,1
0,9,0,2,0,1,3,2
2,7,0,4,2,2,2,1
1,7,1,3,1,2,6,0
2,4,2,2,0,2,2,2
2,13,1,3,0,1,5,1
3,3,1,2,3,2,3,1
0,3,0,0,0,1,0,0
0,8,1,3,2,2,4,3
1,10,0,4,1,1,2,1
3,6,1,2,1,2,4,1
0,5,2,1,4,3,4,2
1,6,1,3,1,0,2,1
4,14,1,2,1,3,4,0
1,5,4,2,2,2,3,2
1,1,0,0,0,0,0,0
3,11,1,4,0,0,4,0
0,9,1,2,1,3,4,1
2,7,4,1,3,2,2,3
3,7,0,4,2,1,4,3
0,6,2,4,2,0,6,2
3,13,3,3,4,2,3,2
1,7,3,3,1,0,3,3
0,2,0,2,0,0,2,0
3,10,2,3,0,2,6,1
2,6,3,1,1,1,0,2
1,5,2,4,4,2,3,1
1,6,0,1,3,1,4,0
1,5,2,2,0,0,4,1
3,11,4,2,2,2,4,3
1,5,1,2,3,4,5,2
0,2,0,2,0,0,0,1
2,10,1,4,2,0,5,2
2,7,2,1,0,3,4,0
1,5,2,2,2,1,3,3
1,5,0,5,2,0,2,2
2,6,1,4,1,1,3,0
1,13,1,2,5,2,3,2
2,6,0,3,2,0,3,0
1,3,0,0,0,0,0,0
3,10,3,0,1,3,4,2
1,7,1,3,2,1,2,4
2,7,0,4,3,2,2,1
0,6,2,2,1,3,6,1
2,4,3,2,0,0,2,2
1,13,2,5,0,1,7,1
4,4,3,2,0,2,1,2
0,1,0,0,0,1,0,0
3,9,0,4,2,1,4,2
1,10,1,4,1,2,3,2
3,5,3,3,2,3,1,2
2,5,1,1,0,1,3,2
1,6,1,4,3,0,1,0
1,14,4,1,1,2,7,1
2,5,2,2,2,1,2,2
0,3,0,0,0,0,0,0
0,9,2,4,2,2,6,1
1,8,2,5,0,1,5,2
3,6,3,3,3,2,3,4
0,7,0,3,3,2,4,1
0,5,0,3,2,0,6,1
3,17,12,5,16,15,16,4
0,8,7,3,8,5,8,2
0,1,1,2,2,1,1,0
1,15,14,9,35,45,38,3
1,15,15,5,37,47,30,1
1,8,6,4,14,12,9,2
0,6,4,4,10,10,9,2
1,5,8,4,7,7,5,3
4,22,19,14,23,21,20,3
3,10,10,9,12,9,10,1
0,0,1,1,0,0,0,1
2,45,53,27,63,55,48,1
1,37,47,22,63,48,41,1
4,9,11,9,14,13,10,1
6,9,13,10,14,13,9,4
3,7,6,4,9,9,5,0
4,21,24,15,20,17,18,4
2,8,9,5,9,7,8,1
0,0,0,0,0,0,2,0
2,44,50,33,49,31,38,2
4,37,51,29,44,27,30,3
3,10,13,9,13,9,11,2
1,12,14,10,15,8,12,1
4,5,8,8,9,6,6,3
4,20,19,13,18,12,17,2
2,7,7,4,6,5,6,1
0,2,3,3,1,2,3,1
3,34,37,21,30,21,26,1
1,32,36,18,28,16,25,0
4,10,13,10,10,6,8,4
3,10,13,8,12,7,10,2
3,10,10,5,8,7,8,0
2,19,18,12,16,11,18,3
3,7,9,5,6,4,8,3
0,2,2,1,2,1,3,0
3,28,28,16,27,14,25,0
3,24,27,17,27,11,23,1
4,8,9,7,10,6,6,4
2,12,11,7,8,7,8,2
3,7,8,6,8,2,6,0
4,18,19,10,16,11,16,4
2,8,8,6,7,8,6,1
0,0,0,0,0,0,3,0
5,26,27,14,25,16,26,1
5,23,26,12,22,15,22,4
3,9,10,6,7,7,7,2
3,11,10,7,9,4,8,1
3,5,5,5,6,4,5,1
6,19,18,7,15,11,17,2
3,10,8,4,9,5,9,0
0,0,0,0,0,1,0,0
4,24,25,11,26,14,25,3
2,21,24,9,25,13,23,0
3,9,11,5,10,5,10,4
5,9,9,7,10,5,7,3
3,6,6,6,7,5,6,1
4,21,17,6,18,11,15,3
4,9,9,5,7,6,7,3
0,0,1,0,0,2,1,0
2,24,25,7,16,11,18,2
3,24,22,9,15,11,14,0
5,9,8,8,7,7,8,2
3,8,8,5,7,7,8,3
2,7,7,5,5,4,6,2
4,16,14,8,10,9,11,5
2,8,7,4,4,3,5,0
0,1,1,0,0,0,1,0
6,15,12,7,10,7,10,3
3,12,10,8,6,8,9,1
2,7,6,6,5,4,7,4
3,9,7,5,6,4,6,1
2,7,5,5,4,5,4,1
3,15,12,5,7,7,12,2
2,5,4,1,2,1,3,2
3,2,1,0,0,1,0,0
2,12,10,6,5,7,10,3
2,13,10,5,4,2,10,1
2,7,6,3,5,3,8,0
3,10,6,4,3,4,6,0
4,6,5,3,1,3,5,4
2,16,11,4,5,2,10,4
1,5,5,2,2,3,3,2
2,2,0,1,0,1,0,1
2,12,9,5,2,0,10,3
3,12,8,3,3,1,6,0
3,8,4,3,1,4,3,1
2,6,4,5,1,1,4,3
2,6,7,2,4,1,3,1
4,14,0,6,1,3,3,2
