"V2","V3","V4","V5","V6","V7","V8","V9"
4,13,17,14,21,15,8,2
0,2,2,1,4,2,0,1
0,5,5,7,9,7,6,3
1,28,48,50,96,38,10,0
1,25,40,40,100,49,8,0
3,9,9,11,19,14,7,5
1,10,12,13,18,13,6,0
2,6,8,9,12,11,6,1
3,15,19,14,17,13,5,2
0,2,2,3,3,4,2,1
1,5,8,7,9,8,4,1
2,38,70,63,118,50,4,0
0,29,55,52,111,65,4,4
4,10,13,13,21,15,7,2
3,10,16,16,23,19,5,2
1,7,14,11,17,12,4,3
4,10,14,15,18,16,6,2
1,3,2,4,4,4,0,1
1,5,10,8,9,8,3,2
2,37,87,88,129,63,3,2
2,32,75,76,125,89,3,0
4,9,17,16,23,19,5,4
3,12,20,19,24,20,2,4
4,8,12,13,12,11,3,2
4,11,16,14,19,16,5,2
0,3,3,3,6,4,1,2
1,7,8,8,9,8,5,2
5,53,93,98,141,67,7,0
5,39,78,78,151,86,5,1
5,10,16,14,24,17,5,4
4,11,17,20,25,18,4,2
1,9,11,12,15,13,6,1
3,13,17,15,17,15,5,4
1,4,3,3,3,3,0,0
4,7,9,8,9,9,4,1
8,70,104,99,146,70,4,2
7,57,83,78,146,72,3,1
5,10,13,15,24,13,6,3
2,12,17,16,22,15,5,1
4,6,11,9,12,11,3,2
3,16,14,14,17,12,6,1
1,3,3,2,3,3,0,0
3,9,9,9,11,8,3,2
5,60,72,78,101,43,5,1
6,56,73,79,105,35,5,0
5,12,15,14,22,9,7,3
3,11,15,13,19,10,6,2
1,6,8,9,11,6,4,1
2,12,11,9,11,8,5,3
0,2,4,2,3,0,0,1
1,8,5,6,4,3,5,1
1,24,28,20,22,12,6,0
0,24,25,25,23,10,5,3
3,11,10,12,11,5,3,3
0,11,9,9,11,7,6,0
1,6,8,7,4,4,5,1
1,9,9,11,9,6,5,2
0,2,5,4,4,0,1,0
1,2,4,1,3,4,2,1
0,22,17,13,22,11,5,3
1,21,12,17,16,14,4,2
0,7,5,7,8,6,6,1
2,8,10,10,7,8,4,3
0,5,3,4,4,5,3,3
1,8,11,10,10,7,4,2
2,3,3,3,1,2,0,0
0,3,2,3,3,2,0,2
2,20,17,28,23,8,3,1
0,12,24,16,20,8,6,0
2,6,6,4,5,5,4,3
2,8,9,10,8,5,3,2
2,8,3,7,6,4,3,1
2,3,7,4,3,2,4,3
1,2,3,2,2,2,1,1
0,2,0,3,0,0,2,0
1,9,7,9,10,2,7,3
3,7,6,5,4,4,5,2
1,5,3,3,4,3,3,1
1,7,5,6,6,1,5,2
4,4,3,4,5,3,5,3
2,9,6,5,10,4,5,1
0,3,0,2,2,0,4,1
1,1,2,0,0,0,1,0
3,9,8,7,17,6,6,2
