"V2","V3","V4","V5","V6","V7","V8","V9"
20,22,14,14,13,7,7,0
5,5,3,6,4,2,3,1
1,0,0,0,0,0,0,0
42,35,44,29,17,9,6,3
22,24,24,19,14,7,7,2
10,11,10,9,8,4,4,1
10,9,10,9,5,5,3,3
11,10,11,10,9,6,4,2
2,13,2,7,12,1,7,3
2,2,3,1,5,2,0,0
0,1,0,0,0,0,2,0
1,10,4,9,25,1,6,1
2,10,0,8,45,3,5,0
4,4,2,6,8,3,4,4
3,6,5,6,9,3,3,3
0,7,4,5,10,1,7,1
4,15,7,4,11,5,4,1
0,6,5,2,4,2,3,2
0,2,0,0,1,0,1,0
2,11,16,10,26,2,4,0
4,8,11,9,70,3,4,3
2,6,6,5,9,3,2,2
0,6,7,5,9,0,6,0
3,7,6,7,12,2,5,1
2,14,6,8,14,3,8,4
0,5,3,3,6,2,3,0
0,1,0,2,1,0,2,0
4,9,2,17,23,5,3,1
3,8,4,13,68,3,4,1
0,6,2,5,11,2,7,2
2,6,1,6,8,3,3,0
4,6,2,9,9,4,2,1
4,15,5,5,14,4,7,0
2,3,1,2,6,2,2,1
0,0,0,0,1,0,0,0
2,11,5,8,27,3,7,3
0,10,2,5,84,1,8,2
4,6,3,5,11,4,4,1
2,4,3,4,10,3,4,2
1,5,2,5,11,2,4,4
3,15,3,0,11,2,5,3
2,5,1,2,6,0,2,1
0,1,0,0,0,0,0,0
1,8,1,4,20,2,3,2
3,8,1,1,53,0,4,2
2,8,4,2,10,2,5,3
1,6,2,2,7,4,3,0
1,6,2,2,10,2,3,1
2,13,2,1,12,1,5,1
1,3,0,1,3,2,2,1
0,0,0,1,1,0,0,0
0,9,2,2,19,1,4,2
2,10,1,2,39,1,4,2
4,6,3,2,7,4,3,0
2,3,1,2,9,1,2,3
1,5,2,1,10,0,3,3
2,12,2,3,6,3,4,1
3,2,2,0,3,0,0,0
0,0,0,0,2,0,1,0
1,11,2,3,7,1,6,2
4,9,0,2,16,3,4,0
2,5,2,1,6,2,3,2
1,5,4,1,5,0,3,4
1,7,0,2,3,2,4,1
3,13,4,3,6,1,3,1
0,3,1,1,4,0,3,2
0,2,0,0,0,0,0,0
3,9,2,3,7,2,3,1
2,7,3,2,9,1,4,2
2,5,2,1,4,0,3,1
0,7,1,1,5,2,4,0
2,4,0,5,4,3,4,1
1,13,2,4,9,1,6,4
1,4,1,3,3,3,2,0
2,4,0,0,6,1,1,0
2,10,4,4,16,1,2,4
0,9,0,2,22,2,4,1
3,5,3,4,5,2,3,2
3,5,1,2,10,2,2,3
1,3,1,3,7,2,3,4
3,12,2,3,7,3,3,2
1,3,1,2,4,1,1,1
0,2,0,1,4,0,1,1
1,10,2,4,12,1,4,0
3,10,2,5,18,2,4,1
3,2,2,2,9,2,3,3
2,6,4,3,7,0,1,2
0,8,2,5,6,2,3,0
3,10,11,10,12,4,2,3
1,3,5,2,6,0,1,3
0,3,5,3,0,0,0,0
2,11,20,17,17,1,4,1
1,9,14,9,35,2,3,3
1,4,7,6,9,0,2,2
2,7,7,9,10,1,3,2
1,4,7,8,8,2,4,2
2,11,16,11,13,2,3,3
1,4,5,6,4,1,3,1
0,1,0,1,2,1,0,0
3,8,67,35,22,3,2,1
1,9,27,20,45,2,4,2
1,6,12,10,13,2,4,2
3,6,11,10,10,2,3,0
1,6,11,8,11,2,2,1
0,12,16,17,11,2,5,3
3,3,5,5,4,0,2,0
0,0,2,0,3,0,0,0
0,9,87,99,20,1,4,4
3,10,27,33,42,2,3,3
2,7,12,11,13,2,5,1
1,4,13,11,11,3,4,3
1,6,10,12,10,1,2,1
2,12,11,16,9,3,4,1
1,2,5,7,5,1,0,0
0,3,1,1,0,0,1,0
2,10,41,179,13,1,3,0
5,10,20,33,25,3,3,0
3,5,9,13,9,2,3,3
0,7,10,15,11,1,5,0
3,8,11,12,8,2,3,1
1,11,14,5,14,2,4,3
0,4,5,2,4,1,2,1
0,1,0,2,0,0,1,0
0,9,57,3,32,4,4,2
1,8,20,11,15,3,4,4
1,7,8,6,7,1,4,1
2,6,10,5,8,2,3,1
2,5,11,3,8,3,3,2
0,12,14,4,17,1,7,3
0,4,5,0,7,1,3,0
3,1,2,0,0,0,0,0
0,8,104,3,112,0,4,4
3,9,23,4,24,2,6,3
4,7,12,3,9,2,3,2
1,7,13,1,13,4,3,3
2,6,11,1,12,1,2,2
3,13,18,4,14,3,7,2
1,2,7,2,6,1,2,2
0,1,0,0,2,0,1,0
0,12,101,5,43,0,7,0
2,9,24,6,16,3,7,2
3,5,13,4,10,3,3,4
0,6,12,4,12,1,4,2
1,6,11,7,11,0,6,1
4,12,14,15,3,2,4,2
1,5,5,7,2,2,3,1
0,2,0,0,0,0,2,0
2,7,63,57,0,1,5,2
4,9,19,17,3,5,4,2
0,8,9,8,1,1,4,0
1,6,11,10,2,0,5,0
3,5,10,7,2,2,4,3
3,13,6,20,3,2,4,2
1,3,3,5,0,2,3,0
0,0,1,0,0,0,0,0
3,9,13,216,1,2,5,0
3,11,6,22,4,4,7,1
2,4,6,9,0,2,4,0
4,6,7,11,1,2,2,3
4,8,3,12,3,4,3,1
2,11,8,20,4,3,6,3
3,2,3,5,0,1,2,1
0,1,1,0,0,0,0,0
2,10,10,286,1,1,4,1
3,4,7,19,3,1,6,1
3,4,6,10,1,2,2,1
0,4,6,13,2,2,2,1
3,6,4,12,1,0,5,1
3,13,1,18,3,2,4,3
1,5,2,6,0,1,3,1
1,3,0,1,0,0,3,0
2,11,0,118,3,5,5,2
3,10,3,16,3,3,3,1
3,5,2,10,1,3,4,2
2,5,1,10,1,4,3,0
2,6,2,10,1,3,4,0
1,12,7,13,12,3,6,2
0,4,0,6,7,3,1,2
0,0,0,1,1,0,2,0
0,8,4,62,52,1,8,2
3,8,3,15,22,5,4,4
1,6,2,10,11,3,5,2
1,5,5,12,8,1,4,1
1,6,1,9,9,3,3,3
3,13,2,9,16,2,5,2
1,3,0,4,5,2,3,1
1,1,0,0,0,0,1,0
2,9,2,37,49,2,5,2
4,10,2,22,59,2,7,1
4,3,3,8,11,4,5,3
1,5,3,7,11,2,4,1
2,6,1,6,12,1,5,0
2,12,1,9,15,3,6,1
1,1,2,3,4,2,1,1
0,0,0,0,1,0,1,0
1,10,1,18,39,4,6,1
1,7,2,14,92,3,6,2
2,6,2,6,12,4,3,2
1,6,0,6,13,2,3,1
2,5,0,6,10,2,4,1
2,14,0,9,14,3,7,1
1,4,0,4,7,3,2,1
0,0,0,0,0,0,0,1
2,10,1,12,38,4,6,0
2,11,2,8,146,3,7,1
2,5,3,6,12,4,2,4
2,5,2,4,11,3,3,0
1,7,3,4,12,3,6,1
3,12,1,4,15,2,6,3
3,2,1,2,4,3,1,1
0,3,1,0,1,0,3,0
0,10,2,1,34,2,4,0
3,8,1,2,98,0,5,1
4,4,2,3,12,3,4,1
0,5,2,1,12,2,6,3
2,7,3,2,12,3,5,3
1,11,2,2,14,3,6,4
2,4,2,0,6,2,2,1
0,2,0,0,1,0,2,0
4,9,0,1,35,2,5,2
3,9,1,1,146,5,4,2
0,3,3,2,11,2,4,2
2,8,1,2,16,1,4,0
3,6,2,2,12,4,4,2
1,14,4,2,11,2,7,4
0,4,0,2,6,2,2,1
1,1,0,1,3,2,1,0
1,9,1,1,19,2,9,2
0,10,3,0,38,1,6,1
2,6,3,3,9,1,5,2
3,6,0,1,9,4,5,3
