"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
52,37,36,34,34,34,32,33,27,24
53,38,39,37,37,38,36,33,27,25
56,51,53,51,50,51,47,46,37,31
33,31,31,31,30,30,29,29,25,24
146,113,111,111,110,111,109,107,58,49
180,153,151,151,151,151,150,146,76,62
111,89,87,87,88,87,86,86,63,52
155,127,126,126,125,127,125,125,93,72
201,165,164,164,163,163,163,162,123,96
63,64,62,62,63,63,61,62,55,50
17,17,7,3,0,7,10,30,18,26
12,13,6,1,3,8,11,34,18,27
13,15,6,3,3,8,11,44,23,29
12,12,5,3,2,7,9,28,16,22
14,16,5,0,1,8,11,96,34,47
16,14,4,0,0,5,12,122,40,61
17,15,5,1,2,7,10,68,35,54
15,17,5,1,0,7,13,78,42,70
17,15,5,0,2,5,13,83,40,98
16,13,4,0,2,8,11,44,31,49
16,15,7,2,4,6,11,30,20,25
13,14,5,1,3,11,12,33,18,25
15,15,8,0,1,11,13,41,23,30
11,13,5,1,3,7,11,27,17,24
16,16,4,2,1,7,12,95,35,48
19,17,3,2,0,8,13,124,40,60
15,16,5,0,0,7,11,67,32,54
15,20,4,0,1,7,12,79,41,74
15,16,3,1,1,9,9,84,45,93
13,13,5,3,2,7,11,46,28,47
17,15,6,4,4,6,11,32,19,26
12,14,7,3,3,8,12,32,21,26
14,16,6,1,2,8,12,44,23,30
11,11,5,3,5,8,10,28,18,22
16,16,5,0,0,5,14,94,32,50
15,18,4,0,0,6,12,122,42,60
16,16,4,0,2,8,10,66,36,52
16,14,5,2,1,4,12,78,41,75
15,16,3,2,0,5,12,81,44,96
20,14,6,1,4,6,11,45,30,50
17,15,7,3,1,6,13,29,19,27
14,12,6,3,3,7,11,33,19,27
14,14,5,0,1,10,11,44,23,29
13,12,7,3,2,7,11,26,17,23
18,16,5,1,0,6,13,94,35,49
17,17,3,0,0,7,11,123,40,61
17,16,4,0,0,6,12,67,33,52
15,17,4,1,0,7,12,78,38,73
15,17,4,0,0,6,11,82,46,97
15,14,3,2,0,6,10,45,30,47
17,14,6,2,3,7,10,32,18,22
14,14,5,3,3,7,12,32,18,26
14,16,9,2,4,9,11,43,23,31
11,12,5,1,3,7,9,30,18,22
15,15,3,1,2,6,12,95,33,48
18,17,7,0,3,7,13,121,41,63
15,16,4,0,1,9,10,66,37,53
17,14,4,0,1,7,11,80,41,73
14,14,3,2,4,5,14,84,43,96
15,16,6,1,2,7,11,44,30,51
18,15,6,4,2,7,11,31,18,24
14,14,7,3,3,7,12,31,18,24
15,16,7,1,2,10,12,41,23,32
12,11,5,1,2,8,9,30,18,22
15,16,3,0,1,5,11,95,34,48
17,18,6,0,0,7,13,123,37,59
16,16,4,0,0,7,9,67,35,54
13,15,0,0,0,6,8,79,41,72
14,14,3,0,0,5,10,83,42,95
15,15,8,0,1,9,8,46,30,50
15,16,8,2,5,9,10,30,19,25
12,14,6,2,2,8,10,33,21,25
16,14,5,1,2,11,13,43,21,29
11,12,6,2,5,8,10,27,18,23
16,16,4,0,1,6,11,94,33,50
16,17,2,0,0,6,13,122,41,59
19,14,4,1,3,4,12,67,34,52
14,16,4,0,1,5,12,77,42,72
16,16,3,2,3,3,8,81,45,96
15,15,3,0,3,6,10,44,30,47
18,14,6,4,2,6,12,31,17,23
13,14,6,2,3,7,11,34,19,26
13,17,5,1,2,9,11,41,23,30
13,10,5,4,2,5,9,28,17,21
15,16,6,0,0,6,9,95,32,48
18,17,5,1,0,7,12,121,41,61
16,15,3,0,0,6,10,68,35,52
15,15,3,2,1,7,12,80,41,71
14,16,3,0,1,7,10,83,43,97
15,15,5,1,0,7,8,44,30,49
17,15,6,3,2,5,11,30,17,23
11,14,10,2,4,8,11,32,18,27
15,15,6,0,2,13,10,43,23,30
12,11,4,4,3,7,10,27,19,23
17,14,6,0,1,7,11,94,33,49
16,17,5,0,1,7,14,120,41,62
17,16,3,0,0,5,11,68,35,53
16,13,3,0,0,3,13,78,41,73
15,14,5,0,0,6,14,81,42,96
15,14,5,3,3,5,11,45,30,49
16,17,5,4,2,5,10,31,19,24
12,13,6,3,2,7,12,33,19,27
13,14,8,3,1,9,10,41,23,30
13,14,6,2,4,6,9,28,20,23
14,15,4,0,0,6,8,96,36,48
17,17,3,0,0,8,11,121,40,61
16,15,7,1,0,8,10,67,35,53
16,15,5,2,1,6,10,78,44,74
17,17,3,0,2,6,10,83,45,95
13,14,5,1,0,7,11,44,29,51
17,16,6,5,4,7,11,30,19,25
12,13,6,1,4,7,12,34,19,26
15,15,6,2,2,11,14,41,22,31
12,12,5,3,3,8,10,27,16,25
17,15,3,0,3,4,11,96,35,48
14,16,3,0,1,4,13,121,39,60
16,17,4,1,0,6,12,67,34,53
16,16,2,0,2,6,12,79,40,72
17,14,4,0,3,4,11,82,46,96
13,15,3,1,2,7,13,46,29,49
17,16,7,3,3,10,10,30,18,25
14,14,8,5,3,8,12,33,21,26
14,15,5,0,4,10,12,44,25,30
12,13,7,4,1,8,9,29,17,22
14,16,4,1,0,5,11,95,33,51
18,15,2,0,0,9,11,119,40,60
16,16,5,1,0,6,11,67,36,52
17,14,5,2,0,7,12,79,41,73
14,14,4,0,0,8,10,80,45,97
14,15,5,2,2,7,8,46,30,48
16,17,7,3,3,8,11,31,19,24
11,14,6,3,4,6,12,34,20,25
14,14,5,1,3,12,11,42,21,31
12,14,6,4,2,7,11,28,19,22
16,15,2,0,2,6,12,98,33,48
18,14,4,0,2,5,15,123,40,60
16,16,3,0,0,7,10,66,33,51
16,17,2,0,2,5,9,78,41,71
17,15,4,0,4,4,9,84,43,96
14,14,6,2,2,6,12,46,29,46
16,14,8,3,4,6,10,30,19,24
13,13,5,2,4,7,12,34,18,27
12,14,5,2,3,11,11,42,22,29
11,12,5,3,3,7,8,27,19,23
17,16,3,0,0,5,10,96,34,48
18,14,2,1,0,6,15,122,41,61
16,17,4,0,0,7,11,66,35,54
16,18,3,1,1,6,10,78,41,74
21,14,4,2,3,6,14,83,44,97
14,15,5,4,0,9,12,45,31,50
15,14,8,3,2,7,12,31,19,24
14,14,6,1,1,8,12,34,20,25
16,12,8,3,4,9,12,44,22,29
11,12,6,2,3,7,12,27,17,24
17,17,3,0,1,6,10,94,36,47
16,16,6,0,3,4,12,123,40,62
19,15,4,0,0,7,14,69,35,52
11,16,3,1,0,5,10,77,42,71
15,17,5,0,2,5,8,83,46,94
17,15,5,2,1,7,14,47,30,49
18,15,7,3,2,8,13,30,18,25
14,14,7,3,2,10,11,32,20,27
14,12,6,3,3,9,12,43,22,31
12,13,6,3,1,6,11,28,17,24
13,13,5,0,1,9,12,93,34,50
16,15,5,0,0,5,12,121,40,61
16,16,4,2,0,5,12,68,34,54
14,17,3,0,0,7,14,77,38,71
17,12,5,0,1,4,9,79,42,92
16,14,4,3,3,6,11,44,27,49
17,17,8,3,5,6,12,29,18,26
13,15,7,3,3,7,13,34,19,26
12,15,5,0,3,10,13,41,21,29
12,13,7,2,4,5,9,26,18,22
16,15,4,2,1,6,13,92,31,48
17,19,5,0,2,7,16,123,37,61
16,16,5,1,2,8,13,65,33,53
16,16,4,2,1,5,13,76,36,73
15,15,4,0,0,4,12,81,41,94
13,15,6,2,2,7,15,43,28,45
15,18,7,4,3,6,10,30,18,25
14,14,7,3,2,6,14,35,19,25
14,12,7,3,2,8,15,43,20,31
13,13,5,3,1,7,11,27,16,23
15,16,3,0,0,5,14,91,32,47
17,15,4,0,1,4,12,120,37,61
19,16,2,1,0,4,13,67,34,52
14,16,7,0,1,7,16,76,40,70
15,14,3,0,0,5,12,83,41,91
14,13,4,1,3,4,12,45,28,47
17,17,7,3,3,6,13,30,19,24
12,13,8,1,3,6,14,34,21,25
15,15,7,2,4,6,14,43,23,29
11,12,6,2,3,7,12,27,18,22
17,16,6,0,1,5,14,96,32,46
16,16,5,0,2,2,12,122,41,60
19,18,3,0,1,4,15,67,35,51
15,16,6,0,0,6,14,78,39,69
16,17,4,0,0,3,12,88,43,94
14,15,5,2,1,4,13,44,29,44
16,17,5,5,2,8,13,30,18,25
13,14,7,2,1,9,15,32,18,26
13,14,5,3,3,7,11,43,19,30
12,12,4,5,1,5,11,27,17,24
14,16,4,2,0,5,14,92,32,47
16,16,4,0,1,7,12,121,36,59
17,15,2,0,0,4,14,68,31,54
15,14,2,4,2,6,13,79,36,69
16,17,3,0,2,6,14,84,38,96
16,16,3,0,3,7,11,44,26,45
17,14,8,3,2,7,13,29,18,24
12,12,6,1,2,6,15,33,19,24
13,14,7,4,5,5,14,42,20,29
12,12,6,3,4,5,11,28,18,24
14,15,7,0,1,5,15,92,32,47
18,15,5,1,1,6,15,119,37,57
15,16,2,0,0,4,12,66,31,52
16,14,5,0,0,4,13,74,37,69
13,16,1,0,0,4,13,81,41,95
13,13,3,0,3,8,9,44,26,43
15,15,8,4,3,4,11,30,17,24
12,15,4,4,1,4,15,32,18,26
14,15,6,2,2,9,13,42,21,28
12,13,5,3,5,7,11,29,16,24
15,16,3,1,0,4,13,93,31,50
18,17,4,0,0,7,14,121,36,61
15,15,3,0,1,7,13,69,30,51
17,17,2,1,2,6,12,77,33,70
14,15,3,0,0,1,13,83,41,96
14,12,6,0,1,7,13,45,28,45
17,15,8,4,3,7,12,29,17,23
12,12,6,3,3,7,13,32,17,25
16,12,7,1,3,8,13,40,22,29
11,12,7,4,2,7,11,28,17,22
15,15,7,0,0,6,12,94,28,47
17,18,5,0,1,5,14,123,37,60
16,14,3,0,1,4,13,68,33,52
15,15,5,2,0,5,13,79,34,71
15,15,7,0,0,4,10,81,37,95
12,15,4,3,3,5,13,41,26,45
17,16,7,3,2,7,11,31,17,24
12,14,4,3,3,7,13,32,18,25
15,14,7,3,1,6,13,40,19,31
9,14,7,4,1,7,11,29,18,23
15,16,2,0,0,6,11,92,27,45
15,19,1,2,0,3,14,120,33,60
15,15,2,0,1,4,14,66,32,54
16,16,3,0,0,6,11,75,32,71
15,16,2,0,1,5,12,78,35,97
13,13,4,2,1,6,12,42,26,46
14,16,8,3,3,7,13,29,16,24
12,13,7,2,3,8,14,32,17,24
14,15,5,1,3,8,13,40,19,28
11,12,6,3,1,5,12,28,17,22
16,13,3,0,0,7,16,92,30,48
17,16,6,0,2,4,14,119,34,57
17,14,4,0,1,6,15,65,30,53
15,13,4,0,0,4,14,72,35,71
16,15,6,0,1,6,14,76,37,94
12,14,4,2,3,5,14,39,24,44
18,15,8,5,1,5,13,30,18,25
13,14,7,3,2,8,15,33,18,27
15,15,4,2,4,6,15,39,18,31
11,14,5,5,3,5,11,29,17,24
15,15,4,0,0,3,14,93,30,48
16,19,3,0,0,5,16,121,33,58
14,15,4,2,1,4,16,66,31,54
14,16,6,1,0,3,12,73,35,74
16,19,6,0,0,6,14,81,39,96
13,14,5,1,3,6,12,42,26,43
18,17,7,3,4,6,12,30,16,24
13,14,6,2,1,6,19,31,19,28
15,15,6,0,0,8,18,40,20,29
11,13,5,4,4,7,13,28,15,22
14,13,4,2,0,6,17,94,29,50
17,15,5,0,0,4,20,118,34,60
15,16,7,0,0,4,16,66,33,52
17,16,4,1,2,4,11,79,33,72
17,15,5,0,0,4,15,79,33,96
14,13,5,0,1,3,15,42,25,43
16,18,6,2,4,4,14,28,18,24
14,13,6,5,3,6,16,35,20,25
12,13,7,4,0,7,16,42,19,30
11,13,8,2,3,7,13,26,16,23
16,16,4,0,1,1,17,94,32,49
18,16,3,0,1,4,16,123,36,60
17,16,4,1,0,6,15,67,30,53
13,14,4,0,2,5,16,73,32,71
16,17,6,1,0,1,16,79,40,98
15,14,6,3,1,7,13,44,27,45
15,16,7,4,4,7,14,30,16,26
13,15,6,3,4,6,21,31,18,25
13,15,4,1,2,6,17,41,22,29
13,13,6,2,3,7,11,28,17,23
16,16,4,0,0,5,17,96,30,48
15,16,5,0,2,4,18,121,33,61
15,17,6,1,2,3,17,64,30,54
