"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
47,29,26,23,23,21,21,20,12,6
27,21,18,17,17,15,16,19,9,6
19,14,11,11,10,10,11,10,8,7
24,19,14,15,14,14,15,16,10,5
87,32,25,23,24,21,22,22,13,6
87,37,25,24,25,21,24,23,20,7
67,31,20,22,21,20,20,18,15,6
54,27,19,18,17,16,17,17,12,5
80,29,18,16,18,17,14,15,12,5
24,26,16,15,17,14,15,13,10,6
15,14,8,3,4,6,6,12,10,8
12,10,4,3,8,3,5,12,8,7
10,7,6,3,6,1,4,5,4,6
14,12,6,3,7,2,6,10,11,11
20,21,4,1,10,1,7,12,12,10
23,22,5,4,10,1,5,11,11,10
21,19,4,3,10,0,5,9,11,9
18,19,3,4,6,2,6,8,8,9
19,21,4,2,8,3,3,10,8,7
19,19,1,2,11,1,6,7,7,8
17,17,4,2,3,3,3,14,2,11
10,12,3,4,4,3,5,13,5,10
9,11,2,1,5,3,1,10,1,6
13,16,4,2,7,4,3,12,0,8
22,20,3,0,8,0,2,15,2,13
23,23,3,0,10,2,3,12,2,12
22,21,4,0,9,3,2,11,1,9
18,17,4,2,7,3,5,8,1,9
24,21,5,1,7,2,3,9,2,8
21,17,4,0,6,6,2,12,4,7
17,14,7,2,3,4,3,17,5,10
10,13,4,2,6,4,4,13,3,8
9,7,4,2,4,1,3,8,3,8
15,12,5,2,5,2,2,13,4,12
19,21,6,2,8,2,0,21,1,10
23,20,4,1,9,2,2,21,0,12
22,21,4,1,9,1,4,13,2,12
16,17,7,3,7,4,1,14,4,12
18,19,4,0,7,1,4,13,1,13
18,19,1,1,9,1,3,11,2,12
15,16,7,2,1,2,2,16,3,11
12,12,2,0,5,5,4,14,2,9
8,10,4,3,7,2,4,8,4,7
13,12,5,5,6,4,3,14,3,11
20,22,7,1,5,1,2,13,0,11
21,21,4,0,8,2,4,12,0,13
20,17,4,2,8,1,5,9,1,15
17,16,5,3,7,3,3,10,3,12
18,17,4,0,5,1,7,11,1,11
17,18,3,0,10,2,4,7,1,14
14,14,6,3,5,3,4,14,5,11
11,9,7,3,4,3,6,15,4,10
10,10,4,1,6,2,3,6,1,5
14,13,4,3,9,2,5,12,3,9
18,17,1,3,5,2,5,13,4,15
22,22,7,2,8,3,3,13,4,10
17,20,3,0,8,2,5,11,3,9
16,15,3,2,7,2,2,8,2,11
17,19,3,2,5,3,5,9,3,11
13,16,4,0,5,2,4,13,3,9
15,16,8,2,4,2,4,14,4,7
11,14,6,5,6,4,3,15,3,7
10,8,4,1,5,4,2,8,2,4
13,12,5,2,9,1,3,10,2,5
16,18,4,1,9,0,1,14,1,5
22,21,8,0,8,4,0,14,2,8
19,20,4,0,8,1,4,13,3,4
16,13,3,2,8,2,3,8,2,2
19,15,5,3,7,2,2,9,0,5
15,16,3,1,6,4,3,11,4,7
15,15,7,3,3,4,9,13,6,7
11,14,5,3,8,2,9,12,4,7
10,8,1,5,5,2,8,8,5,7
12,13,6,1,6,4,8,11,5,7
20,19,6,0,9,1,11,12,2,3
22,24,2,1,7,2,9,9,2,2
21,19,3,3,7,6,8,8,1,6
13,15,4,0,8,7,8,10,5,6
18,21,3,0,7,6,8,8,3,1
19,18,5,2,8,8,7,9,1,6
17,16,7,5,6,7,9,12,3,8
12,12,7,5,5,8,8,12,4,8
7,9,6,1,4,6,9,8,2,6
12,11,4,1,8,7,9,8,2,5
19,18,4,4,9,7,13,11,1,7
23,21,4,1,7,8,16,11,2,6
21,21,3,1,8,6,13,8,1,5
18,16,4,2,4,7,10,8,0,6
21,20,4,3,2,6,8,7,3,5
18,20,6,1,2,6,10,8,4,4
13,15,5,4,4,6,9,14,4,9
11,12,5,2,2,8,10,13,4,6
12,11,5,1,5,5,8,8,3,7
11,12,2,1,3,8,7,7,2,7
23,19,3,4,1,10,8,10,4,7
22,21,4,0,2,12,14,13,4,6
19,21,3,2,4,11,10,9,3,5
18,17,4,4,4,9,7,8,2,7
19,19,7,3,0,8,9,8,4,5
17,18,6,2,4,10,8,10,4,7
15,15,7,3,4,4,9,14,4,6
8,10,4,3,2,6,6,11,4,5
11,8,4,4,4,6,7,7,4,6
12,12,7,3,5,5,10,12,4,4
20,20,2,2,3,8,9,11,1,5
24,21,3,3,1,7,7,11,0,6
23,21,6,5,3,6,7,9,4,4
17,19,7,1,4,6,8,9,5,4
21,20,1,2,2,5,7,8,1,5
18,18,6,4,3,5,6,7,0,6
17,16,6,4,5,4,8,15,5,11
12,10,3,4,3,4,7,11,4,8
10,9,4,5,5,5,3,5,2,9
12,12,6,4,7,3,7,11,5,10
19,20,4,2,11,3,10,13,5,12
21,22,4,4,8,6,8,11,2,15
21,18,4,3,9,4,7,9,3,11
17,17,5,1,8,3,4,8,4,8
20,21,2,6,9,5,8,10,4,10
16,16,3,3,7,6,7,8,1,9
14,13,3,4,7,6,3,13,1,9
11,9,6,5,7,3,3,13,4,5
8,9,6,1,7,3,4,8,5,5
13,13,4,5,6,6,2,10,2,6
18,18,4,4,10,3,0,10,1,4
23,20,8,2,12,4,0,10,3,4
20,20,5,4,10,4,2,12,2,6
15,15,3,5,9,3,2,7,0,3
16,20,5,2,8,5,1,7,3,5
15,17,7,3,8,4,3,10,0,5
11,15,7,3,8,9,4,13,6,7
