"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
12,10,8,5,19,27,22,22,12,15
7,9,8,0,24,41,30,35,16,23
8,13,4,3,30,54,36,44,15,23
8,10,6,4,22,33,25,27,11,22
8,12,3,0,52,240,81,78,15,21
7,10,3,3,65,481,112,85,13,21
11,11,0,1,55,337,84,66,15,17
4,12,2,1,55,331,85,72,11,21
7,10,0,7,54,331,86,65,17,25
10,10,1,5,30,55,38,32,14,14
11,10,6,3,18,27,21,23,14,16
10,8,5,4,24,40,29,34,16,19
9,8,2,0,29,52,32,45,18,27
9,10,5,4,23,34,28,27,16,22
10,8,4,0,51,241,84,80,22,15
8,10,5,0,63,477,107,89,18,19
7,8,8,1,55,336,81,71,14,18
6,8,3,0,55,330,86,68,20,20
12,8,10,0,57,331,85,70,13,18
11,10,6,4,29,55,35,33,13,14
7,9,6,6,16,27,21,23,9,13
9,11,2,2,23,39,27,37,14,22
9,9,5,4,28,53,36,47,15,22
12,10,3,4,18,34,28,26,13,18
8,7,0,0,45,240,82,82,16,17
14,8,2,0,62,475,103,87,17,15
10,8,1,2,54,329,88,68,16,19
12,6,8,0,51,326,81,67,13,10
10,7,3,0,53,326,85,68,15,16
10,9,4,3,30,52,36,32,13,13
11,11,8,4,14,27,24,23,10,15
11,11,3,6,19,42,28,36,14,17
6,10,2,3,24,54,37,48,14,23
9,11,5,6,19,34,26,28,11,17
7,12,0,6,39,241,82,83,17,15
10,13,1,0,48,471,106,96,10,13
5,16,0,2,45,320,85,75,11,15
10,10,0,1,47,314,82,73,19,18
9,12,0,1,44,319,81,75,12,17
10,12,3,4,28,55,34,34,11,12
9,9,8,4,17,27,21,23,13,14
10,9,4,3,19,40,30,36,16,23
8,8,7,3,21,54,39,45,16,23
12,9,7,2,18,35,27,29,15,15
9,10,4,0,38,240,80,82,16,15
8,8,4,4,46,470,109,93,16,19
9,7,1,1,37,315,90,74,19,22
9,10,1,0,38,315,82,70,14,13
6,6,2,0,41,312,84,72,10,17
11,12,2,4,22,53,36,33,14,15
7,10,8,3,16,28,23,22,12,16
11,11,7,2,21,43,29,35,14,18
10,9,3,0,27,54,34,47,17,25
11,10,7,3,18,34,27,26,14,20
14,8,6,0,40,241,84,85,20,21
13,11,3,1,57,470,106,93,18,22
11,8,7,4,47,312,85,68,13,15
10,8,10,0,44,306,84,69,18,17
10,15,2,0,48,308,82,70,15,17
13,9,3,4,27,55,35,32,13,12
11,13,7,6,17,29,21,25,10,16
10,13,1,3,22,42,27,38,16,22
7,12,3,2,22,55,37,46,14,27
10,10,5,4,17,34,25,31,14,21
11,16,1,0,39,243,81,83,18,16
15,13,4,5,50,467,104,94,16,16
11,11,2,0,40,314,90,72,18,20
14,14,7,0,40,310,81,67,16,18
15,8,6,2,48,313,83,73,14,15
11,10,4,5,26,54,38,32,11,15
12,10,7,6,19,26,21,24,11,14
11,13,5,7,22,40,30,37,15,22
13,11,4,3,21,57,35,48,18,27
8,13,3,2,19,32,24,29,11,19
11,13,0,0,42,239,83,84,19,17
8,14,0,5,49,467,107,91,20,24
10,17,4,2,47,314,80,75,16,17
10,13,0,0,43,309,84,70,17,11
8,15,3,1,47,310,79,68,12,18
10,15,6,4,25,55,34,33,11,16
9,10,8,2,16,28,21,24,11,14
10,11,3,0,22,41,31,36,13,20
11,9,4,1,25,55,34,43,17,24
12,8,7,3,18,31,24,27,14,17
15,11,0,0,38,237,87,80,15,16
17,12,0,1,48,468,108,91,16,14
18,8,4,3,45,314,87,75,18,21
13,15,2,0,40,313,86,72,18,14
15,11,3,0,45,311,86,70,18,7
11,10,2,5,28,55,36,33,13,14
10,12,6,4,17,27,22,23,11,14
10,11,7,4,21,41,32,37,17,21
9,10,4,3,21,55,38,47,17,25
10,10,3,2,19,33,26,28,11,15
5,9,4,1,38,233,83,80,17,15
14,7,3,5,48,465,109,93,19,23
11,12,7,0,38,305,89,72,15,16
11,9,3,0,42,303,89,67,16,9
16,7,1,5,43,307,82,68,12,14
10,10,7,3,23,53,36,33,14,16
12,9,3,4,16,27,19,25,13,14
10,10,5,5,21,41,29,36,14,19
13,10,5,4,24,56,33,44,16,23
10,12,4,6,17,34,25,30,14,19
9,10,5,0,37,232,86,81,18,19
3,9,4,0,47,460,109,91,15,19
7,12,3,1,35,302,83,70,14,16
11,10,9,0,36,294,85,67,17,16
8,5,0,1,43,297,85,69,14,14
12,9,5,5,23,53,35,31,12,13
8,12,7,4,17,27,21,22,10,13
8,10,4,3,21,40,30,37,14,18
8,8,3,1,24,55,34,48,15,23
10,9,5,3,19,31,26,27,12,16
8,10,0,2,40,228,82,81,16,17
13,12,6,2,44,460,102,92,15,16
5,13,5,0,44,300,89,76,16,19
8,14,0,2,42,295,84,66,17,11
10,9,0,5,42,296,83,65,11,12
7,9,5,4,23,53,36,33,13,14
9,7,6,4,17,27,21,24,12,15
9,10,6,3,21,41,29,36,13,20
5,9,4,0,24,53,39,45,16,24
8,7,3,5,19,34,25,27,11,15
10,8,4,3,44,224,83,82,15,21
12,9,7,0,48,459,111,91,20,19
9,10,1,0,44,304,88,72,10,14
10,9,1,0,43,302,87,67,12,21
7,13,3,5,39,301,87,66,16,13
10,12,3,0,25,53,36,33,13,15
9,9,6,6,16,26,20,22,10,13
7,8,3,6,22,41,30,35,15,21
7,11,4,5,23,54,35,45,16,20
8,7,7,3,20,34,28,29,12,15
5,6,0,3,40,225,86,78,16,16
14,4,4,3,47,458,107,87,15,18
7,5,9,0,40,308,89,71,17,14
11,10,1,0,45,303,89,69,18,16
9,5,0,0,42,308,86,70,15,18
8,7,7,4,24,53,35,32,12,12
9,8,5,5,15,27,20,23,11,15
10,11,4,5,22,42,29,36,13,19
6,9,4,2,24,56,38,45,16,19
7,8,3,6,19,33,24,27,10,13
5,6,2,4,38,226,83,76,13,17
7,11,8,8,53,459,113,90,14,14
7,9,5,0,48,316,91,71,14,14
9,7,0,8,46,310,89,68,15,14
9,4,2,2,46,309,87,68,11,13
10,11,8,3,29,53,37,32,12,11
9,8,5,2,16,27,22,25,13,15
7,10,6,6,21,43,31,35,16,18
10,9,6,5,24,55,32,42,15,22
9,10,2,3,19,32,24,26,14,15
10,5,2,1,42,225,83,77,17,14
5,9,4,4,52,467,110,89,14,14
7,10,5,2,50,327,89,70,16,14
11,9,1,0,47,321,86,67,14,9
5,11,0,5,49,328,92,70,17,14
10,10,4,5,26,56,36,33,12,15
9,9,6,3,15,28,22,25,11,14
7,8,7,3,19,40,30,34,16,22
9,10,5,4,23,53,34,44,18,21
10,10,7,4,18,32,23,29,12,16
9,9,2,6,39,227,86,79,21,16
7,4,2,1,52,469,109,91,16,17
9,7,10,2,49,345,90,69,15,15
4,10,2,4,44,342,91,72,18,15
8,5,4,3,48,343,91,73,13,12
7,9,5,4,30,55,37,32,13,14
8,9,6,6,17,29,22,24,11,14
7,7,7,4,23,39,30,35,16,19
7,11,6,3,26,53,36,43,15,24
8,9,5,4,22,34,26,29,14,15
10,6,3,2,46,228,87,82,15,12
16,7,3,3,61,474,114,91,22,15
7,10,7,0,52,360,95,77,16,18
7,3,1,3,52,354,93,74,17,17
3,2,2,6,55,356,95,70,14,12
7,11,5,4,26,56,38,31,13,12
7,6,7,6,18,27,21,25,11,16
9,9,7,3,25,42,32,36,16,21
7,11,3,2,23,56,40,43,16,25
12,9,3,8,19,33,24,28,14,13
10,11,0,2,49,228,87,82,19,16
8,9,8,0,59,476,120,92,13,24
7,9,0,3,50,370,106,77,17,18
5,9,0,5,49,368,100,73,21,10
14,9,1,0,58,364,98,69,17,20
10,6,6,3,31,54,40,36,13,15
7,8,8,4,19,27,22,23,12,16
7,8,7,2,21,42,33,38,16,21
9,9,2,5,26,54,37,44,19,21
11,8,5,3,21,34,24,26,13,14
6,6,4,0,48,229,92,81,18,17
4,11,5,3,58,481,131,95,17,18
4,8,1,8,53,377,107,74,19,9
11,8,0,0,59,369,99,73,18,19
14,4,5,0,61,368,104,77,16,18
6,12,5,6,25,55,40,33,14,14
