"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
42,29,30,28,27,28,26,28,15,17
19,19,18,19,18,18,17,19,12,15
28,23,23,23,22,20,21,22,13,15
24,22,22,21,20,21,23,24,14,15
78,53,49,44,45,44,40,41,21,23
69,49,49,52,50,49,47,51,24,22
51,38,34,34,36,33,34,34,22,21
34,28,25,25,24,26,24,24,18,17
94,57,51,50,48,48,50,48,40,35
47,47,44,41,44,42,43,41,36,34
13,13,6,2,5,2,6,24,7,16
8,9,5,2,2,3,1,17,4,13
11,11,4,3,5,3,6,19,5,14
12,12,5,4,4,1,6,22,6,15
17,18,5,1,4,0,6,95,2,19
21,20,1,0,4,2,6,53,6,22
16,18,3,1,7,2,7,30,5,23
16,14,5,5,4,1,4,21,5,17
19,20,1,1,0,2,5,27,4,32
18,18,2,0,5,4,6,22,5,29
15,14,7,3,3,4,7,22,4,16
8,8,3,1,4,2,7,16,3,13
10,9,5,3,6,4,7,17,4,11
13,11,6,2,1,2,7,16,1,12
18,17,3,0,1,1,4,44,1,23
20,20,5,2,5,2,7,28,3,23
20,17,3,3,4,2,5,22,2,21
14,15,4,1,2,2,8,14,2,19
20,20,3,0,3,1,4,19,1,41
17,15,2,3,1,0,6,19,2,33
13,14,5,2,9,1,6,17,5,17
9,9,4,3,10,3,5,14,3,12
11,12,5,3,5,3,5,15,0,13
12,11,3,0,7,2,6,11,3,14
16,18,4,2,12,0,5,15,0,19
19,18,4,3,10,2,7,15,1,18
19,20,4,0,9,0,5,11,0,21
15,15,3,1,8,1,6,10,5,16
17,15,1,3,8,2,7,12,5,34
18,18,6,3,10,2,5,9,0,28
16,14,6,2,7,3,5,15,3,14
11,8,7,3,9,3,4,12,2,11
12,12,6,5,6,5,6,10,2,14
13,12,4,1,8,2,3,9,3,15
19,16,1,0,10,2,7,15,1,21
19,19,4,2,12,4,5,13,2,19
19,20,5,4,9,2,4,10,1,21
14,15,4,1,7,2,6,10,2,19
20,18,3,0,9,4,2,10,1,31
14,17,3,1,8,2,3,11,0,25
13,13,7,3,7,4,5,16,6,12
9,10,5,1,7,1,5,10,4,14
11,11,4,1,8,5,3,10,5,13
9,10,3,1,6,3,4,11,6,11
18,18,7,2,8,1,4,12,4,17
17,17,4,4,9,2,4,10,7,18
20,16,3,2,10,6,4,10,7,15
14,15,5,3,6,2,6,7,5,14
18,20,4,0,6,3,7,9,5,27
19,19,4,0,8,3,3,9,7,23
14,12,6,4,10,3,4,16,5,15
10,11,5,4,6,4,4,14,5,10
11,12,5,1,6,4,7,13,7,12
13,11,4,1,11,3,4,11,6,15
15,17,4,0,9,2,6,15,7,16
20,19,6,4,11,3,4,11,6,15
17,20,3,0,11,0,5,9,5,18
15,12,3,1,8,4,4,7,8,16
20,18,4,4,2,1,5,8,8,20
16,19,6,0,10,1,8,12,6,19
12,14,7,6,6,3,9,16,5,13
10,10,5,2,9,2,6,13,3,13
12,12,4,2,7,4,5,14,7,12
11,11,4,1,8,4,7,12,7,12
19,18,5,0,9,3,9,16,3,16
18,19,6,1,13,5,8,14,7,19
18,18,2,2,10,4,3,12,5,16
15,15,3,2,10,3,5,10,4,12
17,21,4,0,9,3,5,11,5,23
17,18,5,3,8,5,1,10,8,19
13,15,7,3,7,5,4,13,7,16
8,8,4,1,7,5,6,11,7,13
9,11,4,4,7,4,5,14,5,11
13,12,6,3,9,2,8,11,4,14
16,17,6,0,9,5,5,20,7,23
20,18,3,2,10,1,7,16,6,18
19,17,4,2,9,3,7,14,4,18
16,15,4,2,8,3,6,9,6,16
22,23,3,0,8,2,3,11,7,31
15,15,4,3,6,2,7,13,6,20
16,13,7,2,7,10,7,15,5,16
11,9,2,0,8,8,2,11,5,14
10,11,4,3,7,9,5,13,4,11
11,12,5,1,7,7,6,13,5,13
17,19,5,0,11,9,6,18,5,20
20,19,5,0,11,8,8,15,6,22
20,17,3,1,7,6,7,14,6,17
15,16,3,1,9,7,6,10,6,14
19,22,4,0,9,6,8,12,6,30
18,17,3,2,7,4,4,10,7,23
13,12,4,0,8,7,8,14,7,16
11,10,3,4,6,4,7,11,6,11
8,10,6,1,5,8,7,10,4,11
13,13,4,2,6,7,6,11,8,15
17,19,1,0,8,10,12,19,6,20
18,17,5,1,9,9,13,15,3,19
20,19,5,0,7,10,10,11,6,21
15,15,3,1,7,8,7,10,8,17
19,19,2,0,6,6,6,12,6,34
17,17,5,2,4,8,9,11,3,26
13,14,9,2,8,5,12,15,5,19
9,9,5,3,6,6,9,14,7,14
11,10,5,4,8,4,10,12,8,9
11,13,5,0,9,6,12,13,6,15
19,18,2,1,10,7,21,16,6,22
19,19,5,5,10,5,14,14,8,24
18,18,4,0,11,4,16,14,8,19
16,16,5,3,9,6,10,10,5,18
18,20,2,7,10,7,10,12,9,41
15,17,4,0,10,5,11,13,8,28
14,14,6,5,8,5,10,17,6,16
11,10,6,3,8,7,10,14,2,15
8,11,6,0,8,8,9,11,7,15
14,12,4,3,7,7,11,11,6,15
17,16,1,0,9,7,24,13,5,19
20,19,4,0,10,7,16,13,5,23
17,18,4,4,7,5,14,11,6,23
16,15,3,0,9,5,12,11,9,19
20,18,2,0,6,4,14,14,3,41
16,16,3,3,8,8,15,8,6,33
12,14,9,5,8,4,12,15,5,18
