"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
31,19,18,19,19,19,15,8,4,1
34,23,25,24,25,24,22,6,3,4
26,25,25,27,26,26,22,4,3,4
152,161,162,195,190,164,70,3,3,1
42,34,37,37,40,37,32,6,4,2
67,60,62,62,64,60,57,6,3,4
235,231,234,234,239,239,240,6,1,1
14,12,10,11,11,12,13,2,5,2
18,13,13,12,13,13,11,6,2,3
12,12,13,11,13,12,12,6,1,3
8,3,3,2,6,15,16,7,5,3
7,1,1,3,7,17,22,5,2,4
6,3,2,2,7,14,15,4,1,3
6,2,1,1,10,95,153,4,2,2
10,1,2,1,10,25,33,4,4,4
5,1,1,2,10,34,68,4,1,3
10,0,0,1,9,48,250,1,1,1
7,1,2,2,8,9,12,5,3,2
5,1,2,3,4,10,14,3,2,4
3,2,1,0,6,9,14,2,2,3
7,5,2,4,3,9,17,4,2,4
6,4,2,3,7,9,18,4,3,3
5,3,2,2,4,5,9,5,3,4
6,1,2,2,8,14,150,3,1,4
7,2,2,4,9,9,38,4,1,4
7,2,1,0,9,9,73,1,2,3
5,0,1,2,8,6,286,2,0,3
4,2,3,1,5,7,14,4,3,3
5,2,1,1,6,6,13,1,2,3
8,0,2,2,6,6,10,4,2,4
6,4,3,1,7,6,16,7,3,3
4,1,2,2,7,6,19,5,2,3
3,2,1,1,5,5,11,3,2,1
6,2,1,1,10,7,83,3,3,2
6,1,2,0,10,8,71,4,2,4
8,0,1,0,9,11,84,3,1,2
5,1,0,0,7,11,282,2,1,0
7,1,2,2,6,5,12,3,3,5
4,0,2,1,7,6,15,4,1,2
3,2,0,0,5,6,13,3,1,2
8,4,2,2,4,7,15,7,3,3
8,1,1,2,0,6,19,4,2,4
7,2,0,2,4,5,10,4,1,3
6,2,2,2,8,9,29,4,3,4
7,1,0,1,6,7,89,3,0,3
7,0,0,1,6,11,78,4,1,2
6,1,0,0,7,7,241,1,1,1
7,2,2,4,5,5,12,4,3,4
6,3,0,4,5,5,15,5,1,4
6,2,1,1,6,5,11,2,2,2
7,4,1,2,2,5,15,6,3,3
8,2,1,1,2,5,16,3,2,3
3,2,3,1,1,2,9,3,3,2
7,1,1,0,1,0,8,2,1,0
6,2,0,0,1,4,114,2,0,1
6,1,1,1,2,3,63,2,1,3
7,0,0,2,0,2,156,3,0,2
3,3,1,2,2,3,14,4,2,2
5,1,1,0,1,5,12,2,1,3
6,1,2,2,3,3,11,4,0,2
7,4,3,3,1,7,15,6,3,4
8,3,3,2,1,7,18,2,2,3
5,1,3,1,3,3,8,3,3,4
2,0,0,0,0,0,1,0,0,0
5,2,1,0,1,9,109,3,1,3
7,1,4,1,2,10,57,2,2,2
7,0,3,3,4,7,114,3,2,1
3,3,3,2,3,3,12,3,4,3
5,1,3,0,3,7,14,2,2,1
5,1,0,0,4,5,11,3,1,2
5,5,1,2,3,4,15,5,4,3
6,1,1,2,1,1,16,7,1,5
5,2,1,2,1,3,11,3,2,2
1,0,0,0,0,1,1,0,0,0
8,0,0,2,0,0,101,3,1,3
6,2,2,4,0,0,41,4,0,4
7,1,1,1,3,3,53,1,0,3
5,0,2,2,2,4,9,1,0,3
7,2,0,4,2,0,10,4,2,4
6,2,1,1,0,0,11,3,1,3
7,3,2,3,1,4,13,6,5,4
6,1,3,3,3,4,15,4,3,2
5,1,2,1,3,2,7,6,2,4
2,0,0,0,0,0,5,1,2,3
7,0,1,0,1,2,100,3,1,0
7,0,2,1,1,3,30,4,3,3
7,0,1,1,3,1,25,3,0,2
3,0,1,2,2,1,8,2,2,3
4,1,4,2,1,2,12,4,2,4
6,1,1,1,3,3,9,3,2,3
7,4,4,1,8,8,15,6,4,3
6,2,2,4,10,12,16,4,1,2
5,2,1,1,5,6,9,5,2,4
5,3,2,1,14,21,21,4,2,3
9,1,0,0,17,18,86,2,1,1
7,3,2,4,12,11,29,5,1,3
8,4,1,3,12,10,23,2,1,4
3,3,0,3,4,6,9,3,2,2
7,3,3,2,7,8,10,6,0,2
4,3,0,1,7,6,10,3,2,2
6,3,2,2,8,11,12,8,4,5
7,3,2,2,6,15,16,5,4,5
4,0,3,1,6,10,10,4,3,2
6,0,0,0,3,6,1,0,0,0
5,0,0,0,7,39,49,3,2,2
9,2,4,2,6,18,22,5,2,4
6,3,2,2,7,15,16,4,2,2
5,0,1,0,4,6,6,3,2,3
3,0,2,2,5,8,10,2,3,4
6,0,2,3,5,7,9,4,2,2
7,5,1,4,13,12,10,7,2,1
4,3,2,3,16,14,13,5,2,5
6,3,2,4,8,9,6,5,1,3
1,1,0,0,2,2,1,1,0,0
7,2,1,1,72,50,33,5,1,3
8,1,3,3,23,19,21,4,2,4
7,3,2,1,17,14,15,5,3,3
4,1,1,1,7,9,6,3,0,1
6,0,0,0,10,9,7,3,1,2
6,1,1,1,8,8,9,2,2,4
6,3,2,3,11,11,14,7,5,4
8,1,3,3,14,15,14,5,2,3
6,1,1,2,9,9,8,5,2,4
1,0,0,0,2,0,1,0,0,0
8,0,1,3,46,60,35,4,0,4
7,2,2,3,24,24,40,5,2,2
7,3,2,4,17,17,18,4,1,2
4,1,0,2,7,7,7,3,2,5
5,3,2,2,7,9,9,3,3,3
4,2,1,3,9,9,6,4,0,2
7,5,3,5,11,15,15,7,5,4
6,1,1,3,15,15,19,4,1,3
4,2,1,5,8,8,11,3,3,3
1,0,1,0,0,1,0,0,0,0
7,0,0,4,43,61,80,3,1,3
10,3,2,6,28,30,77,2,0,3
7,0,4,5,18,19,34,5,3,4
4,1,2,3,5,9,9,3,3,4
7,1,1,3,9,9,13,3,1,1
6,0,0,5,9,9,11,3,1,2
6,4,4,7,11,12,13,7,3,2
8,3,2,7,15,16,19,5,1,3
5,3,1,6,10,8,11,2,2,4
1,0,0,3,1,0,0,0,0,0
7,2,1,11,52,53,111,4,0,3
6,3,1,10,27,27,82,3,0,3
5,2,0,9,20,19,38,3,2,4
3,2,2,3,7,8,8,3,1,3
6,2,2,5,8,10,13,4,1,1
6,1,1,7,8,7,10,3,1,2
5,3,1,6,10,9,15,7,4,5
6,1,1,8,11,11,20,5,3,5
5,1,3,5,7,6,10,3,1,2
1,0,0,0,1,2,0,0,0,0
8,0,1,15,27,19,121,2,0,4
7,0,3,11,14,13,76,2,1,3
8,3,3,6,14,11,36,4,4,2
6,2,1,3,6,5,8,4,3,2
6,0,1,7,6,7,13,4,1,2
5,2,2,6,7,5,12,2,0,3
5,4,4,2,6,10,18,6,4,4
8,4,2,4,10,9,20,6,1,2
4,1,1,4,5,6,10,4,3,2
0,0,0,0,0,3,1,0,0,0
6,1,2,4,8,23,131,3,0,1
9,1,1,2,8,15,115,3,2,3
7,2,2,3,4,13,31,3,2,3
6,0,2,2,3,7,12,3,1,4
5,2,2,2,6,8,12,4,2,4
4,1,1,1,4,7,11,4,2,2
6,5,3,5,4,6,14,5,4,3
5,0,1,7,2,6,18,5,2,3
4,0,3,2,2,3,8,4,2,3
2,0,0,0,1,0,2,0,0,0
6,2,0,3,3,3,138,3,2,2
9,0,0,5,1,4,60,5,2,3
5,2,3,5,1,5,21,4,1,5
5,2,1,3,3,2,13,2,1,2
5,2,1,3,3,2,13,3,2,2
6,0,2,2,2,5,11,4,3,5
4,4,2,3,5,5,14,7,3,3
5,2,4,4,6,5,17,5,2,3
3,3,2,0,2,0,6,0,0,1
2,1,0,0,2,0,0,0,1,0
7,1,0,2,13,3,92,5,3,4
7,0,0,2,10,3,108,3,0,2
6,2,2,0,5,1,16,3,1,4
7,4,4,2,5,1,12,1,2,3
4,1,1,2,5,4,12,4,1,2
6,2,1,2,6,1,12,4,1,3
5,4,2,1,12,6,14,7,3,4
8,3,3,2,16,2,14,2,2,2
4,1,0,0,4,1,2,1,2,0
0,0,0,0,0,1,0,2,0,0
9,0,1,1,71,2,48,4,0,3
5,2,3,0,27,2,63,2,1,4
6,2,2,3,10,4,11,3,4,3
6,1,1,3,10,3,9,4,0,1
3,0,2,1,11,2,13,5,0,2
6,2,2,1,11,2,9,2,2,3
6,3,1,1,14,3,9,5,4,4
6,3,3,3,14,3,8,5,3,3
0,0,1,1,1,1,2,0,1,0
0,0,0,0,1,0,1,0,0,0
8,2,1,1,81,2,21,4,2,4
8,2,2,3,26,4,20,3,2,4
7,1,1,3,9,2,6,4,1,2
4,0,1,0,10,1,9,3,0,3
4,2,2,2,11,0,7,1,1,2
5,4,0,2,8,4,6,2,1,2
5,4,2,3,14,6,6,5,4,3
4,2,3,2,13,4,7,5,1,3
1,0,1,0,4,0,3,1,0,0
2,0,0,0,2,0,0,0,0,1
8,1,2,1,100,3,11,3,1,3
7,2,2,4,24,3,11,7,2,4
4,1,1,2,11,1,7,5,2,3
4,1,3,0,9,1,6,1,2,2
5,2,1,2,7,4,7,3,2,2
5,2,0,1,9,4,5,5,3,3
5,2,3,3,9,11,10,7,2,4
4,1,3,2,11,7,12,6,2,5
1,1,0,0,5,4,3,0,2,1
0,0,0,1,2,5,3,0,1,0
6,1,2,1,36,20,26,4,0,3
8,1,4,2,14,10,14,5,0,6
4,3,1,1,6,6,7,4,2,4
5,3,2,3,3,5,4,3,2,4
5,2,1,1,9,7,7,3,2,3
3,2,1,1,7,6,7,5,1,4
7,5,3,2,15,9,12,7,2,4
7,2,3,2,14,10,12,3,2,4
0,2,0,1,4,4,4,1,2,1
