"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
36,23,24,20,20,19,19,16,14,5
38,30,28,25,26,22,22,20,17,2
10,10,10,8,10,9,9,8,5,2
1,2,3,1,2,2,1,2,0,0
110,64,62,62,60,56,53,46,34,3
127,99,96,92,87,78,67,57,38,1
48,33,32,32,31,28,23,19,12,5
55,39,39,39,37,37,28,23,15,2
25,20,17,17,16,16,14,11,9,3
15,15,15,15,14,13,11,10,6,1
7,6,13,21,20,20,19,18,17,4
5,3,11,23,24,23,21,21,19,3
2,2,5,8,8,8,7,9,7,0
0,0,1,1,1,1,2,2,0,0
1,4,11,59,60,56,50,47,39,1
3,4,11,83,80,73,56,52,41,0
6,5,9,28,27,25,19,19,14,3
2,5,8,31,32,31,24,21,16,2
4,4,7,13,14,13,10,9,8,2
4,3,6,11,13,12,8,9,7,1
5,6,12,20,22,21,20,19,19,4
3,4,12,24,23,24,21,23,19,4
3,3,4,9,8,9,7,7,6,3
0,0,1,2,2,3,0,1,2,0
3,5,12,59,56,55,49,47,39,3
5,3,10,90,76,73,60,54,40,2
5,7,9,28,25,26,20,18,14,4
2,3,9,33,31,32,24,21,17,2
4,3,7,16,13,15,12,11,7,4
3,4,7,13,12,11,9,9,7,2
5,5,14,20,21,20,21,20,18,4
3,6,14,25,23,24,21,22,20,3
2,2,6,8,11,8,8,8,7,1
0,0,3,1,2,1,3,2,1,0
3,3,13,60,57,57,50,47,41,1
4,5,14,90,80,78,62,53,42,0
6,5,10,28,26,26,18,18,14,4
1,5,10,34,30,31,24,22,17,1
2,6,9,15,14,16,12,10,8,2
4,2,7,12,12,12,8,9,7,3
5,5,11,21,21,20,20,18,18,5
5,8,13,24,23,24,21,21,19,3
3,2,4,9,9,10,7,8,6,2
0,0,1,3,1,1,2,1,1,0
6,4,14,63,60,59,54,49,41,0
2,2,14,97,85,81,65,55,44,1
8,5,10,31,26,26,20,20,15,4
2,3,11,36,31,33,25,23,18,2
5,3,7,15,14,15,11,10,9,3
3,2,6,14,13,12,8,9,6,2
3,6,14,20,21,20,20,18,19,3
2,4,13,25,24,24,22,22,18,4
1,2,5,9,9,8,10,9,7,1
0,1,2,2,2,1,0,2,1,0
2,4,14,64,62,60,52,48,42,2
2,2,12,99,87,82,65,58,44,2
3,7,12,31,26,26,21,17,14,3
5,3,11,35,32,34,24,21,17,1
4,4,7,18,15,15,11,12,7,5
3,4,7,15,12,12,10,9,6,2
5,4,14,21,22,21,20,19,19,3
3,3,15,24,25,24,21,22,20,4
2,2,6,11,10,8,9,9,8,3
0,1,4,3,4,2,3,2,2,0
3,4,15,64,66,61,54,51,45,1
1,3,13,103,92,83,67,58,46,0
6,5,11,31,27,26,20,19,14,4
2,1,11,34,32,33,25,21,17,2
3,3,7,17,16,15,11,10,8,1
1,3,6,13,12,10,9,10,7,2
3,6,12,21,22,21,20,20,17,4
2,5,12,25,24,23,21,22,19,4
2,3,4,10,10,10,9,8,8,1
0,1,4,2,2,2,2,2,1,0
2,3,14,67,66,62,56,53,43,4
