"V1","V2","V3"
"framesum","col","row"
"2066","4.79574056147144","4.29574056147144"
"449","5.03118040089087","6.32071269487751"
"385","5.11948051948052","6.36883116883117"
"297","5.1010101010101","6.08080808080808"
"238","4.90756302521008","6.35294117647059"
"318","4.9937106918239","6.55345911949686"
"311","5.0032154340836","6.68488745980707"
"328","5.14634146341463","6.76219512195122"
"328","5.30487804878049","6.41768292682927"
"327","4.94189602446483","6.31804281345566"
"333","5.16216216216216","6.26126126126126"
"319","5.10971786833856","6.32601880877743"
"333","5.2012012012012","6.15915915915916"
"332","5.19277108433735","6.28313253012048"
"324","5.06481481481481","6.0679012345679"
"304","4.99671052631579","6.05263157894737"
"327","5.22935779816514","6.01223241590214"
"324","5.10185185185185","6.20679012345679"
"353","5.23512747875354","6.1586402266289"
"399","5.09273182957393","6.48872180451128"
"378","5.11904761904762","6.73015873015873"
"393","5.16030534351145","6.64885496183206"
"375","5.136","6.93066666666667"
"381","5.06299212598425","6.84514435695538"
"410","5.06341463414634","6.76341463414634"
"393","5.1882951653944","6.70737913486005"
"403","5.04962779156328","6.63771712158809"
"399","5.04511278195489","6.78947368421053"
"385","4.97922077922078","6.72207792207792"
"422","5.17535545023697","6.60663507109005"
"423","5.00945626477541","6.92198581560284"
"411","5.14111922141119","6.93917274939173"
"423","5.05910165484634","6.91962174940898"
"432","5.01388888888889","6.99768518518519"
"441","5.14285714285714","6.74603174603175"
"427","5.10538641686183","6.85714285714286"
"419","5.18138424821002","6.90930787589499"
"422","5.13981042654028","6.89336492890995"
"439","5.16856492027335","6.74259681093394"
"438","5.13926940639269","6.66666666666667"
"433","5.2933025404157","6.80831408775982"
"427","5.2248243559719","6.86416861826698"
"436","5.07339449541284","6.83256880733945"
"428","5.08177570093458","6.87616822429907"
"446","4.9304932735426","6.82286995515695"
"431","4.84686774941995","6.83526682134571"
"441","4.84580498866213","6.95918367346939"
"443","4.81489841986456","6.81038374717833"
"425","4.93176470588235","6.82117647058824"
"415","5.0289156626506","6.60240963855422"
"360","4.88333333333333","6.47222222222222"
"301","4.9202657807309","6.34883720930233"
"240","4.80416666666667","6.075"
"228","5","6.07456140350877"
"215","5.02790697674419","5.91162790697674"
"236","5.0635593220339","6.09322033898305"
"233","5.16309012875536","6.09012875536481"
"258","4.96124031007752","5.8953488372093"
"262","5.04198473282443","6.19083969465649"
"240","5.075","6.29166666666667"
"228","5.05701754385965","5.91666666666667"
"338","5.11538461538461","6.42899408284024"
"293","5.01706484641638","6.580204778157"
"270","5.10740740740741","6.14814814814815"
"259","4.99227799227799","6.38996138996139"
"289","5.01038062283737","6.01038062283737"
"329","4.99392097264438","5.93920972644377"
"318","5.0314465408805","5.91509433962264"
"280","4.95","6.13928571428571"
"324","5.14814814814815","5.81481481481481"
"253","5.18181818181818","5.9802371541502"
"294","5.18367346938776","6.24149659863946"
"277","5","6.01805054151625"
"263","5.19011406844106","6.18631178707224"
"236","5.13983050847458","6.05084745762712"
"249","5.31726907630522","6.22088353413655"
"252","4.98015873015873","6.43253968253968"
"261","5.03065134099617","6.2183908045977"
"374","5.02139037433155","5.94919786096257"
"441","5.0453514739229","5.73922902494331"
"318","5.08490566037736","5.87106918238994"
"315","4.98730158730159","6.13015873015873"
"391","5.12787723785166","6.59590792838875"
"514","5.1011673151751","6.30155642023346"
"519","5.02119460500963","6.51637764932563"
"386","5.05181347150259","6.51295336787565"
"326","5.01226993865031","6.76687116564417"
"430","5.08372093023256","6.81395348837209"
"485","5.08865979381443","6.90103092783505"
"393","5.11450381679389","6.50127226463104"
"281","5.00711743772242","6.28113879003559"
"282","5.04964539007092","6.38652482269504"
"350","5.26857142857143","6.69428571428571"
"464","5.125","6.76939655172414"
"555","5.05765765765766","6.82342342342342"
"562","4.98576512455516","6.89857651245552"
"585","5.03760683760684","6.8017094017094"
"602","5.15116279069767","6.89036544850498"
"563","5.11190053285968","7.10301953818828"
"596","5.02852348993289","7.22651006711409"
"492","5.05284552845528","6.96138211382114"
"410","5.03170731707317","6.92439024390244"
"331","5.08761329305136","6.59818731117825"
"314","5.11783439490446","6.74203821656051"
"353","4.94617563739377","6.72804532577904"
"380","4.91052631578947","6.93947368421053"
"475","5.02947368421053","6.64210526315789"
"594","5.00505050505051","6.66835016835017"
"658","5.08054711246201","6.58206686930091"
"741","5.10121457489879","6.59244264507422"
"791","5.03286978508217","6.61946902654867"
"819","5.03296703296703","6.67765567765568"
"870","5.03333333333333","6.70919540229885"
"883","5.04530011325028","6.73159682899207"
"866","5.07505773672055","6.66050808314088"
"866","5.07505773672055","6.7378752886836"
"884","5.09841628959276","6.78506787330317"
"825","5.06787878787879","6.70060606060606"
"762","5.04330708661417","6.77296587926509"
"697","5.07747489239598","6.60688665710186"
"601","5.0981697171381","6.56905158069884"
"573","4.90052356020942","6.51832460732984"
"585","4.94188034188034","6.39145299145299"
"609","5.04105090311987","6.44006568144499"
"739","5.09336941813261","6.42354533152909"
"819","5.01831501831502","6.44932844932845"
"909","5.01650165016502","6.45984598459846"
"977","5.0532241555783","6.42374616171955"
"946","4.99788583509514","6.47780126849894"
"831","5.11070998796631","6.49458483754513"
"701","5.12410841654779","6.44222539229672"
"589","5.08828522920204","6.4125636672326"
"561","5.11942959001783","6.41532976827094"
"635","5.11023622047244","6.2740157480315"
"751","5.1624500665779","6.10785619174434"
"764","5.15575916230366","6.08900523560209"
"727","5.20907840440165","6.04814305364512"
"723","5.16044260027663","6.14522821576764"
"693","5.19480519480519","6.03174603174603"
"617","5.10372771474878","5.82171799027553"
"705","5.05106382978723","5.63120567375887"
"811","5.154130702836","5.52651048088779"
"815","5.12024539877301","5.57055214723926"
"732","5.0655737704918","5.57513661202186"
"629","5.09856915739269","5.50715421303657"
"536","5.05597014925373","5.63059701492537"
"611","5.16366612111293","5.46972176759411"
"605","5.20330578512397","5.52396694214876"
"556","5.15647482014388","5.53956834532374"
"528","5.12121212121212","5.53977272727273"
"486","5.01440329218107","5.559670781893"
"407","5.0982800982801","5.60933660933661"
"312","5.08012820512821","5.6025641025641"
"344","5.27616279069767","5.76162790697674"
"437","5.18306636155606","5.63615560640732"
"339","5.11799410029499","5.46607669616519"
"428","5.18457943925234","5.66355140186916"
"592","5.17060810810811","5.27027027027027"
"489","5.16973415132924","5.74846625766871"
"425","5.06117647058824","5.92705882352941"
"389","5.08997429305913","6.26221079691517"
"379","4.99472295514512","6.36675461741425"
"512","5.005859375","6.11328125"
"517","5.08704061895551","6.14700193423598"
"424","5.11320754716981","5.82783018867925"
"361","5.10526315789474","6.01108033240997"
"452","4.98893805309735","6.11283185840708"
"694","5.06484149855908","6.36743515850144"
"837","5.00119474313023","6.27240143369176"
"662","5.0392749244713","6.30815709969789"
"422","5.13744075829384","6.09478672985782"
"366","4.96174863387978","6.17486338797814"
"407","4.93120393120393","6.01719901719902"
"595","5.03193277310924","6.48739495798319"
"669","5.08221225710015","6.6322869955157"
"669","5.08669656203289","6.65022421524664"
"610","5.0344262295082","6.51311475409836"
"649","5.03697996918336","6.54083204930663"
"710","5.07605633802817","6.61549295774648"
"824","5.0254854368932","6.66747572815534"
"838","5.0763723150358","6.71718377088305"
"914","5.09846827133479","6.93763676148796"
"824","5.11529126213592","6.93567961165049"
"846","5.10047281323877","6.80378250591017"
"707","5.07072135785007","6.71287128712871"
"655","5.07022900763359","6.61526717557252"
"547","5.13162705667276","6.44058500914077"
"415","5.30843373493976","6.52289156626506"
"551","5.1070780399274","6.36660617059891"
"827","5.09915356711004","6.30350665054414"
"1058","5.12948960302457","6.22873345935728"
"1175","5.12936170212766","6.34468085106383"
