"V1","V2","V3"
"framesum","col","row"
"1096","5.29379562043796","4.63959854014599"
"371","5.25876010781671","5.66307277628032"
"374","5.37967914438503","5.98395721925134"
"384","5.15364583333333","6.109375"
"365","5.44109589041096","6.15068493150685"
"398","5.39195979899498","5.83417085427136"
"359","5.55710306406685","5.93314763231198"
"386","5.5259067357513","5.83160621761658"
"355","5.1943661971831","5.65070422535211"
"307","5.23452768729642","5.82736156351792"
"320","5.346875","5.928125"
"331","5.24773413897281","5.8761329305136"
"378","5.35978835978836","5.86243386243386"
"347","5.20172910662824","5.7492795389049"
"285","5.25964912280702","5.49122807017544"
"272","5.29044117647059","5.67647058823529"
"278","5.19784172661871","5.80935251798561"
"291","5.30927835051546","6.11340206185567"
"300","5.32","5.48333333333333"
"280","5.19285714285714","5.75357142857143"
"286","5.12937062937063","6.17132867132867"
"285","5.34035087719298","5.70877192982456"
"313","5.29712460063898","5.86581469648562"
"352","5.26136363636364","6.07386363636364"
"328","5.16463414634146","5.79268292682927"
"373","5.12600536193029","6.01340482573727"
"370","5.38648648648649","5.85135135135135"
"355","5.31267605633803","5.93239436619718"
"331","5.24471299093656","5.53172205438066"
"333","5.18618618618619","5.81381381381381"
"334","5.31137724550898","5.60179640718563"
"364","5.36813186813187","5.86813186813187"
"341","5.21114369501466","6.24046920821114"
"398","5.31909547738693","5.88442211055276"
"466","5.33261802575107","5.65236051502146"
"448","5.57142857142857","5.73214285714286"
"399","5.37844611528822","5.70927318295739"
"354","5.13841807909604","5.86723163841808"
"345","5.17101449275362","5.92753623188406"
"325","5.24307692307692","5.73538461538462"
"311","5.35369774919614","5.7459807073955"
"287","5.18815331010453","6.01393728222997"
"293","5.24232081911263","5.86689419795222"
"321","5.24299065420561","5.96573208722741"
"315","5.1047619047619","5.87301587301587"
"326","5.12576687116564","5.84049079754601"
"315","5.40634920634921","6.01269841269841"
"301","5.48837209302326","5.8936877076412"
"366","5.32513661202186","6.03825136612022"
"379","5.51715039577836","5.8311345646438"
"426","5.47887323943662","5.81220657276995"
"390","5.37179487179487","5.73846153846154"
"399","5.40601503759398","5.90977443609023"
"414","5.36231884057971","5.84057971014493"
"418","5.45933014354067","5.60526315789474"
"411","5.44282238442822","5.85888077858881"
"388","5.28092783505155","5.64175257731959"
"371","5.16981132075472","5.78167115902965"
"350","5.21142857142857","5.85714285714286"
"398","5.33165829145729","6.03015075376884"
"438","5.30593607305936","5.96575342465753"
"405","5.17530864197531","5.91358024691358"
"384","5.18489583333333","6.0703125"
"385","5.31948051948052","6.03896103896104"
"401","5.40897755610973","5.98503740648379"
"450","5.24","6.09555555555556"
"459","5.27015250544662","6.11764705882353"
"487","5.25872689938398","6.27720739219713"
"509","5.21611001964637","6.10019646365422"
"420","5.44047619047619","5.88571428571429"
"369","5.29268292682927","5.76693766937669"
"420","5.26190476190476","5.80952380952381"
"460","5.38260869565217","5.61739130434783"
"491","5.29735234215886","5.9837067209776"
"507","5.49704142011834","5.77514792899408"
"575","5.33739130434783","5.79304347826087"
"582","5.34879725085911","5.73711340206186"
"514","5.21789883268483","5.89688715953307"
"503","5.21073558648111","5.71968190854871"
"405","5.25432098765432","5.80493827160494"
"446","5.17713004484305","5.73991031390134"
"421","5.1520190023753","5.98574821852732"
"380","5.26315789473684","5.68421052631579"
"329","5.24316109422492","5.74468085106383"
"377","5.22015915119363","5.78779840848806"
"393","5.33587786259542","5.83715012722646"
"372","5.32258064516129","5.95698924731183"
"396","5.41161616161616","5.84343434343434"
"433","5.32332563510393","6.04849884526559"
"435","5.31034482758621","5.9632183908046"
"492","5.16463414634146","6.08333333333333"
"507","5.32741617357002","6.16765285996055"
"508","5.29527559055118","6"
"429","5.34498834498835","6.10489510489511"
"394","5.28426395939086","5.78426395939086"
"380","5.37105263157895","5.94736842105263"
"373","5.4343163538874","5.7372654155496"
"377","5.54641909814324","5.657824933687"
"351","5.53276353276353","5.29059829059829"
"364","5.30769230769231","5.38736263736264"
"399","5.41102756892231","5.39348370927318"
"328","5.42378048780488","5.58841463414634"
"332","5.40361445783132","5.30120481927711"
"337","5.28783382789318","5.43026706231454"
"325","5.35692307692308","5.24"
