"V1","V2","V3"
"framesum","col","row"
"91","6.05494505494505","5.26373626373626"
"97","5.5360824742268","5.07216494845361"
"85","5.57647058823529","5.55294117647059"
"116","5.53448275862069","5.43965517241379"
"114","5.71052631578947","5.74561403508772"
"133","5.31578947368421","5.3984962406015"
"154","5.61688311688312","6.14285714285714"
"162","5.42592592592593","5.76543209876543"
"205","5.45365853658537","5.99024390243902"
"188","5.70212765957447","6.20212765957447"
"176","5.71590909090909","6.14204545454545"
"230","5.24782608695652","6.55652173913044"
"231","5.1991341991342","6.3030303030303"
"244","5.18852459016393","6.75409836065574"
"290","5.41379310344828","6.72068965517241"
"309","5.10679611650485","6.98381877022654"
"365","5.11506849315068","6.76712328767123"
"399","5.05513784461153","7.05513784461153"
"457","4.89059080962801","7.01750547045952"
"466","4.61587982832618","7.05793991416309"
"544","4.73161764705882","7.23897058823529"
"653","4.77335375191424","6.99081163859112"
"655","4.8381679389313","6.94656488549618"
"785","4.96050955414013","6.81528662420382"
"936","4.94230769230769","7.18696581196581"
"1129","4.71036315323295","7.09743135518158"
"1378","4.50580551523948","7.03193033381713"
"1742","4.33065442020666","6.83352468427095"
"2130","4.4150234741784","6.92159624413146"
"2315","4.38747300215983","6.78574514038877"
"2244","4.34491978609626","6.71256684491979"
"2335","4.38886509635974","6.67837259100642"
"2141","4.46286781877627","6.65716954694068"
"1679","4.47468731387731","6.65812983918999"
"1442","4.5499306518724","6.70319001386963"
"1007","4.56802383316783","6.65640516385303"
"694","4.51585014409222","6.3328530259366"
"445","4.81797752808989","6.13033707865169"
"265","5.28679245283019","5.52075471698113"
"185","5.23783783783784","5.64324324324324"
"130","5.70769230769231","5.14615384615385"
"134","5.82089552238806","5.26865671641791"
"103","6.02912621359223","4.78640776699029"
"109","5.81651376146789","5.07339449541284"
"102","5.36274509803922","4.67647058823529"
"97","6.25773195876289","5.18556701030928"
"102","6.24509803921569","4.91176470588235"
"102","5.66666666666667","4.68627450980392"
"107","6.13084112149533","5.58878504672897"
"107","6.4392523364486","5.00934579439252"
"131","6.25190839694656","5.3206106870229"
"143","5.88811188811189","5.67132867132867"
"172","5.51162790697674","5.88953488372093"
"215","5.28837209302326","5.62325581395349"
"232","5.39224137931035","5.625"
"245","5.12244897959184","5.36734693877551"
"308","5","5.73376623376623"
"379","4.89445910290237","6.10290237467018"
"363","4.89531680440771","6.4931129476584"
"494","4.58502024291498","6.40688259109312"
"559","4.63148479427549","6.83184257602862"
"677","4.54948301329394","6.84342688330872"
"840","4.525","6.70714285714286"
"878","4.45216400911162","6.81662870159453"
"924","4.3961038961039","6.71536796536797"
"1069","4.54911131898971","6.78765201122544"
"1152","4.51649305555556","6.60069444444444"
"1274","4.43485086342229","6.64442700156986"
"1395","4.38136200716846","6.43082437275986"
"1525","4.2944262295082","6.32393442622951"
"1787","4.24678231673195","6.43536653609401"
"1751","4.29354654483152","6.31639063392347"
"1907","4.28945988463555","6.31830099632931"
"1775","4.3830985915493","6.13577464788732"
"1581","4.35800126502214","6.06325110689437"
"1525","4.29508196721311","6.20852459016393"
"1383","4.33694866232827","6.21475054229935"
"1159","4.38740293356342","6.06212251941329"
"823","4.49210206561361","5.99392466585662"
"535","4.55700934579439","6.05981308411215"
"388","4.93298969072165","5.78865979381443"
"283","4.86925795053004","6.06713780918728"
"125","5.824","5.536"
"135","6.01481481481482","5.1037037037037"
"126","5.75396825396825","4.99206349206349"
"114","6.07017543859649","5.05263157894737"
"110","5.81818181818182","5.3"
"102","5.84313725490196","5.22549019607843"
"123","5.86991869918699","5.16260162601626"
"114","5.99122807017544","5.43859649122807"
"100","5.91","5.08"
"116","5.87068965517241","5.29310344827586"
"128","5.75","5.265625"
"173","5.74566473988439","5.43352601156069"
"203","5.48768472906404","5.83743842364532"
"228","4.91666666666667","6.14912280701754"
"236","4.97033898305085","5.79661016949153"
"249","4.9718875502008","5.93172690763052"
"337","4.63501483679525","6.08902077151335"
"431","4.70069605568446","6.62412993039443"
"515","4.69126213592233","6.42912621359223"
"566","4.53533568904594","6.51060070671378"
"585","4.58632478632479","6.49401709401709"
"743","4.52759084791386","6.44010767160162"
"798","4.42606516290727","6.56390977443609"
"1112","4.35251798561151","6.35521582733813"
"1247","4.4009623095429","6.35364875701684"
"1541","4.28877352368592","6.28423101881895"
"1976","4.23178137651822","6.167004048583"
"2527","4.1618519984171","6.08626830233478"
"2705","4.14861367837338","5.99704251386322"
"2799","4.12040014290818","5.90675241157556"
"2884","4.14355062413315","5.96532593619972"
"2974","4.20511096166779","6.07061197041022"
"3162","4.19386464263125","6.05313092979127"
"3069","4.15672857608341","6.0276963180189"
"2875","4.1495652173913","6.10295652173913"
"2234","4.17681289167413","6.08012533572068"
"1526","4.26146788990826","6.17038007863696"
"905","4.42099447513812","6.1646408839779"
"510","4.43725490196078","5.87647058823529"
"217","4.59447004608295","6.01382488479263"
"199","5.31658291457286","6.73366834170854"
"164","5.41463414634146","5.99390243902439"
"137","5.94160583941606","5.86131386861314"
"108","6.09259259259259","5.22222222222222"
"112","5.49107142857143","5.13392857142857"
"108","6.37037037037037","5.18518518518519"
"97","5.70103092783505","5.88659793814433"
"103","5.60194174757282","5.7378640776699"
"97","5.7319587628866","4.83505154639175"
"87","5.44827586206897","5.45977011494253"
"92","5.79347826086957","5.25"
"140","5.61428571428571","4.88571428571429"
"90","5.96666666666667","5.4"
"114","6.17543859649123","5.13157894736842"
"115","5.41739130434783","5.4"
"127","5.43307086614173","5.85826771653543"
"171","5.23976608187134","5.63157894736842"
"243","5.08230452674897","6.11522633744856"
"305","5.1672131147541","6.55081967213115"
"357","4.98319327731092","6.35854341736695"
"402","4.67412935323383","6.27611940298507"
"526","4.80228136882129","6.5893536121673"
"524","4.82251908396947","6.90267175572519"
"787","4.78907242693774","6.8576874205845"
"882","4.69387755102041","6.90362811791383"
"968","4.60123966942149","6.88223140495868"
"1036","4.5984555984556","7.0492277992278"
