"V1","V2","V3"
"framesum","col","row"
"782","4.84910485933504","4.73529411764706"
"217","5.21198156682028","6.42396313364055"
"210","5.15714285714286","6.38095238095238"
"185","5.33513513513514","6.53513513513514"
"207","5.05314009661836","6.28502415458937"
"229","5.13973799126638","6.27510917030568"
"195","5.36410256410256","6.43589743589744"
"197","5.58375634517767","6.2741116751269"
"210","5.33809523809524","6.05238095238095"
"204","5.84803921568627","6.89705882352941"
"206","5.55339805825243","6.45631067961165"
"186","5.40860215053763","6.41397849462366"
"189","5.29100529100529","6.61375661375661"
"186","5.48924731182796","6.49462365591398"
"182","5.60989010989011","6.07692307692308"
"176","5.41477272727273","6.28977272727273"
"152","5.45394736842105","6.03289473684211"
"179","4.84357541899441","6.07262569832402"
"158","5.20253164556962","6.33544303797468"
"160","5.5875","6.05625"
"163","5.44171779141104","6.42331288343558"
"155","5.56774193548387","6.36774193548387"
"209","5.08612440191388","6.80861244019139"
"212","5.26415094339623","6.2688679245283"
"177","5.19774011299435","6.23728813559322"
"199","5.39698492462312","6.2964824120603"
"197","5.41624365482233","6.41116751269035"
"230","5.07391304347826","6.29565217391304"
"212","5.4811320754717","5.88207547169811"
"213","4.71830985915493","6.08450704225352"
"311","4.72347266881029","6.40192926045016"
"319","4.84952978056426","6.30094043887147"
"318","4.68867924528302","6.05345911949686"
"294","4.78571428571429","6.06122448979592"
"297","4.8013468013468","5.98653198653199"
"270","4.71481481481482","5.92962962962963"
"259","4.74131274131274","6.33590733590734"
"190","4.6","5.68947368421053"
"201","4.97512437810945","5.75621890547264"
"257","5.06614785992218","5.52140077821012"
"204","4.99509803921569","6.06372549019608"
"222","4.82432432432432","5.69369369369369"
"355","4.69859154929577","6.12112676056338"
"355","4.66760563380282","6.30422535211268"
"348","4.86206896551724","6.25287356321839"
"392","4.69642857142857","6.55357142857143"
"559","4.38282647584973","6.72450805008945"
"470","4.24893617021277","6.98297872340426"
"527","4.3965844402277","7.13472485768501"
"571","4.3415061295972","7.52889667250438"
"641","4.23712948517941","7.86271450858034"
"617","4.12317666126418","7.67260940032415"
"517","4.50870406189555","7.44487427466151"
"405","4.61728395061728","7.5283950617284"
"361","4.79501385041551","7.63711911357341"
"431","4.63573085846868","7.40603248259861"
"519","4.53564547206166","7.84200385356455"
"552","4.58333333333333","7.79710144927536"
"516","4.56782945736434","7.96705426356589"
"490","4.6530612244898","7.6265306122449"
"392","4.73724489795918","7.91836734693878"
"473","4.76955602536998","7.85200845665962"
"502","4.70517928286853","7.8207171314741"
"483","4.57142857142857","7.61697722567288"
"526","4.54942965779468","7.7148288973384"
"416","4.66105769230769","7.73557692307692"
"446","4.66143497757847","7.66367713004484"
"352","4.83522727272727","7.52272727272727"
"465","4.65161290322581","7.54623655913978"
"480","4.65833333333333","7.2"
"453","4.54304635761589","7.33112582781457"
"409","4.56479217603912","7.28361858190709"
"460","4.38478260869565","7.22173913043478"
"415","4.45542168674699","7.09397590361446"
"342","4.65789473684211","6.8625730994152"
"373","4.45576407506702","6.94369973190348"
"438","4.50913242009132","6.50913242009132"
"405","4.26913580246914","6.55555555555556"
"340","4.29411764705882","6.51764705882353"
"369","4.3360433604336","6.64227642276423"
"353","4.54674220963173","6.22662889518414"
"307","4.78501628664495","6.33876221498371"
"366","4.93169398907104","5.9344262295082"
"372","4.6989247311828","5.9758064516129"
"415","4.63373493975904","5.77349397590361"
"473","4.70824524312896","5.89217758985201"
"392","4.78826530612245","5.91581632653061"
"351","4.63532763532764","5.68091168091168"
"352","4.82386363636364","5.5625"
"354","4.96327683615819","5.62994350282486"
"377","4.81432360742706","5.59151193633952"
"374","4.52941176470588","5.60160427807487"
"393","4.36386768447837","5.37913486005089"
"400","4.3125","5.48"
"450","4.38888888888889","5.17555555555556"
"455","4.40659340659341","5.11208791208791"
"461","4.39262472885033","5.24945770065076"
"453","4.33112582781457","5.34878587196468"
"398","4.42211055276382","5.71105527638191"
"263","4.51330798479087","5.47148288973384"
"256","4.6484375","5.9296875"
"237","4.50632911392405","5.63291139240506"
"278","4.42086330935252","5.53956834532374"
"252","4.33333333333333","5.34920634920635"
"252","4.57142857142857","5.75396825396825"
"375","4.472","6.00266666666667"
"352","4.36079545454545","6.08238636363636"
"408","4.47794117647059","6.15196078431373"
"431","4.48027842227378","6.2877030162413"
"427","4.27400468384075","6.62295081967213"
"550","4.41272727272727","6.62545454545455"
"472","4.32838983050847","6.72457627118644"
"548","4.06204379562044","7.43613138686131"
"569","4.22671353251318","7.60456942003515"
"631","4.22820919175911","7.64817749603804"
"647","4.21792890262751","7.95517774343122"
"541","4.33086876155268","7.88354898336414"
"495","4.41414141414141","7.67474747474748"
"497","4.40845070422535","7.73239436619718"
"488","4.5","7.73565573770492"
"431","4.36658932714617","8.00232018561485"
"455","4.31868131868132","7.7032967032967"
"447","4.28635346756152","7.83892617449664"
"409","4.30562347188264","7.96332518337408"
"466","4.24892703862661","7.98068669527897"
"480","4.25625","7.69166666666667"
"523","4.22562141491396","8.01529636711281"
"511","4.34442270058708","7.92563600782779"
"430","4.4046511627907","8.03488372093023"
"432","4.23148148148148","7.95138888888889"
"439","4.56492027334852","7.77904328018223"
"385","4.67012987012987","7.55844155844156"
"447","4.65548098434004","7.27964205816555"
"447","4.79194630872483","7.13646532438479"
"347","4.62536023054755","6.88760806916426"
"341","4.86217008797654","6.83577712609971"
"400","4.6375","6.6875"
"386","4.69948186528497","7.03886010362694"
"380","4.83947368421053","6.81842105263158"
"357","4.66666666666667","6.7563025210084"
"355","4.70704225352113","7.2169014084507"
"354","4.57627118644068","7.00847457627119"
"407","4.3980343980344","6.65847665847666"
"361","4.59279778393352","6.77562326869806"
"351","4.61823361823362","6.43874643874644"
"389","4.53470437017995","6.30591259640103"
"396","4.72222222222222","6.24242424242424"
"407","4.55773955773956","6.34152334152334"
"426","4.61032863849765","6.3849765258216"
"412","4.69902912621359","6.18203883495146"
"387","5.03617571059432","6.41860465116279"
"437","4.89702517162471","6.23798627002288"
"390","4.88461538461539","5.98461538461538"
"384","4.84375","6.05729166666667"
"383","4.81723237597911","6.26109660574413"
"355","4.65070422535211","6.11267605633803"
"341","4.73020527859238","6.00293255131965"
"273","4.57509157509157","5.78754578754579"
"300","4.68","5.76"
"344","4.80523255813953","5.6453488372093"
"368","5.01902173913043","5.23097826086957"
"359","4.82729805013928","5.05292479108635"
"409","4.57946210268949","5.09290953545232"
"412","4.63106796116505","4.97815533980583"
"504","4.71230158730159","4.91865079365079"
"523","4.65965583173996","4.61185468451243"
"543","4.49355432780847","5.00184162062615"
"482","4.65145228215768","5.02904564315353"
"382","4.45026178010471","5.40052356020942"
"224","4.58928571428571","5.71875"
"313","4.52715654952077","5.29712460063898"
"254","4.45275590551181","5.77165354330709"
"249","4.71084337349398","5.85542168674699"
"242","4.62809917355372","5.88429752066116"
"251","4.60159362549801","5.72509960159363"
"226","4.91592920353982","6.21681415929203"
"283","4.61484098939929","6.39222614840989"
"360","4.70555555555556","6.30277777777778"
"397","4.72544080604534","6.42317380352645"
"414","4.54106280193237","6.65942028985507"
"459","4.54248366013072","6.69498910675381"
"462","4.63419913419913","7.09090909090909"
"587","4.35093696763203","7"
"425","4.57176470588235","7.01411764705882"
"560","4.48571428571429","7.55178571428571"
"554","4.485559566787","7.53790613718412"
"437","4.76201372997712","7.69565217391304"
"407","4.66093366093366","7.71498771498772"
"353","4.44759206798867","7.76487252124646"
"462","4.46969696969697","7.65584415584416"
"432","4.51388888888889","7.84027777777778"
"466","4.35407725321888","7.94635193133047"
"436","4.51376146788991","7.78440366972477"
"405","4.41481481481481","8.14074074074074"
"409","4.63569682151589","7.89486552567237"
"488","4.34426229508197","8.11065573770492"
"482","4.25311203319502","7.9253112033195"
"468","4.17094017094017","7.94230769230769"
"402","4.29353233830846","7.64925373134328"
"404","4.70544554455446","7.37376237623762"
"334","4.50299401197605","7.41616766467066"
"353","5.01133144475921","6.85835694050991"
"353","4.92634560906516","6.92634560906516"
"410","4.60731707317073","7.14634146341463"
"406","4.75862068965517","7.04679802955665"
"501","4.40319361277445","7.42315369261477"
"408","4.66911764705882","7.15686274509804"
"375","4.61066666666667","7.14133333333333"
"371","4.58490566037736","7.02695417789757"
"417","4.52757793764988","6.98561151079137"
"479","4.44885177453027","6.74321503131524"
"460","4.52173913043478","6.88695652173913"
"424","4.55424528301887","6.86084905660377"
"414","4.5048309178744","6.68357487922705"
"454","4.47577092511013","6.66519823788546"
"485","4.55257731958763","6.51752577319588"
"505","4.56237623762376","6.38019801980198"
"484","4.38842975206612","6.45661157024793"
"435","4.57471264367816","6.36091954022988"
"473","4.74418604651163","6.23467230443975"
"480","4.84583333333333","6.13125"
"466","4.77682403433476","6.12660944206009"
"436","4.85091743119266","6.15596330275229"
"445","4.8314606741573","6.20674157303371"
"411","4.76155717761557","6.28467153284672"
"436","4.71559633027523","5.8394495412844"
"374","4.70053475935829","5.87700534759358"
"385","4.97142857142857","5.67532467532468"
"350","4.96571428571429","5.94571428571429"
"399","5","6.04511278195489"
"429","4.76456876456876","5.22843822843823"
"444","4.69594594594595","5.09459459459459"
"473","4.64693446088795","5.06131078224101"
"428","4.48598130841121","5.23130841121495"
"426","4.44366197183099","5.25586854460094"
"425","4.61176470588235","5.79294117647059"
"361","4.58725761772853","5.93905817174515"
"330","4.74545454545455","5.39090909090909"
"265","4.48679245283019","5.91320754716981"
"320","4.46875","5.83125"
"277","4.50902527075812","5.71480144404332"
"290","4.80344827586207","5.50689655172414"
"247","4.76113360323887","5.81781376518219"
"231","4.71861471861472","5.79220779220779"
"236","4.82203389830508","5.39406779661017"
"293","5.02047781569966","6.10238907849829"
"405","4.45432098765432","6.3679012345679"
"401","4.63341645885287","6.40897755610973"
"411","4.69343065693431","6.48418491484185"
"403","4.49627791563275","6.35483870967742"
"359","4.75487465181059","6.6100278551532"
"452","4.65265486725664","6.7146017699115"
"348","4.45402298850575","6.83620689655172"
"532","4.41541353383459","7.20300751879699"
"677","4.41802067946824","7.38552437223043"
"660","4.48030303030303","7.63333333333333"
"638","4.50313479623824","7.70689655172414"
"677","4.34121122599705","7.68685376661743"
"424","4.59905660377358","7.53066037735849"
"439","4.69703872437358","7.43280182232346"
"456","4.48684210526316","7.24561403508772"
"435","4.52873563218391","7.85977011494253"
"423","4.13002364066194","7.98345153664303"
"433","4.27482678983834","7.98845265588915"
"446","4.50896860986547","7.83183856502242"
"416","4.46394230769231","8.11538461538461"
"514","4.34241245136187","8.26070038910506"
"477","4.38155136268344","8.0167714884696"
"479","4.36534446764092","7.83716075156576"
"399","4.33834586466165","7.60401002506266"
"391","4.40153452685422","7.68286445012788"
"397","4.727959697733","7.4735516372796"
"371","4.50134770889488","7.27493261455526"
"346","4.54046242774566","7.61271676300578"
"313","4.49840255591054","6.86261980830671"
"314","4.71974522292994","6.94585987261147"
"388","4.54123711340206","6.95360824742268"
"434","4.63364055299539","7.12672811059908"
"479","4.57828810020877","7.14613778705637"
"387","4.54005167958656","6.96899224806202"
"345","4.63478260869565","7.01449275362319"
"379","4.48812664907652","6.99472295514512"
"387","4.53488372093023","7.09819121447028"
"339","4.88200589970501","7.1858407079646"
"332","4.8644578313253","7.11746987951807"
"323","4.99071207430341","6.48606811145511"
"350","4.67428571428571","6.5"
"314","4.55095541401274","6.71974522292994"
"319","4.52351097178683","6.8871473354232"
"349","4.60744985673352","6.58452722063037"
"373","4.7372654155496","6.71581769436997"
"451","4.509977827051","6.36363636363636"
"505","4.58019801980198","6.08712871287129"
"494","4.58906882591093","6.12348178137652"
"433","4.73903002309469","6.14780600461894"
"381","4.90551181102362","6.13910761154856"
"387","4.70025839793282","5.97932816537468"
"351","4.67236467236467","5.9002849002849"
"401","4.9426433915212","5.8428927680798"
"382","4.85602094240838","5.96073298429319"
"350","4.78571428571429","6.12285714285714"
"344","5.03488372093023","6.08720930232558"
"430","4.82325581395349","5.68837209302326"
"490","4.87959183673469","5.46734693877551"
"468","4.73076923076923","5.41025641025641"
"469","4.71002132196162","5.67377398720682"
"437","4.60183066361556","5.70022883295194"
"370","4.51081081081081","5.92702702702703"
"341","4.6891495601173","6.11730205278592"
"333","4.91591591591592","5.3993993993994"
"274","4.60948905109489","5.36131386861314"
"282","4.47517730496454","5.64893617021277"
"304","4.45065789473684","5.83881578947368"
"255","4.4078431372549","5.54509803921569"
"302","5.15894039735099","5.78145695364238"
"241","5.05394190871369","5.65560165975104"
"297","4.69360269360269","6.01010101010101"
"331","4.65558912386707","6.04833836858006"
"400","4.8375","5.9775"
"388","4.56958762886598","6.22422680412371"
"403","4.53846153846154","6.27791563275434"
"454","4.37665198237885","6.16960352422907"
"366","4.76775956284153","6.34153005464481"
"503","4.52683896620278","6.8727634194831"
"442","4.59502262443439","7.05882352941176"
