"V1","V2","V3"
"framesum","col","row"
"12306","4.70924752153421","4.2994474240208"
"3537","4.67656205824145","6.61549335595137"
"3068","4.82496740547588","6.53715775749674"
"2542","4.8808025177026","6.37922895357986"
"1586","4.9936948297604","6.05107187894073"
"884","5.04411764705882","5.60067873303167"
"549","4.94353369763206","5.70309653916211"
"522","5.12835249042146","5.62260536398467"
"345","5.29275362318841","5.62898550724638"
"152","4.77631578947368","5.15789473684211"
"160","4.925","5.2375"
"178","5.07865168539326","5.7752808988764"
"232","4.7801724137931","5.97844827586207"
"312","4.8525641025641","5.99358974358974"
"449","4.80623608017817","5.90645879732739"
"794","4.7455919395466","5.76448362720403"
"1070","4.90654205607477","5.32616822429907"
"1369","4.90796201607012","5.43462381300219"
"1766","5.05832389580974","5.14156285390713"
"1921","5.13482561166059","5.38573659552316"
"2377","5.24106015986538","5.45898190997055"
"3072","5.23567708333333","5.24837239583333"
"3863","5.35671757701268","5.13486927258607"
"4324","5.32654949121184","5.09921369102683"
"4743","5.30402698713894","5.09993674889311"
"4926","5.27019894437678","5.10759236703207"
"5187","5.16483516483517","5.12261422787739"
"5389","5.09575060308035","5.1354611245129"
"5861","5.07797304214298","5.15423989080362"
"6147","5.0165934602245","5.22352367008297"
"6225","4.99534136546185","5.21269076305221"
"5712","4.94905462184874","5.2375700280112"
"5268","4.92236142748671","5.28132118451025"
"4528","4.83060954063604","5.3535777385159"
"3516","4.67320819112628","5.51990898748578"
"2824","4.61968838526912","5.6685552407932"
"2052","4.49463937621832","5.82358674463938"
"1409","4.25337118523776","6.07097232079489"
"1009","4.20416253716551","6.30029732408325"
"793","4.31525851197982","6.32912988650694"
"683","4.17862371888726","6.45241581259151"
"524","4.41412213740458","6.57824427480916"
"504","4.39087301587302","6.24603174603175"
"601","4.4126455906822","6.09317803660566"
"652","4.49539877300614","5.93558282208589"
"937","4.63287086446105","5.84845250800427"
"1109","4.58431018935978","5.69972948602344"
"1409","4.84599006387509","5.44215755855216"
"1814","5","5.2271223814774"
"2039","5.03433055419323","5.23393820500245"
"2396","5.09056761268781","5.15943238731219"
"2696","5.17284866468843","5.0723293768546"
"2825","5.20424778761062","5.05911504424779"
"3199","5.27789934354486","5.00062519537355"
"3474","5.26165803108808","5.05008635578584"
"3858","5.32166925868326","4.96474857439088"
"4165","5.29963985594238","4.89363745498199"
"4410","5.26394557823129","4.94739229024943"
"4704","5.25488945578231","4.9249574829932"
"5153","5.25771395303707","4.83562973025422"
"5583","5.26885187175354","4.81031703385277"
"5965","5.26957250628667","4.80989103101425"
"6211","5.28352922234745","4.72935115118338"
"6549","5.28660864254085","4.7370590929913"
"6678","5.2550164719976","4.68283917340521"
"5972","5.09979906229069","4.70110515740121"
"5298","4.95073612684032","4.72650056625142"
"5139","4.8984238178634","4.80755010702471"
"4961","4.81999596855473","4.78109252166902"
"4302","4.69177126917713","4.87680148768015"
"3091","4.4196053057263","5.1840828210935"
"2159","4.26725335803613","5.62019453450672"
"1447","4.00138217000691","5.86316516931583"
"999","3.81181181181181","6.01701701701702"
"632","4.04430379746835","6.12816455696202"
"362","4.35082872928177","5.93922651933702"
"243","4.93415637860082","5.28395061728395"
"166","4.71686746987952","5.01807228915663"
"159","4.52201257861635","5.05660377358491"
"174","4.48850574712644","5.0632183908046"
"172","5.06976744186047","4.86627906976744"
"153","4.86274509803922","5.05882352941176"
"267","4.8314606741573","5.51310861423221"
"408","4.77696078431373","5.12745098039216"
"340","4.95882352941176","5.53529411764706"
"468","5.02991452991453","5.54273504273504"
"459","4.85185185185185","5.13943355119826"
"650","4.63384615384615","4.92769230769231"
"850","4.57294117647059","4.91176470588235"
"1280","4.49296875","4.71875"
"1563","4.37492002559181","4.65898912348049"
"1846","4.41820151679307","4.75135427952329"
"1865","4.41447721179625","4.90670241286863"
"1762","4.41657207718502","4.93984108967083"
"1898","4.34878819810327","5.01685985247629"
"1922","4.25754422476587","4.8850156087409"
"1722","4.32171893147503","4.93728222996516"
"1571","4.22660725652451","4.92616168045831"
"1390","4.28489208633094","5.40287769784173"
"1441","4.20402498265094","5.14087439278279"
"1133","4.24007060900265","5.18093556928508"
"1348","4.1646884272997","5.01409495548961"
"1328","4.06099397590361","4.99774096385542"
"1250","4.1296","5.012"
"1059","4.20868744098206","5.02738432483475"
"738","4.37262872628726","5.09620596205962"
"472","4.59110169491525","5.38347457627119"
"542","4.32841328413284","4.809963099631"
"636","4.33333333333333","5.07389937106918"
"821","4.21071863580999","5.04750304506699"
"685","4.17956204379562","5.24379562043796"
"618","4.1294498381877","4.97411003236246"
"864","4.30092592592593","4.92013888888889"
"1010","4.18613861386139","5.00594059405941"
"1268","4.14984227129338","4.90536277602524"
"1386","4.15945165945166","5.08802308802309"
"1495","4.31438127090301","5.4066889632107"
"1825","4.15178082191781","5.40876712328767"
"2148","4.09078212290503","5.41945996275605"
"2333","4.00128589798543","5.39905700814402"
"2336","3.95719178082192","5.48544520547945"
"2576","3.89130434782609","5.36684782608696"
"2493","3.8752507019655","5.4709185720016"
"2870","3.7404181184669","5.44564459930314"
"2849","3.73534573534574","5.47349947349947"
"2949","3.70701932858596","5.47778908104442"
"2482","3.674053182917","5.34850926672039"
"2132","3.77157598499062","5.32317073170732"
"1785","3.81680672268908","5.4296918767507"
"1388","3.94812680115274","5.47406340057637"
"1040","4.00576923076923","5.69134615384615"
"559","4.35062611806798","5.83899821109123"
"574","4.2595818815331","5.48954703832753"
"435","4.45057471264368","5.42068965517241"
"378","4.51587301587302","4.98412698412698"
"537","4.25698324022346","5.24581005586592"
"541","4.11275415896488","5.22920517560074"
"641","4.16692667706708","5.40873634945398"
"718","4.1949860724234","5.42757660167131"
"914","4.15536105032823","5.37746170678337"
"1210","4.08595041322314","5.34876033057851"
"1497","3.98263193052772","5.37140948563794"
"2081","3.90965881787602","5.24219125420471"
"2563","3.80257510729614","5.26297307842372"
"2943","3.75705062861026","5.26163778457356"
"2934","3.67620995228357","5.34355828220859"
"2830","3.64028268551237","5.51413427561837"
"2962","3.57258609047941","5.44699527346388"
"2849","3.66093366093366","5.62899262899263"
"2649","3.70139675349188","5.74065685164213"
"2386","3.75020955574183","5.80301760268231"
"1942","3.79093717816684","5.85118434603502"
"1319","3.80742987111448","5.91508718726308"
"1032","3.70445736434109","6.03779069767442"
"703","4.07823613086771","5.950213371266"
"462","4.30735930735931","5.80735930735931"
"342","4.69005847953216","5.73391812865497"
"270","4.34444444444444","5.85185185185185"
"232","4.75","5.79741379310345"
"364","4.49725274725275","5.83791208791209"
"364","4.37912087912088","5.37362637362637"
"313","4.6517571884984","6.26837060702875"
"382","4.73298429319372","6.55497382198953"
"265","4.69811320754717","6.47547169811321"
"258","4.63565891472868","6.11240310077519"
"252","5.10714285714286","5.86904761904762"
"412","4.4247572815534","6.64077669902913"
"469","4.48827292110874","6.50319829424307"
"686","4.42857142857143","6.82798833819242"
"1016","4.4753937007874","6.99409448818898"
"1398","4.39413447782546","7.25536480686695"
"1687","4.29104919976289","7.19087136929461"
"2086","4.22339405560882","7.25407478427613"
"2290","4.24323144104804","7.23624454148472"
"2381","4.17723645527089","7.20285594288114"
"2179","3.90913262964663","7.36163377696191"
"2482","3.86099919419823","7.66438356164384"
"2932","3.80457025920873","7.76739427012278"
"2683","3.70778978755125","7.84420424897503"
"2348","3.73126064735945","7.83262350936968"
"2436","3.75574712643678","7.89696223316913"
"2503","3.72752696763883","7.84938074310827"
"2396","3.76335559265442","7.84682804674457"
"2141","3.82344698738907","7.9112564222326"
"1660","3.91204819277108","7.9210843373494"
"1171","4.10162254483348","7.98889837745517"
"1038","4.31599229287091","7.47206165703276"
"836","4.4700956937799","7.188995215311"
"645","4.6015503875969","6.77054263565891"
"551","4.33393829401089","6.97096188747731"
"403","4.50372208436725","6.69478908188586"
"339","4.58997050147493","6.88200589970501"
"366","4.68306010928962","6.89071038251366"
"347","4.85590778097983","6.36311239193084"
