max,min,mean,median,var,totalvar,auc,Xmax,Xmin,Xmean,Xmedian,Xvar,Xtotalvar,Xauc,Ymax,Ymin,Ymean,Ymedian,Yvar,Ytotalvar,Yauc,cover,state,subject,control,type
1534,1255,1415.75,1424.5,3974.058411,1999,152901,5.036737693,4.702991453,4.865972183,4.873223951,0.003433531,3.90385815,525.5249958,6.530551416,6.275787966,6.421266504,6.422920294,0.002243442,4.228669412,693.4967824,cover,dynamic,16,man,constant
1681,1449,1558.537037,1543.5,4218.550017,1972,168322,4.955003358,4.781113196,4.866494898,4.868819861,0.001370486,3.188447701,525.581449,6.531446541,6.264819588,6.424217708,6.427391908,0.002479621,4.514023264,693.8155124,cover,dynamic,16,man,constant
1786,1460,1626.490741,1637.5,4042.214867,2098,175661,4.943563729,4.74393683,4.857397397,4.855264208,0.001383792,3.903366389,524.5989188,6.513125,6.344688222,6.419394478,6.414834015,0.001327792,3.494840809,693.2946036,cover,dynamic,16,man,constant
1888,1591,1726.305556,1738,5513.784268,2619,186441,4.887507401,4.70981898,4.794615561,4.794049791,0.001582476,3.405283099,517.8184806,6.539877301,6.267789245,6.395097081,6.397610132,0.002638694,4.50926453,690.6704847,cover,dynamic,16,man,constant
434,243,346.8703704,348.5,2905.384908,1738,37462,5.792387543,5.115196078,5.37898075,5.363907734,0.024754814,11.62065408,580.929921,6.649635036,5.817518248,6.275129393,6.277128445,0.030886375,13.88003805,677.7139745,cover,dynamic,16,man,notouch
414,265,344.8981481,346,1200.87738,1686,37249,5.726937269,4.997416021,5.360494036,5.369859278,0.026859682,12.55659358,578.9333559,6.770992366,5.774919614,6.256627828,6.262286771,0.034374429,16.55780654,675.7158055,cover,dynamic,16,man,notouch
395,273,332.1388889,334,860.9431464,1675,35871,5.65993266,5.018766756,5.374457449,5.3632977,0.019783995,13.42802853,580.4414045,6.706081081,5.823151125,6.302574388,6.292542333,0.030181705,16.82879843,680.6780339,cover,dynamic,16,man,notouch
389,285,331.3425926,329.5,696.2086362,1762,35785,5.758842444,5,5.345867121,5.339178283,0.021944899,13.73008725,577.3536491,6.658892128,5.782334385,6.283013026,6.298208469,0.021025799,15.64675636,678.5654069,cover,dynamic,16,man,notouch
440,226,290.6666667,283,1199.233645,2339,31392,5.718120805,4.989473684,5.364448235,5.368910338,0.015594627,13.53195664,579.3604093,6.257142857,5.038636364,5.755517074,5.760121245,0.039528972,15.18271612,621.595844,cover,dynamic,16,man,pat
488,221,277.9444444,265,2361.267913,2670,30018,5.737313433,4.797826087,5.297760556,5.296625306,0.029094884,15.79840917,572.1581401,7.149590164,5.592198582,6.021761497,5.972788491,0.06744322,19.25263171,650.3502417,cover,dynamic,16,man,pat
498,239,323.0740741,300.5,3584.929041,3338,34892,5.555956679,4.757142857,5.189467821,5.185930787,0.032742389,14.34575426,560.4625246,6.877030162,5.511111111,6.163861784,6.168566007,0.057005982,17.21999143,665.6970726,cover,dynamic,16,man,pat
479,184,287.6388889,270.5,2921.840343,3368,31065,5.616858238,4.725433526,5.200602716,5.210569978,0.036112438,16.22228762,561.6650934,6.579335793,4.03892944,5.700277544,5.788527112,0.253002789,26.58261847,615.6299748,cover,dynamic,16,man,pat
1121,190,637.8981481,762,98079.62504,3619,68893,5.544186047,3.856820744,4.640948345,4.778916355,0.277677827,12.4348798,501.2224213,7.987967914,4.690566038,6.160923755,6.105375165,0.853865221,15.19359328,665.3797656,cover,dynamic,16,man,rub
1339,174,627.462963,627,97136.68086,4083,67766,5.429149798,4.694945848,5.014894026,5.00495463,0.017381915,10.31451463,541.6085548,7.824295011,4.379679144,6.015632149,5.868331751,0.80181584,17.38470185,649.6882721,cover,dynamic,16,man,rub
1077,225,704.3703704,746,76739.09519,4037,76072,5.514056225,4.01144641,4.64764091,4.682294312,0.165304469,10.23350467,501.9452183,7.648876404,4.716024341,6.285239797,6.27878327,0.762330764,14.21184647,678.8058981,cover,dynamic,16,man,rub
1358,543,1055.388889,1076.5,38466.09034,4485,113982,5.296398892,4.440464666,4.834614638,4.784828796,0.030692815,6.262388801,522.1383809,7.804878049,4.429455446,6.783930569,7.031360212,0.912585714,8.390188687,732.6645014,cover,dynamic,16,man,rub
428,177,275.8425926,267,3282.657234,3378,29791,5.805970149,4.708791209,5.310846759,5.324366332,0.035205892,16.01340844,573.5714499,6.535460993,4.581939799,5.450118242,5.466343042,0.200285144,28.75543312,588.6127701,cover,dynamic,16,man,scratch
460,201,313.25,304,3215.516355,3835,33831,5.357798165,4.330049261,5.004075062,5.021421108,0.04447771,15.57153746,540.4401067,6.379591837,4.192192192,5.299056274,5.286570799,0.227228653,26.54678709,572.2980776,cover,dynamic,16,man,scratch
495,204,331.4444444,320.5,4050.529595,3677,35796,5.509727626,4.557268722,4.961031073,4.968250388,0.03864658,15.60339918,535.7913559,7.602536998,5.913207547,6.655277762,6.640779115,0.137047268,19.8547796,718.7699983,cover,dynamic,16,man,scratch
462,202,281.8055556,267,2750.363707,3084,30435,5.526104418,4.348484848,5.097223231,5.124130665,0.048747177,18.73582203,550.5001089,8.028138528,5.792682927,6.750940508,6.697294199,0.214873096,29.53461871,729.1015749,cover,dynamic,16,man,scratch
539,251,356.8981481,339,3592.727847,2932,38545,5.465753425,4.818181818,5.167350925,5.180180361,0.016686418,12.57550696,558.0738999,7.264102564,6.045540797,6.667370269,6.675406146,0.048196872,15.81326279,720.075989,cover,dynamic,16,man,stroke
682,272,415.4722222,397.5,9471.410436,3444,44871,5.582317073,4.896130346,5.212562675,5.209842789,0.014824519,11.58237208,562.9567689,7.14484127,6.12596401,6.642707475,6.637337604,0.057524809,18.20621805,717.4124073,cover,dynamic,16,man,stroke
638,226,378.6203704,387.5,5951.602198,3295,40891,5.540145985,4.969849246,5.212613827,5.194528395,0.019220752,11.52272859,562.9622933,7.070895522,6.029411765,6.532396866,6.516614811,0.040745127,18.28307751,705.4988615,cover,dynamic,16,man,stroke
556,278,400.4907407,400.5,5292.812998,3248,43253,5.5,4.776995305,5.114011165,5.122378168,0.023141873,12.78694045,552.3132058,7.60125261,5.900584795,6.626677455,6.627739782,0.090413287,20.6175001,715.6811651,cover,dynamic,16,man,stroke
495,155,234.2407407,221,2710.053652,3370,25298,5.758293839,4.756097561,5.220472404,5.193536651,0.038427789,16.95289448,563.8110197,6.130890052,4.701010101,5.576842698,5.597234712,0.089591025,21.60691597,602.2990114,cover,dynamic,16,man,tickle
292,165,217.2314815,212,790.7216165,1969,23461,5.883561644,5.028037383,5.434558937,5.440394999,0.03036496,16.28422423,586.9323652,6.253275109,5.270935961,5.737197497,5.739319413,0.059084005,23.95750794,619.6173297,cover,dynamic,16,man,tickle
478,177,242.9444444,231,2694.931464,3501,26238,5.835978836,4.944055944,5.349996662,5.337250211,0.038682722,16.67254266,577.7996394,7.209090909,5.016216216,6.06396282,6.0865625,0.175826767,29.61161514,654.9079846,cover,dynamic,16,man,tickle
