max,min,mean,median,var,totalvar,auc,Xmax,Xmin,Xmean,Xmedian,Xvar,Xtotalvar,Xauc,Ymax,Ymin,Ymean,Ymedian,Yvar,Ytotalvar,Yauc,cover,state,subject,control,type
1965,1609,1822.851852,1841,7507.30495,1840,196868,4.960471976,4.684070325,4.774601107,4.756976211,0.004223017,2.858045155,515.6569196,6.512534819,6.267332224,6.396071323,6.390654302,0.003976232,2.521122198,690.7757029,cover,dynamic,2,bot,constant
2122,1655,1934.62963,1952.5,18536.19799,2436,208940,4.934557979,4.593627451,4.716061762,4.691122048,0.007079942,3.166552331,509.3346703,6.538975501,6.348450057,6.431805442,6.430915229,0.001773504,2.707013855,694.6349877,cover,dynamic,2,bot,constant
2079,1696,1921.342593,1905,9131.217982,2173,207505,4.872254335,4.593379447,4.701541995,4.693313621,0.003141203,2.737245878,507.7665355,6.525756771,6.37527115,6.44976943,6.453984998,0.001233205,2.686464165,696.5750985,cover,dynamic,2,bot,constant
2110,1740,1936.101852,1920.5,8150.653081,2024,209099,4.782014798,4.60429279,4.677795571,4.672045768,0.001405694,2.720616928,505.2019216,6.553780618,6.355567806,6.478101176,6.479212156,0.00151834,2.531724214,699.634927,cover,dynamic,2,bot,constant
270,171,217.1111111,218,466.0436137,1639,23448,6.053921569,5.038297872,5.484644392,5.438808574,0.061274444,16.99848488,592.3415943,7.024271845,5.765957447,6.387527611,6.384029691,0.048698875,25.03099974,689.852982,cover,dynamic,2,bot,notouch
278,169,219.7222222,217,653.1183801,1726,23730,6.024390244,4.967889908,5.496081336,5.511512297,0.053181461,16.78200443,593.5767843,6.848214286,5.895582329,6.385085677,6.409395642,0.046141933,22.35243667,689.5892532,cover,dynamic,2,bot,notouch
276,173,216.037037,209,552.2602977,1515,23332,6.12755102,5.031007752,5.55226503,5.557621671,0.049326673,19.28432539,599.6446232,6.874476987,5.79638009,6.352156675,6.363442113,0.046385997,21.23866905,686.0329209,cover,dynamic,2,bot,notouch
264,189,221.2962963,220,344.3039114,1286,23900,5.985294118,4.959016393,5.539683587,5.558947368,0.044577195,17.01300556,598.2858274,6.817391304,5.784552846,6.320438246,6.32931042,0.038959153,17.95930635,682.6073306,cover,dynamic,2,bot,notouch
950,200,374.9814815,295,31165.94358,6081,40498,5.771028037,4.35218509,5.163238469,5.161990766,0.08241546,17.43372178,557.6297546,6.688914027,5.449579832,6.136945127,6.10687046,0.076861829,15.45707635,662.7900737,cover,dynamic,2,bot,pat
924,203,406.4166667,362,27491.29206,5553,43893,5.709359606,4.431729519,5.067025159,5.064876596,0.075041059,14.93636653,547.2387171,7.271889401,5.584097859,6.266134457,6.140921237,0.196385478,17.47854123,676.7425213,cover,dynamic,2,bot,pat
