max,min,mean,median,var,totalvar,auc,Xmax,Xmin,Xmean,Xmedian,Xvar,Xtotalvar,Xauc,Ymax,Ymin,Ymean,Ymedian,Yvar,Ytotalvar,Yauc,cover,state,subject,control,type
4424,4058,4268.518519,4276,6563.205261,1831,461000,4.166238017,4.07852194,4.130521535,4.131869742,0.000279204,1.105299523,446.0963258,7.536459555,7.463054187,7.501875017,7.501125146,0.000273023,1.218450262,810.2025018,cover,dynamic,9,man,constant
4581,4284,4449.916667,4469.5,6553.310748,2244,480591,4.102957527,4.02111885,4.063985764,4.065279792,0.000368609,1.394190655,438.9104625,7.54872134,7.449093445,7.500300856,7.499605773,0.000562639,1.549111355,810.0324924,cover,dynamic,9,man,constant
4631,4391,4508.601852,4510.5,2481.905417,2138,486929,4.096845846,4.015929998,4.057694962,4.059211513,0.000351238,1.233867857,438.2310559,7.584715374,7.475346021,7.529413618,7.528171314,0.000449015,1.428430529,813.1766707,cover,dynamic,9,man,constant
4785,4474,4603.907407,4589,4876.813776,1939,497222,4.136864407,4.028439153,4.086252839,4.084920031,0.00065093,1.294252881,441.3153066,7.587554585,7.507831458,7.550559862,7.553228647,0.000449954,1.326215721,815.460465,cover,dynamic,9,man,constant
231,170,204.3888889,204,114.5389408,894,22074,5.76119403,5.120418848,5.414039437,5.403923872,0.013534909,11.93770658,584.7162592,6.971962617,6.45631068,6.729869656,6.728335747,0.012895159,14.71321529,726.8259228,cover,dynamic,9,man,notouch
231,178,206.5092593,206,112.3643994,955,22303,5.689655172,5.094527363,5.36330944,5.371919986,0.014817271,12.83909617,579.2374195,6.995238095,6.462365591,6.74644397,6.757739082,0.012259973,15.27878125,728.6159487,cover,dynamic,9,man,notouch
228,181,206.9351852,207,82.77146071,914,22349,5.592964824,4.954081633,5.350368479,5.354524367,0.012548676,12.23946953,577.8397957,7.071823204,6.361502347,6.737847027,6.735895952,0.014453732,14.1211758,727.687479,cover,dynamic,9,man,notouch
231,185,206.6574074,205.5,90.33947733,1108,22319,5.645833333,4.958974359,5.326331011,5.339117519,0.020693427,12.60627789,575.2437492,7.020304569,6.480519481,6.756030214,6.768658564,0.01133421,14.16290935,729.6512631,cover,dynamic,9,man,notouch
1264,209,314.1203704,254,29899.75173,10616,33925,5.629770992,4.902877698,5.222598537,5.225745645,0.01568183,13.25899959,564.040642,6.828444444,5.291338583,5.870189847,5.809236948,0.114904368,24.2743986,633.9805034,cover,dynamic,9,man,pat
678,226,320.9537037,280.5,9337.128678,5896,34663,5.647272727,4.844632768,5.235701326,5.239208075,0.024225677,11.99681739,565.4557432,6.434944238,5.191369606,5.804863795,5.791218401,0.067274303,18.95027039,626.9252899,cover,dynamic,9,man,pat
711,218,325.7685185,275.5,10934.81507,5683,35183,5.678294574,4.996296296,5.265077416,5.27093257,0.014003149,10.33330828,568.6283609,6.655574043,5.461864407,5.952319881,5.926346631,0.049961892,14.54070402,642.8505472,cover,dynamic,9,man,pat
784,247,350.2037037,309.5,9428.948771,5690,37822,5.496666667,4.901360544,5.19386363,5.192498295,0.014138891,11.30961292,560.937272,6.526785714,5.586715867,5.99699895,5.964908392,0.039009691,16.94309454,647.6758866,cover,dynamic,9,man,pat
977,215,510.2314815,487.5,43389.71227,6000,55105,5.317269076,4.90052356,5.079797212,5.076266315,0.00560249,7.033759731,548.6180989,7.226510067,5.27027027,6.266506435,6.334155519,0.199628118,15.41324924,676.7826949,cover,dynamic,9,man,rub
1236,322,680.1203704,653.5,52646.44332,8122,73453,5.328018223,4.797101449,5.070796558,5.08686859,0.008909706,6.55173434,547.6460283,6.937636761,5.141210375,6.13274587,6.246147496,0.240739589,13.60126324,662.3365539,cover,dynamic,9,man,rub
1760,404,990.5277778,885.5,140800.831,9095,106977,5.223091977,4.654506438,5.052954697,5.075633444,0.011458931,5.040455029,545.7191072,6.967128028,4.836683417,5.797469077,5.798985959,0.357315888,10.71051728,626.1266603,cover,dynamic,9,man,rub
1743,325,1039.194444,994,206549.1301,8830,112233,5.168978562,4.432337434,4.87195638,4.872910189,0.0445074,6.217063358,526.1712891,6.815656566,4.273057371,5.622277698,5.610491,0.509079721,12.67695818,607.2059914,cover,dynamic,9,man,rub
1421,155,906.2314815,1044,171570.516,5647,97873,5.893048128,4.254416961,4.818262676,4.632999551,0.191903745,8.049552942,520.372369,7.582027168,5.166666667,6.444568767,6.428642279,0.522471801,12.60483451,696.0134269,cover,dynamic,9,man,scratch
