max,min,mean,median,var,totalvar,auc,Xmax,Xmin,Xmean,Xmedian,Xvar,Xtotalvar,Xauc,Ymax,Ymin,Ymean,Ymedian,Yvar,Ytotalvar,Yauc,cover,state,subject,control,type
774,675,718.712963,718,490.8981481,1974,77621,5.064516129,4.635770235,4.855588709,4.852084998,0.005623825,8.245355185,524.4035806,6.90403338,6.447802198,6.726718327,6.718368964,0.008150748,9.214926754,726.4855793,none,dynamic,7,bot,constant
821,694,745.2685185,745,522.6655417,2039,80489,5.046979866,4.668946648,4.813139517,4.81456009,0.004095979,7.225981388,519.8190678,6.994236311,6.546419098,6.757127707,6.756621016,0.006185843,9.135730802,729.7697924,none,dynamic,7,bot,constant
793,690,741.6388889,741.5,343.1113707,2064,80097,4.990849673,4.641610738,4.828065505,4.828058305,0.003978032,8.229099482,521.4310745,6.985507246,6.535340314,6.783160527,6.78270631,0.005589996,8.467644113,732.5813369,none,dynamic,7,bot,constant
800,710,754.3148148,754,330.1990308,1974,81466,4.992167102,4.585915493,4.823165427,4.826758274,0.00373986,6.728095655,520.9018661,6.910067114,6.533249686,6.75897374,6.761905086,0.006277526,9.002212268,729.9691639,none,dynamic,7,bot,constant
250,197,218.0277778,218,116.6814642,1039,23547,5.995121951,5.305936073,5.62544826,5.626662696,0.025127545,16.58705065,607.5484121,7.271028037,6.502262443,6.886641364,6.870162764,0.023190558,14.76653037,743.7572674,none,dynamic,7,bot,notouch
267,197,218.6944444,218.5,109.7468847,1195,23619,6.158415842,5.303738318,5.604801655,5.598578199,0.024525243,15.07047165,605.3185788,7.307692308,6.538135593,6.891632473,6.893031566,0.030693911,15.71554448,744.296307,none,dynamic,7,bot,notouch
255,197,219.5648148,219,125.4630495,1238,23713,6.111111111,5.263636364,5.596366443,5.600917431,0.026675848,16.13275467,604.4075759,7.192488263,6.376569038,6.864693272,6.8668998,0.02255731,16.94242191,741.3868734,none,dynamic,7,bot,notouch
247,197,221.2222222,222,97.57632399,1134,23892,6,5.212121212,5.634519528,5.630481192,0.025266964,15.369937,608.528109,7.336492891,6.525862069,6.867146664,6.844973953,0.030971574,15.9290259,741.6518397,none,dynamic,7,bot,notouch
581,226,307.6388889,268.5,8616.588006,4979,33225,6.003891051,5.014545455,5.398746828,5.397452874,0.034667109,17.01349272,583.0646575,6.81420765,6.084,6.507138138,6.507726692,0.026146194,16.71165296,702.7709189,none,dynamic,7,bot,pat
600,206,304.0925926,264,9298.402561,5211,32842,5.941441441,4.995850622,5.42131122,5.448262222,0.037527993,17.27143068,585.5016118,7.048543689,6.216730038,6.573877089,6.578444625,0.036316449,18.18585293,709.9787256,none,dynamic,7,bot,pat
601,206,303.2037037,266,8746.81793,4908,32746,5.904761905,5.036231884,5.446873435,5.449361787,0.036450985,16.46148512,588.262331,7.017621145,6.038327526,6.596868045,6.61332038,0.039944554,19.80216594,712.4617488,none,dynamic,7,bot,pat
624,225,301.037037,276.5,5630.073382,4036,32512,5.702898551,4.98245614,5.401045783,5.400059866,0.02650919,16.84452509,583.3129445,6.925714286,6.214285714,6.566913747,6.567006609,0.028723207,16.60127957,709.2266847,none,dynamic,7,bot,pat
419,230,312.212963,307,1772.954223,3339,33719,5.943548387,4.903614458,5.38432854,5.36180935,0.057038936,17.72733459,581.5074823,7.627717391,5.392857143,6.413388677,6.408730159,0.183011982,23.64144637,692.6459772,none,dynamic,7,bot,rub
425,227,301.5277778,294,1989.410436,2478,32565,5.955390335,4.840707965,5.435107591,5.433205688,0.056470065,14.91637055,586.9916198,7.434343434,5.454308094,6.4379551,6.414449011,0.161897323,22.09223417,695.2991508,none,dynamic,7,bot,rub
454,216,296.5833333,288,1977.497664,2874,32031,5.945833333,4.86440678,5.418564687,5.388050167,0.061109058,18.30296134,585.2049862,7.729299363,5.988970588,6.754538874,6.722391487,0.166962229,24.80418426,729.4901984,none,dynamic,7,bot,rub
396,214,293.8518519,286.5,1538.071305,2997,31736,6.06875,4.926517572,5.45632552,5.452360928,0.044441589,18.55632334,589.2831562,7.165492958,6.002816901,6.477985202,6.460722484,0.06045311,25.89986444,699.6224018,none,dynamic,7,bot,rub
545,219,334.8240741,324,5255.043527,4460,36161,6.114285714,4.83974359,5.338026955,5.303951921,0.057679343,14.57516619,576.5069111,7.947103275,6.284246575,7.036437012,7.027988111,0.108373337,20.43113209,759.9351973,none,dynamic,7,bot,scratch
615,186,301.712963,279,7009.944877,4177,32585,5.898550725,4.941441441,5.532647608,5.540723982,0.028058755,14.51720333,597.5259417,7.067567568,5.805013928,6.553330882,6.587069181,0.071697794,20.79602566,707.7597353,none,dynamic,7,bot,scratch
515,179,326.25,318,6497.684579,5209,35235,5.990430622,4.857740586,5.405654663,5.394076922,0.048875523,16.43914865,583.8107036,7.061452514,5.539641944,6.354466415,6.407243614,0.111087133,22.72153005,686.2823728,none,dynamic,7,bot,scratch
494,198,279.6851852,267.5,2883.021461,3054,30206,6.169811321,5.041343669,5.577063119,5.58307472,0.04163468,14.05112935,602.3228169,7.297169811,6.157232704,6.733555652,6.725697928,0.039547289,18.70547174,727.2240105,none,dynamic,7,bot,scratch
511,186,359.9814815,395.5,10354.26134,3197,38878,5.831896552,4.760180995,5.23488113,5.21132457,0.0455502,14.41266823,565.3671621,7.121359223,5.463362069,6.503857081,6.531073726,0.124588926,20.19724475,702.4165647,none,dynamic,7,bot,stroke
501,165,311.0185185,334,9433.756663,2762,33590,6.050458716,4.971014493,5.356070518,5.32136567,0.048321821,16.91752311,578.455616,7.091603053,5.982352941,6.603032067,6.691833925,0.085858956,17.20972002,713.1274632,none,dynamic,7,bot,stroke
468,172,281.4351852,246.5,8545.949031,2426,30395,5.930232558,4.834841629,5.359844864,5.354305853,0.061574843,17.18435205,578.8632453,7.210191083,5.677966102,6.579886565,6.607157683,0.07406384,16.73406326,710.627749,none,dynamic,7,bot,stroke
488,173,304.0462963,311,6210.007182,2667,32837,5.96373057,5.041564792,5.355408183,5.362353679,0.032691307,16.06787406,578.3840838,7.598039216,5.929961089,6.593988262,6.550367078,0.090562317,19.42290414,712.1507323,none,dynamic,7,bot,stroke
