max,min,mean,median,var,totalvar,auc,Xmax,Xmin,Xmean,Xmedian,Xvar,Xtotalvar,Xauc,Ymax,Ymin,Ymean,Ymedian,Yvar,Ytotalvar,Yauc,cover,state,control,type,subject
1965,1609,1822.851852,1841,7507.30495,1840,196868,4.960471976,4.684070325,4.774601107,4.756976211,0.004223017,2.858045155,515.6569196,6.512534819,6.267332224,6.396071323,6.390654302,0.003976232,2.521122198,690.7757029,cover,dynamic,bot,constant,A
2122,1655,1934.62963,1952.5,18536.19799,2436,208940,4.934557979,4.593627451,4.716061762,4.691122048,0.007079942,3.166552331,509.3346703,6.538975501,6.348450057,6.431805442,6.430915229,0.001773504,2.707013855,694.6349877,cover,dynamic,bot,constant,A
2079,1696,1921.342593,1905,9131.217982,2173,207505,4.872254335,4.593379447,4.701541995,4.693313621,0.003141203,2.737245878,507.7665355,6.525756771,6.37527115,6.44976943,6.453984998,0.001233205,2.686464165,696.5750985,cover,dynamic,bot,constant,A
2110,1740,1936.101852,1920.5,8150.653081,2024,209099,4.782014798,4.60429279,4.677795571,4.672045768,0.001405694,2.720616928,505.2019216,6.553780618,6.355567806,6.478101176,6.479212156,0.00151834,2.531724214,699.634927,cover,dynamic,bot,constant,A
270,171,217.1111111,218,466.0436137,1639,23448,6.053921569,5.038297872,5.484644392,5.438808574,0.061274444,16.99848488,592.3415943,7.024271845,5.765957447,6.387527611,6.384029691,0.048698875,25.03099974,689.852982,cover,dynamic,bot,notouch,A
278,169,219.7222222,217,653.1183801,1726,23730,6.024390244,4.967889908,5.496081336,5.511512297,0.053181461,16.78200443,593.5767843,6.848214286,5.895582329,6.385085677,6.409395642,0.046141933,22.35243667,689.5892532,cover,dynamic,bot,notouch,A
276,173,216.037037,209,552.2602977,1515,23332,6.12755102,5.031007752,5.55226503,5.557621671,0.049326673,19.28432539,599.6446232,6.874476987,5.79638009,6.352156675,6.363442113,0.046385997,21.23866905,686.0329209,cover,dynamic,bot,notouch,A
264,189,221.2962963,220,344.3039114,1286,23900,5.985294118,4.959016393,5.539683587,5.558947368,0.044577195,17.01300556,598.2858274,6.817391304,5.784552846,6.320438246,6.32931042,0.038959153,17.95930635,682.6073306,cover,dynamic,bot,notouch,A
950,200,374.9814815,295,31165.94358,6081,40498,5.771028037,4.35218509,5.163238469,5.161990766,0.08241546,17.43372178,557.6297546,6.688914027,5.449579832,6.136945127,6.10687046,0.076861829,15.45707635,662.7900737,cover,dynamic,bot,pat,A
924,203,406.4166667,362,27491.29206,5553,43893,5.709359606,4.431729519,5.067025159,5.064876596,0.075041059,14.93636653,547.2387171,7.271889401,5.584097859,6.266134457,6.140921237,0.196385478,17.47854123,676.7425213,cover,dynamic,bot,pat,A
992,233,410.9166667,397.5,23161.21729,5446,44379,5.783673469,4.575033201,5.054823924,5.00991039,0.062523138,14.42524531,545.9209838,7.053691275,5.590504451,6.229029905,6.200914223,0.109909674,17.08756635,672.7352297,cover,dynamic,bot,pat,A
897,248,442.7685185,423.5,17687.71227,4407,47819,5.605577689,4.453151618,4.934503439,4.856819969,0.077691572,14.46970782,532.9263715,7.088888889,5.536977492,6.169240933,6.120845005,0.101623149,15.44181112,666.2780208,cover,dynamic,bot,pat,A
1340,287,705.8796296,688,85128.64893,5748,76235,5.335092348,4.377192982,4.921390247,4.977114418,0.054008954,10.32734642,531.5101466,7.481662592,5.40218712,6.482724988,6.496954934,0.253960746,15.70343382,700.1342987,cover,dynamic,bot,rub,A
910,281,504.4537037,447,29449.40905,4295,54481,5.557840617,4.742819843,5.100949667,5.090140691,0.027901624,11.97439463,550.9025641,7.585480094,6.059238364,6.867290824,6.875114504,0.108196193,16.53379108,741.6674089,cover,dynamic,bot,rub,A
830,252,501.3425926,431.5,29136.75069,3835,54145,5.607407407,4.659793814,5.092761429,5.073646522,0.040271661,11.39389453,550.0182343,7.42384106,6.053391053,6.725085125,6.804429123,0.124224342,15.76844234,726.3091935,cover,dynamic,bot,rub,A
898,326,530.2962963,540,14605.33195,3570,57272,5.50887574,4.620751342,5.07536453,5.045049089,0.039622122,11.42117682,548.1393692,7.452380952,6.025316456,6.696728474,6.722909479,0.10486699,15.30140657,723.2466752,cover,dynamic,bot,rub,A
961,254,509.1111111,463.5,28416.49221,9105,54984,5.495073892,3.883241758,4.664112946,4.678823742,0.134013996,17.08899872,503.7241982,6.519906323,5.173003802,5.882193525,5.878398677,0.095007064,18.87754842,635.2769007,cover,dynamic,bot,scratch,A
1074,231,464.9259259,460.5,21964.91035,9726,50212,6.290849673,4.658314351,5.577916326,5.56080478,0.171952395,16.93850839,602.4149632,7.116580311,4.547826087,6.069435806,6.117224367,0.209826099,24.79014813,655.4990671,cover,dynamic,bot,scratch,A
1092,183,520.9814815,509.5,38056.89685,9247,56266,5.808743169,4.365994236,5.035460469,4.966449654,0.120049951,11.79665743,543.8297306,6.810185185,4.379098361,5.551120576,5.56179164,0.226879243,23.53155154,599.5210223,cover,dynamic,bot,scratch,A
726,204,439.2222222,414,16010.86604,8292,47436,5.455938697,4.02351314,4.697206004,4.661956882,0.108155436,14.85257801,507.2982484,6.7625,4.943722944,5.928573479,5.935851584,0.142528439,23.1678505,640.2859357,cover,dynamic,bot,scratch,A
986,196,567.8518519,600.5,71802.98719,3479,61328,5.502392344,4.549945115,4.889905475,4.831563205,0.047561573,11.07470966,528.1097913,7.913286713,5.683486239,6.730535268,6.573416387,0.371719239,14.97467734,726.8978089,cover,dynamic,bot,stroke,A
983,210,573.4722222,589.5,54369.44782,3746,61935,5.650862069,4.433982684,4.909495278,4.882938187,0.058802965,10.16497888,530.22549,7.954866008,5.493303571,6.649131533,6.470957119,0.559864059,14.83346792,718.1062056,cover,dynamic,bot,stroke,A
889,213,568.5740741,637,42915.61128,4079,61406,5.501976285,4.164034022,4.792444096,4.764227137,0.101837728,10.83190337,517.5839624,8.028023599,5.532296651,6.863296318,6.709570662,0.460741722,13.82070605,741.2360023,cover,dynamic,bot,stroke,A
1050,223,603.6388889,550.5,68847.97118,3471,65193,5.581818182,4.212244898,4.885710535,4.799647468,0.0884448,9.101968205,527.6567378,7.673913043,5.76109215,6.758229515,6.693931228,0.218507674,13.05299553,729.8887876,cover,dynamic,bot,stroke,A
633,197,377.5092593,359.5,11003.4672,6806,40771,5.850746269,3.541071429,4.69417692,4.673548701,0.288823501,22.51753093,506.9711074,6.937735849,4.629441624,6.144072529,6.140413511,0.165780068,27.03725289,663.5598331,cover,dynamic,bot,tickle,A
736,191,376.8888889,344,16466.82866,6217,40704,6.304461942,5.016666667,5.729884008,5.724440816,0.067854958,16.1467398,618.8274729,7.42798913,5.319444444,6.450539201,6.483021026,0.237498259,29.18082316,696.6582337,cover,dynamic,bot,tickle,A
948,203,490.2685185,469,19251.8618,7342,52949,5.738095238,3.977777778,4.988911522,5.101436539,0.207189553,13.95990231,538.8024444,7.208791209,5.039408867,5.889761403,5.800423907,0.162295512,17.87866552,636.0942315,cover,dynamic,bot,tickle,A
744,174,385.6759259,368,14968.72577,5525,41653,5.967741935,4.163132137,4.892925974,4.944110032,0.106227443,17.25111216,528.4360052,7.219281664,4.883152174,5.706035304,5.64852611,0.229139544,20.66012782,616.2518128,cover,dynamic,bot,tickle,A
1220,1148,1181.083333,1180,226.4135514,1567,127557,4.516455696,4.342762063,4.447502227,4.445873675,0.001011857,3.906050216,480.3302405,6.828767123,6.652754591,6.737233265,6.733247742,0.001704367,4.00400345,727.6211926,cover,static,bot,constant,A
1253,1181,1216.425926,1218,240.2281066,1687,131374,4.519152404,4.355610561,4.431482709,4.427986017,0.001361569,4.179882614,478.6001326,6.827759197,6.661812298,6.744174099,6.742907036,0.001304198,4.036159483,728.3708027,cover,static,bot,constant,A
1261,1171,1221.555556,1222.5,397.5015576,1880,131928,4.493072535,4.312447786,4.415428111,4.419652985,0.001443341,3.873342465,476.8662359,6.886044591,6.621359223,6.759075147,6.758351014,0.002611354,3.969223879,729.9801158,cover,static,bot,constant,A
1337,1157,1256.287037,1252.5,1364.748615,1807,135679,4.513343799,4.234693878,4.377329737,4.380484961,0.002612316,4.192756313,472.7516116,6.921711057,6.680851064,6.810500222,6.811962447,0.00209487,4.186115003,735.534024,cover,static,bot,constant,A
216,156,186.5833333,188,156.1331776,1621,20151,5.775757576,4.853932584,5.323616661,5.327045925,0.031129856,21.40685911,574.9505994,6.33974359,5.405263158,5.833314873,5.837100737,0.033588354,21.94387689,629.9980062,cover,static,bot,notouch,A
219,164,186.1851852,186,115.1616476,1151,20108,5.722222222,4.914285714,5.324589324,5.332469775,0.038876512,24.79704554,575.055647,6.513812155,5.451977401,5.818329736,5.809837155,0.033680202,19.66914977,628.3796114,cover,static,bot,notouch,A
213,158,186.5092593,187,132.2148667,1362,20143,5.778409091,4.864864865,5.327975274,5.319826555,0.041112752,22.04685297,575.4213296,6.569620253,5.407216495,5.852965378,5.84612447,0.041073209,20.92734601,632.1202608,cover,static,bot,notouch,A
214,167,187.7592593,188,114.2218761,1198,20278,5.752631579,4.725146199,5.319365623,5.353324176,0.034533011,22.24778809,574.4914873,6.335078534,5.320224719,5.815127985,5.791879699,0.043115086,18.87552776,628.0338224,cover,static,bot,notouch,A
569,198,325.5277778,270,11877.54128,3538,35157,5.483870968,4.518518519,4.935622528,4.931508824,0.049325581,14.33342943,533.0472331,7.398340249,5.706666667,6.374290896,6.347797271,0.103996624,20.3705629,688.4234168,cover,static,bot,pat,A
676,220,396.7407407,368,13460.41814,4132,42848,5.306397306,4.317979198,4.820766558,4.763081905,0.05208792,15.07539992,520.6427882,7.530679934,5.945378151,6.589442989,6.551771922,0.141292022,19.61896161,711.6598428,cover,static,bot,pat,A
666,236,350.8055556,301,9308.494548,3766,37887,5.399280576,4.234234234,4.941467336,4.950703614,0.056704929,15.47459265,533.6784723,6.958874459,5.937956204,6.414496612,6.413398054,0.057750628,19.81415621,692.7656341,cover,static,bot,pat,A
631,224,306.4907407,267.5,7015.616736,3216,33101,5.505576208,4.595435685,5.026289329,5.044200244,0.045873378,17.23075029,542.8392476,6.780991736,5.621513944,6.116172854,6.068647052,0.069008455,18.26850474,660.5466682,cover,static,bot,pat,A
1223,245,589.25,479.5,72384.02103,4572,63639,5.326283988,3.584710744,4.556555557,4.530731531,0.119018328,10.87469953,492.1080001,7.452145215,5.104402516,6.35328447,6.469510072,0.350443402,13.98279814,686.1547227,cover,static,bot,rub,A
937,255,487.8703704,479.5,26639.19799,3391,52690,5.293515358,4.234299517,4.736215433,4.770209384,0.044176047,11.1263871,511.5112667,7.543574594,5.064013841,6.249508949,6.134288016,0.547668382,17.06373546,674.9469665,cover,static,bot,rub,A
1317,272,687.5092593,658.5,82936.88776,5340,74251,5.411764706,4.629807692,4.870297933,4.853583916,0.015279536,7.876102075,525.9921767,7.754273504,5.015827338,6.461946468,6.443182226,0.474440367,13.85827977,697.8902186,cover,static,bot,rub,A
1181,257,713.5648148,752,95346.97707,4958,77065,5.389312977,4.276767677,4.67174315,4.630420443,0.05011382,10.58866738,504.5482602,7.76519337,5.488888889,6.692057063,6.705490321,0.36569648,14.96959244,722.7421628,cover,static,bot,rub,A
825,196,433.8333333,382.5,22437.50467,9089,46854,4.99086758,3.577572965,4.32817973,4.399455936,0.090926153,21.66954255,467.4434108,7.629385965,4.838124054,6.208745305,6.271306298,0.413316447,28.07617599,670.5444929,cover,static,bot,scratch,A
856,255,488.0740741,472,20608.14399,8382,52712,6.322625698,4.398026316,5.407272559,5.373590178,0.228239512,16.68305186,583.9854364,7.309050773,5.243626062,6.217394799,6.219880673,0.246564751,22.39096542,671.4786382,cover,static,bot,scratch,A
961,289,566.0277778,543,23546.41978,8009,61131,6.500520291,4.517401392,5.487162901,5.555520584,0.136869242,12.36964233,592.6135933,7.326568266,4.8112,5.988531318,6.019280758,0.334137386,23.30093525,646.7613823,cover,static,bot,scratch,A
1263,262,580.6203704,544,49520.705,11221,62707,5.176573427,3.855498721,4.668266935,4.778666749,0.092783131,14.87851072,504.172829,7.709003215,4.782178218,6.016988679,5.898573773,0.447460244,22.95683118,649.8347774,cover,static,bot,scratch,A
593,188,408.5740741,438.5,14556.50848,2601,44126,6.004854369,4.667487685,5.014321365,4.882187127,0.117604123,12.93177397,541.5467074,7.586283186,5.333333333,6.675682863,6.638211941,0.406798185,16.87643435,720.9737492,cover,static,bot,stroke,A
546,179,374.3333333,401,11218.84112,2559,40428,5.974093264,4.716627635,5.163056685,5.089356007,0.073168892,14.05156838,557.610122,7.597430407,5.157509158,6.498137212,6.466324373,0.382417421,18.11260505,701.7988188,cover,static,bot,stroke,A
498,169,328.462963,357.5,7770.493943,2760,35474,5.976331361,4.624685139,5.181800579,5.11032492,0.102282293,15.92462704,559.6344625,7.413366337,5.153846154,6.448746269,6.54271063,0.340923195,19.34516602,696.4645971,cover,static,bot,stroke,A
