max,min,mean,median,var,totalvar,auc,Xmax,Xmin,Xmean,Xmedian,Xvar,Xtotalvar,Xauc,Ymax,Ymin,Ymean,Ymedian,Yvar,Ytotalvar,Yauc,cover,state,subject,control,type
1220,1148,1181.083333,1180,226.4135514,1567,127557,4.516455696,4.342762063,4.447502227,4.445873675,0.001011857,3.906050216,480.3302405,6.828767123,6.652754591,6.737233265,6.733247742,0.001704367,4.00400345,727.6211926,cover,static,2,bot,constant
1253,1181,1216.425926,1218,240.2281066,1687,131374,4.519152404,4.355610561,4.431482709,4.427986017,0.001361569,4.179882614,478.6001326,6.827759197,6.661812298,6.744174099,6.742907036,0.001304198,4.036159483,728.3708027,cover,static,2,bot,constant
1261,1171,1221.555556,1222.5,397.5015576,1880,131928,4.493072535,4.312447786,4.415428111,4.419652985,0.001443341,3.873342465,476.8662359,6.886044591,6.621359223,6.759075147,6.758351014,0.002611354,3.969223879,729.9801158,cover,static,2,bot,constant
1337,1157,1256.287037,1252.5,1364.748615,1807,135679,4.513343799,4.234693878,4.377329737,4.380484961,0.002612316,4.192756313,472.7516116,6.921711057,6.680851064,6.810500222,6.811962447,0.00209487,4.186115003,735.534024,cover,static,2,bot,constant
216,156,186.5833333,188,156.1331776,1621,20151,5.775757576,4.853932584,5.323616661,5.327045925,0.031129856,21.40685911,574.9505994,6.33974359,5.405263158,5.833314873,5.837100737,0.033588354,21.94387689,629.9980062,cover,static,2,bot,notouch
219,164,186.1851852,186,115.1616476,1151,20108,5.722222222,4.914285714,5.324589324,5.332469775,0.038876512,24.79704554,575.055647,6.513812155,5.451977401,5.818329736,5.809837155,0.033680202,19.66914977,628.3796114,cover,static,2,bot,notouch
213,158,186.5092593,187,132.2148667,1362,20143,5.778409091,4.864864865,5.327975274,5.319826555,0.041112752,22.04685297,575.4213296,6.569620253,5.407216495,5.852965378,5.84612447,0.041073209,20.92734601,632.1202608,cover,static,2,bot,notouch
214,167,187.7592593,188,114.2218761,1198,20278,5.752631579,4.725146199,5.319365623,5.353324176,0.034533011,22.24778809,574.4914873,6.335078534,5.320224719,5.815127985,5.791879699,0.043115086,18.87552776,628.0338224,cover,static,2,bot,notouch
569,198,325.5277778,270,11877.54128,3538,35157,5.483870968,4.518518519,4.935622528,4.931508824,0.049325581,14.33342943,533.0472331,7.398340249,5.706666667,6.374290896,6.347797271,0.103996624,20.3705629,688.4234168,cover,static,2,bot,pat
676,220,396.7407407,368,13460.41814,4132,42848,5.306397306,4.317979198,4.820766558,4.763081905,0.05208792,15.07539992,520.6427882,7.530679934,5.945378151,6.589442989,6.551771922,0.141292022,19.61896161,711.6598428,cover,static,2,bot,pat
666,236,350.8055556,301,9308.494548,3766,37887,5.399280576,4.234234234,4.941467336,4.950703614,0.056704929,15.47459265,533.6784723,6.958874459,5.937956204,6.414496612,6.413398054,0.057750628,19.81415621,692.7656341,cover,static,2,bot,pat
631,224,306.4907407,267.5,7015.616736,3216,33101,5.505576208,4.595435685,5.026289329,5.044200244,0.045873378,17.23075029,542.8392476,6.780991736,5.621513944,6.116172854,6.068647052,0.069008455,18.26850474,660.5466682,cover,static,2,bot,pat
1223,245,589.25,479.5,72384.02103,4572,63639,5.326283988,3.584710744,4.556555557,4.530731531,0.119018328,10.87469953,492.1080001,7.452145215,5.104402516,6.35328447,6.469510072,0.350443402,13.98279814,686.1547227,cover,static,2,bot,rub
937,255,487.8703704,479.5,26639.19799,3391,52690,5.293515358,4.234299517,4.736215433,4.770209384,0.044176047,11.1263871,511.5112667,7.543574594,5.064013841,6.249508949,6.134288016,0.547668382,17.06373546,674.9469665,cover,static,2,bot,rub
1317,272,687.5092593,658.5,82936.88776,5340,74251,5.411764706,4.629807692,4.870297933,4.853583916,0.015279536,7.876102075,525.9921767,7.754273504,5.015827338,6.461946468,6.443182226,0.474440367,13.85827977,697.8902186,cover,static,2,bot,rub
1181,257,713.5648148,752,95346.97707,4958,77065,5.389312977,4.276767677,4.67174315,4.630420443,0.05011382,10.58866738,504.5482602,7.76519337,5.488888889,6.692057063,6.705490321,0.36569648,14.96959244,722.7421628,cover,static,2,bot,rub
825,196,433.8333333,382.5,22437.50467,9089,46854,4.99086758,3.577572965,4.32817973,4.399455936,0.090926153,21.66954255,467.4434108,7.629385965,4.838124054,6.208745305,6.271306298,0.413316447,28.07617599,670.5444929,cover,static,2,bot,scratch
856,255,488.0740741,472,20608.14399,8382,52712,6.322625698,4.398026316,5.407272559,5.373590178,0.228239512,16.68305186,583.9854364,7.309050773,5.243626062,6.217394799,6.219880673,0.246564751,22.39096542,671.4786382,cover,static,2,bot,scratch
961,289,566.0277778,543,23546.41978,8009,61131,6.500520291,4.517401392,5.487162901,5.555520584,0.136869242,12.36964233,592.6135933,7.326568266,4.8112,5.988531318,6.019280758,0.334137386,23.30093525,646.7613823,cover,static,2,bot,scratch
1263,262,580.6203704,544,49520.705,11221,62707,5.176573427,3.855498721,4.668266935,4.778666749,0.092783131,14.87851072,504.172829,7.709003215,4.782178218,6.016988679,5.898573773,0.447460244,22.95683118,649.8347774,cover,static,2,bot,scratch
593,188,408.5740741,438.5,14556.50848,2601,44126,6.004854369,4.667487685,5.014321365,4.882187127,0.117604123,12.93177397,541.5467074,7.586283186,5.333333333,6.675682863,6.638211941,0.406798185,16.87643435,720.9737492,cover,static,2,bot,stroke
546,179,374.3333333,401,11218.84112,2559,40428,5.974093264,4.716627635,5.163056685,5.089356007,0.073168892,14.05156838,557.610122,7.597430407,5.157509158,6.498137212,6.466324373,0.382417421,18.11260505,701.7988188,cover,static,2,bot,stroke
